Experiment,year,site,new_start_date,new_end_date,operation,operation_type,intensity,flag,old_operations,amount,unit,water volume,water volume unit,plot,tank_mixture,crop,variety,machine,dressing
CS326,2009,R/CS/326,14/05/2009,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram,50,kgN/ha,145,kg/ha,,,,,,
CS326,1987,R/CS/326,19/03/1987,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,45,kgN/ha,130,kg/ha,,,,,,
CS326,1987,R/CS/326,18/04/1987,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,204,kgN/ha,590,kg/ha,,,,,,
CS326,1988,R/CS/326,24/02/1988,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,40,kgN/ha,116,kg/ha,,,,,,
CS326,1988,R/CS/326,22/04/1988,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,200,kgN/ha,580,kg/ha,,,,,,
CS326,1989,R/CS/326,06/09/1988,,magnesian limestone,liming process,,2,Magnesian limestone applied,5.0,t/ha,,,,,,,,
CS326,1989,R/CS/326,29/09/1988,,PK (0:18:36),agronomic fertilization process,,2,PK applied,920,kg/ha,,,,,,,,
CS326,1989,R/CS/326,21/02/1989,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,41,kgN/ha,120,kg/ha,,,,,,
CS326,1989,R/CS/326,14/04/1989,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,200,kgN/ha,580,kg/ha,,,,,,
CS326,1990,R/CS/326,02/03/1990,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,41,kgN/ha,120,kg/ha,,,,,,
CS326,1990,R/CS/326,12/04/1990,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,200,kgN/ha,580,kg/ha,,,,,,
CS326,1991,R/CS/326,04/03/1991,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,41,kgN/ha,120,kg/ha,,,,,,
CS326,1991,R/CS/326,03/04/1991,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,200,kgN/ha,580,kg/ha,,,,,,
CS326,1991,R/CS/326,12/04/1991,,PK (0:16:36),agronomic fertilization process,,2,P and K applied,1040,kg/ha,,,,,,,,
CS326,1992,R/CS/326,19/02/1992,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 220 kg,220,kg/ha,,,,,,,,
CS326,1992,R/CS/326,25/03/1992,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 290 kg,290,kg/ha,,,,,,,,
CS326,1993,R/CS/326,08/03/1993,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 120 kg,120,kg/ha,,,,,,,,
CS326,1993,R/CS/326,16/04/1993,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 460 kg,460,kg/ha,,,,,,,,
CS326,1994,R/CS/326,09/03/1994,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 118 kg,118,kg/ha,,,,,,,,
CS326,1994,R/CS/326,12/04/1994,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 448 kg,448,kg/ha,,,,,,,,
CS326,1995,R/CS/326,02/09/1994,,PK (0:20:32),agronomic fertilization process,,2,PK as(0:20:32) at 1317 kg,1317,kg/ha,,,,,,,,
CS326,1995,R/CS/326,10/03/1995,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 118 kg,118,kg/ha,,,,,,,,
CS326,1995,R/CS/326,11/04/1995,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 463 kg,463,kg/ha,,,,,,,,
CS326,1996,R/CS/326,07/03/1996,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 116 kg,116,kg/ha,,,,,,,,
CS326,1996,R/CS/326,16/04/1996,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 174 kg,174,kg/ha,,,,,,,,
CS326,1998,R/CS/326,09/09/1997,,PK (0:20:32),agronomic fertilization process,,2,PK as (0:20:32) at 1250 kg,1250,kg/ha,,,,,,,,
CS326,1998,R/CS/326,13/02/1998,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 116 kg,116,kg/ha,,,,,,,,
CS326,1998,R/CS/326,27/04/1998,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 460 kg,460,kg/ha,,,,,,,,
CS326,1999,R/CS/326,15/03/1999,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 145 kg,145,kg/ha,,,,,,,,
CS326,1999,R/CS/326,12/04/1999,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 435 kg,435,kg/ha,,,,,,,,
CS326,2000,R/CS/326,09/03/2000,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 145 kg,145,kg/ha,,,,,,,,
CS326,2000,R/CS/326,19/04/2000,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 290 kg,290,kg/ha,,,,,,,,
CS326,2001,R/CS/326,26/03/2001,,N (33.50 % N),agronomic fertilization process,,2,33.5% N at 149 kg,50,kgN/ha,149,kg/ha,,,,,,
CS326,2001,R/CS/326,05/05/2001,,N (33.50 % N),agronomic fertilization process,,2,33.5% N at 299 kg,100,kgN/ha,299,kg/ha,,,,,,
CS326,2002,R/CS/326,14/03/2002,,N (33.50 % N),agronomic fertilization process,,2,33.5% N at 150 kg,50,kgN/ha,150,kg/ha,,,,,,
CS326,2002,R/CS/326,25/04/2002,,N (33.50 % N),agronomic fertilization process,,2,33.5% N at 418 kg,140,kgN/ha,418,kg/ha,,,,,,
CS326,2003,R/CS/326,10/03/2003,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,Sulphur Gold at 167 kg,50,kgN/ha,167,kg/ha,,,,,,
CS326,2003,R/CS/326,10/03/2003,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,Sulphur Gold at 167 kg,50,kgN/ha,167,kg/ha,,,,,,
CS326,2003,R/CS/326,29/04/2003,,N (33.50 % N),agronomic fertilization process,,2,33.5% N at 448 kg,150,kgN/ha,448,kg/ha,,,,,,
CS326,2004,R/CS/326,17/03/2004,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,Sulphur Gold at 167 kg (50 kg N).,50,kgN/ha,167,kg/ha,,,,,,
CS326,2004,R/CS/326,06/05/2004,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,Sulphur Gold at 467 kg (140 kg N).,140,kgN/ha,467,kg/ha,,,,,,
CS326,2005,R/CS/326,03/04/2005,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,Sulphur Gold at 167 kg (50 kg N).,50,kgN/ha,167,kg/ha,,,,,,
CS326,2005,R/CS/326,30/04/2005,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 406 kg (140 kg N).,406,kg/ha,,,,,,,,
CS326,2006,R/CS/326,15/03/2006,,Double Top,agronomic fertilization process,,2,Double top at 185 kg (50 kg N),50,kgN/ha,185,kg/ha,,,,,,
