Experiment,year,site,new_start_date,new_end_date,operation,operation_type,intensity,flag,old_operations,amount,unit,water volume,water volume unit,plot,tank_mixture,crop,variety,machine,dressing
CS326,1987,R/CS/326,29/09/1986,,rolled,land levelling process,,3,rolled,,,,,,,,,,
CS326,1987,R/CS/326,01/10/1986,,disced,tillage process,,3,disced,,,,,,,,,,
CS326,1987,R/CS/326,06/10/1986,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1987,R/CS/326,06/10/1986,,harrowed,tillage process,,3,harrowed,,,,,,,,,,
CS326,1987,R/CS/326,19/08/1987,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1988,R/CS/326,23/10/1987,,spring-tine cultivated,tillage process,,3,spring-tine cultivated,,,,,,,,,,
CS326,1988,R/CS/326,24/10/1987,,harrowed,tillage process,,3,harrowed,,,,,,,,,,
CS326,1988,R/CS/326,25/08/1988,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1989,R/CS/326,14/09/1988,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1989,R/CS/326,19/10/1988,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1989,R/CS/326,19/10/1988,,harrowed,tillage process,,3,harrowed,,,,,,,,,,
CS326,1989,R/CS/326,05/08/1989,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1990,R/CS/326,22/08/1989,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1990,R/CS/326,04/10/1989,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1990,R/CS/326,06/10/1989,,harrowed,tillage process,,3,harrowed,,,,,,,,,,
CS326,1990,R/CS/326,06/10/1989,,rolled,land levelling process,,3,rolled,,,,,,,,,,
CS326,1990,R/CS/326,13/08/1990,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1991,R/CS/326,24/08/1990,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1991,R/CS/326,24/08/1990,,rolled,land levelling process,,3,rolled,,,,,,,,,,
CS326,1991,R/CS/326,12/10/1990,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1991,R/CS/326,12/10/1990,,harrowed,tillage process,,3,harrowed,,,,,,,,,,
CS326,1991,R/CS/326,15/10/1990,,rolled,land levelling process,,3,rolled,,,,,,,,,,
CS326,1991,R/CS/326,21/08/1991,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1992,R/CS/326,27/08/1991,,straw applied,residue management process,,3,straw applied,,,,,"STRAW NORMAL, 2 NORMAL and 4 NORMAL",,,,,
CS326,1992,R/CS/326,28/08/1991,,Straw and stubble chopped.,residue management process,,3,Straw and stubble chopped.,,,,,,,,,,
CS326,1992,R/CS/326,04/09/1991,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1992,R/CS/326,05/09/1991,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1992,R/CS/326,05/09/1991,,rolled,land levelling process,,3,rolled,,,,,,,,,,
CS326,1992,R/CS/326,22/07/1992,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1993,R/CS/326,06/08/1992,,straw applied,residue management process,,3,straw applied,,,,,"STRAW NORMAL, 2 NORMAL, 4 NORMAL: ",,,,,
CS326,1993,R/CS/326,07/08/1992,,Straw and stubble chopped.,residue management process,,3,Straw and stubble chopped.,,,,,,,,,,
CS326,1993,R/CS/326,14/10/1992,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1993,R/CS/326,16/10/1992,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1993,R/CS/326,19/08/1993,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1994,R/CS/326,25/08/1993,,straw applied,residue management process,,3,straw applied,,,,,"STRAW NORMAL, 2 NORMAL, 4 NORMAL: ",,,,,
CS326,1994,R/CS/326,25/08/1993,,straw removed,residue removal process,,3,straw removed,,,,,STRAW NONE,,,,,
CS326,1994,R/CS/326,25/08/1993,,Straw and stubble chopped.,residue management process,,3,Straw and stubble chopped.,,,,,,,,,,
CS326,1994,R/CS/326,27/09/1993,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1994,R/CS/326,19/10/1993,,disced,tillage process,,3,disced,,,,,,,,,,
CS326,1994,R/CS/326,19/10/1993,,spring-tine cultivated,tillage process,,3,spring-tine cultivated,,,,,,,,,,
CS326,1994,R/CS/326,20/10/1993,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1994,R/CS/326,06/08/1994,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1995,R/CS/326,16/08/1994,,straw applied,residue management process,,3,straw applied,,,,,"STRAW NORMAL, 2 NORMAL, 4 NORMAL: ",,,,,
CS326,1995,R/CS/326,16/08/1994,,straw removed,residue removal process,,3,straw removed,,,,,STRAW NONE,,,,,
CS326,1995,R/CS/326,16/08/1994,,Straw and stubble chopped.,residue management process,,3,Straw and stubble chopped.,,,,,,,,,,
CS326,1995,R/CS/326,04/10/1994,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1995,R/CS/326,07/10/1994,,rolled,land levelling process,,3,rolled,,,,,,,,,,
CS326,1995,R/CS/326,10/10/1994,,spring-tine cultivated,tillage process,,3,spring-tine cultivated,,,,,,,,,,
CS326,1995,R/CS/326,11/10/1994,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1995,R/CS/326,04/08/1995,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1996,R/CS/326,10/08/1995,,straw applied,residue management process,,3,straw applied,,,,,"STRAW NORMAL, 2 NORMAL, 4 NORMAL: ",,,,,
CS326,1996,R/CS/326,10/08/1995,,straw removed,residue removal process,,3,straw removed,,,,,STRAW NONE,,,,,
CS326,1996,R/CS/326,15/08/1995,,straw chopped,residue management process,,3,straw chopped,,,,,,,,,,
CS326,1996,R/CS/326,29/09/1995,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1996,R/CS/326,05/10/1995,,Heavy spring cultivated.,tillage process,,3,Heavy spring cultivated.,,,,,,,,,,
CS326,1996,R/CS/326,06/10/1995,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1996,R/CS/326,08/08/1996,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1997,R/CS/326,20/08/1996,,straw applied and chopped.,residue management process,,3,straw applied and chopped.,,,,,"STRAW NORMAL, 2 NORMAL, 4 NORMAL: ",,,,,
CS326,1997,R/CS/326,20/08/1996,,straw removed,residue removal process,,3,straw removed,,,,,STRAW NONE,,,,,
CS326,1997,R/CS/326,01/10/1996,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1997,R/CS/326,02/10/1996,,spring-tine cultivated,tillage process,,3,spring-tine cultivated,,,,,,,,,,
CS326,1997,R/CS/326,02/10/1996,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1997,R/CS/326,03/10/1996,,rolled,land levelling process,,3,rolled,,,,,,,,,,
CS326,1997,R/CS/326,19/08/1997,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
CS326,1998,R/CS/326,02/09/1997,,straw applied and chopped.,residue management process,,3,straw applied and chopped.,,,,,"STRAW NORMAL, 2 NORMAL, 4 NORMAL: ",,,,,
CS326,1998,R/CS/326,02/09/1997,,straw removed,residue removal process,,3,straw removed,,,,,STRAW NONE,,,,,
CS326,1998,R/CS/326,08/10/1997,,ploughed,tillage process,,3,ploughed,,,,,,,,,,
CS326,1998,R/CS/326,22/10/1997,,rotary harrowed,tillage process,,3,rotary harrowed,,,,,,,,,,
CS326,1998,R/CS/326,17/08/1998,,combine harvested,harvesting process,,3,combine harvested,,,,,,,,,,
