site,year,new_start_date,new_end_date,operation,operation_type,intensity,amount,unit,crop,variety,dressing,machine
R/CS/326,1987,06/10/1986,,seed sown,seeding process,,190,kg/ha,winter wheat,Mission,,
R/CS/326,1988,24/10/1987,,seed sown,seeding process,,180,kg/ha,winter wheat,Mission,,
R/CS/326,1989,19/10/1988,,seed sown,seeding process,,180,kg/ha,winter wheat,Rendezvous,,
R/CS/326,1990,05/10/1989,,seed sown,seeding process,,180,kg/ha,winter wheat,Pastiche,,
R/CS/326,1991,12/10/1990,,seed sown,seeding process,,190,kg/ha,winter wheat,Haven,,
R/CS/326,1992,05/09/1991,,seed sown,seeding process,,8,kg/ha,winter wheat,Falcon,Lindex-Plus FS,
R/CS/326,1993,16/10/1992,,seed sown,seeding process,,400,seeds/m2,winter wheat,Soissons,Cerevax,
R/CS/326,1994,20/10/1993,,seed sown,seeding process,,380,seeds/m2,winter wheat,Soissons,Cerevax,
R/CS/326,1995,11/10/1994,,seed sown,seeding process,,380,seeds/m2,winter wheat,Soissons,Beret 050FS,
R/CS/326,1996,06/10/1995,,seed sown,seeding process,,400,seeds/m2,winter wheat,Soissons,Sibutol,
R/CS/326,1997,02/10/1996,,seed sown,seeding process,,380,seeds/m2,winter wheat,Edward,Beret Gold,
R/CS/326,1998,22/10/1997,,seed drilled,seeding process,,380,seeds/m2,,Hereward,Anchor,
R/CS/326,1999,13/10/1998,,seed sown,seeding process,,380,seeds/m2,winter wheat,Hereward,Sibutol,Nordsten Drill
R/CS/326,2000,17/09/1999,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,Sibutol,Accord drill
R/CS/326,2001,19/10/2000,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,Sibutol,Accord drill
R/CS/326,2002,26/09/2001,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,sibutol Secur,Accord 2 drill
R/CS/326,2003,18/09/2002,,combination drilled seed,seeding process,,200,seeds/m2,,Hereward,sibutol Secur,Accord 2 drill
R/CS/326,2004,27/09/2003,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,sibutol Secur,Accord drill
R/CS/326,2005,27/09/2004,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,sibutol Secur,Accord drill
R/CS/326,2006,28/09/2005,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,Sibutol Secur,
R/CS/326,2007,29/10/2006,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,Redigo Twin and Deter,
R/CS/326,2008,13/10/2007,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,Beret Gold,
R/CS/326,2009,16/10/2008,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,Anchor,
R/CS/326,2010,05/10/2009,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,,
R/CS/326,2011,15/10/2010,,seed drilled,seeding process,,350,seeds/m2,winter wheat,Hereward,Redigo Deter,
