experiment,year,site,type,treatment,amount,orig_treatment,op_join,tank_mixture
CS326,1987,great knott,manures,nitram,130 kg,nitram at 130 kg followed by 590 kg,nitram,
CS326,1987,great knott,manures,2nd nitram,590 kg,nitram at 130 kg followed by 590 kg,nitram,
CS326,1987,great knott,weedkiller,paraquat,0.60 kg ion in 200 l,paraquat at 0.60 kg ion in 200 l,paraquat,
CS326,1987,great knott,weedkiller,isoproturon,2.5 kg in 200 l,isoproturon at 2.5 kg in 200 l,isoproturon,
CS326,1987,great knott,weedkiller,clopyralid,0.05 kg,"clopyralid at 0.05 kg, bromoxynil at 0.24 kg with mecoprop at 1.8 kg in 200 l","clopyralid , bromoxynil , mecoprop",1
CS326,1987,great knott,weedkiller,bromoxynil,0.24 kg,"clopyralid at 0.05 kg, bromoxynil at 0.24 kg with mecoprop at 1.8 kg in 200 l","clopyralid , bromoxynil , mecoprop",1
CS326,1987,great knott,weedkiller,mecoprop,1.8 kg in 200 l,"clopyralid at 0.05 kg, bromoxynil at 0.24 kg with mecoprop at 1.8 kg in 200 l","clopyralid , bromoxynil , mecoprop",1
CS326,1987,great knott,fungicide,propiconazole,0.12 kg in 200 l,propiconazole at 0.12 kg in 200 l,propiconazole,1
CS326,1987,great knott,fungicide,propiconazole,0.12 kg,propiconazole at 0.12 kg with carbendazim at 0.25 kg and maneb at 1.6 kg in 200 l,"propiconazole , carbendazim and maneb",1
CS326,1987,great knott,fungicide,carbendazim,0.25 kg,propiconazole at 0.12 kg with carbendazim at 0.25 kg and maneb at 1.6 kg in 200 l,"propiconazole , carbendazim and maneb",1
CS326,1987,great knott,fungicide,maneb,1.6 kg in 200 l,propiconazole at 0.12 kg with carbendazim at 0.25 kg and maneb at 1.6 kg in 200 l,"propiconazole , carbendazim and maneb",1
CS326,1987,far field,manures,nitram,120 kg,nitram at 120 kg followed by 600 kg,nitram,1
CS326,1987,far field,manures,2nd nitram,600 kg,nitram at 120 kg followed by 600 kg,nitram,1
CS326,1987,far field,weedkiller,tri-allate as 'avadex bw',4.2 l in 250 l,tri-allate as 'avadex bw' at 4.2 l in 250 l,tri-allate as 'avadex bw',1
CS326,1987,far field,weedkiller,isoproturon,2.0 kg,"isoproturon at 2.0 kg with clopyralid at 0.07 kg, bromoxynil at 0.34 kg and mecoprop at 2.5 kg in 240 l,","isoproturon , clopyralid , bromoxynil and mecoprop ,",1
CS326,1987,far field,weedkiller,clopyralid,0.07 kg,"isoproturon at 2.0 kg with clopyralid at 0.07 kg, bromoxynil at 0.34 kg and mecoprop at 2.5 kg in 240 l,","isoproturon , clopyralid , bromoxynil and mecoprop ,",1
CS326,1987,far field,weedkiller,bromoxynil,0.34 kg,"isoproturon at 2.0 kg with clopyralid at 0.07 kg, bromoxynil at 0.34 kg and mecoprop at 2.5 kg in 240 l,","isoproturon , clopyralid , bromoxynil and mecoprop ,",1
CS326,1987,far field,weedkiller,mecoprop,2.5 kg in 240 l,"isoproturon at 2.0 kg with clopyralid at 0.07 kg, bromoxynil at 0.34 kg and mecoprop at 2.5 kg in 240 l,","isoproturon , clopyralid , bromoxynil and mecoprop ,",1
CS326,1987,far field,weedkiller,,,"isoproturon at 2.0 kg with clopyralid at 0.07 kg, bromoxynil at 0.34 kg and mecoprop at 2.5 kg in 240 l,","isoproturon , clopyralid , bromoxynil and mecoprop ,",1
CS326,1987,far field,fungicide,propiconazole,0.12 kg,propiconazole at 0.12 kg with tridemorph at 0.52 kg in 200 l,"propiconazole , tridemorph",1
CS326,1987,far field,fungicide,tridemorph,0.52 kg in 200 l,propiconazole at 0.12 kg with tridemorph at 0.52 kg in 200 l,"propiconazole , tridemorph",1
CS326,1987,far field,fungicide,propiconazole,0.12 kg,propiconazole at 0.12 kg with carbendazim and maneb as septal at 2.5 kg in 200 l,"propiconazole , carbendazim and maneb as septal",1
CS326,1987,far field,fungicide,carbendazim,,propiconazole at 0.12 kg with carbendazim and maneb as septal at 2.5 kg in 200 l,"propiconazole , carbendazim and maneb as septal",1
CS326,1987,far field,fungicide,maneb as septal,2.5 kg in 200 l,propiconazole at 0.12 kg with carbendazim and maneb as septal at 2.5 kg in 200 l,"propiconazole , carbendazim and maneb as septal",1
CS326,1988,great knott,manures,nitram,116 kg,nitram at 116 kg followed by 580 kg,nitram,1
CS326,1988,great knott,manures,2nd nitram,580 kg,nitram at 116 kg followed by 580 kg,nitram,1
CS326,1988,great knott,weedkiller,paraquat,0.60 kg ion in 200 l,paraquat at 0.60 kg ion in 200 l,paraquat,1
CS326,1988,great knott,weedkiller,tri-allate,2.2 kg,tri-allate at 2.2 kg,tri-allate,1
CS326,1988,great knott,weedkiller,isoproturon,2.1 kg in 200 l,isoproturon at 2.1 kg in 200 l,isoproturon,1
CS326,1988,great knott,weedkiller,fluroxypyr,0.20 kg in 200 l,fluroxypyr at 0.20 kg in 200 l applied with the prochloraz and carbendazim,"fluroxypyr applied, the prochloraz and carbendazim",1
CS326,1988,great knott,fungicide,prochloraz,0.40 kg,prochloraz at 0.40 kg and carbendazim at 0.15 kg,prochloraz and carbendazim,1
CS326,1988,great knott,fungicide,carbendazim,0.15 kg,prochloraz at 0.40 kg and carbendazim at 0.15 kg,prochloraz and carbendazim,1
CS326,1988,great knott,fungicide,propiconazole,0.12 kg,propiconazole at 0.12 kg and tridemorph at 0.25 kg in 200 l,propiconazole and tridemorph,1
CS326,1988,great knott,fungicide,tridemorph,0.25 kg in 200 l,propiconazole at 0.12 kg and tridemorph at 0.25 kg in 200 l,propiconazole and tridemorph,1
