Experiment,year,site,new_start_date,new_end_date,operation,old_operations,amount,unit,variety,machine,dressing,plot,tank_mixture,water volume,water volume unit
CS326,1987,great knott,27/09/1986,,paraquat applied,paraquat applied,,,,,,,,,
CS326,1987,great knott,29/09/1986,,rolled,rolled,,,,,,,,,
CS326,1987,great knott,01/10/1986,,disced,disced,,,,,,,,,
CS326,1987,great knott,06/10/1986,,rotary harrowed,rotary harrowed,,,,,,,,,
CS326,1987,great knott,06/10/1986,,seed sown,seed sown,190,kg/ha,Mission,,,,,,
CS326,1987,great knott,06/10/1986,,harrowed,harrowed,,,,,,,,,
CS326,1987,great knott,19/03/1987,,N applied,N applied,,,,,,,,,
CS326,1987,great knott,18/04/1987,,N applied,N applied,,,,,,,,,
CS326,1987,great knott,31/03/1987,,Isoproturon applied,Isoproturon applied,,,,,,,,,
CS326,1987,great knott,18/04/1987,,"Clopyralid, bromoxynil and mecoprop applied","Clopyralid, bromoxynil and mecoprop applied",,,,,,,,,
CS326,1987,great knott,28/05/1987,,propiconazole applied,propiconazole applied,,,,,,,,,
CS326,1987,great knott,30/06/1987,,"propiconazole, carbendazim and maneb applied","propiconazole, carbendazim and maneb applied",,,,,,,,,
CS326,1987,great knott,19/08/1987,,combine harvested,combine harvested,,,,,,,,,
CS326,1987,far field,08/10/1986,,rotary cultivated with crumbler attached,rotary cultivated with crumbler attached,,,,,,,,,
CS326,1987,far field,08/10/1986,,seed sown,seed sown,190,kg/ha,Mission,,,,,,
CS326,1987,far field,09/10/1986,,rolled,rolled,,,,,,,,,
CS326,1987,far field,10/10/1986,,Tri-allate applied,Tri-allate applied,,,,,,,,,
CS326,1987,far field,10/10/1986,,harrowed,harrowed,,,,,,,,,
CS326,1987,far field,31/03/1987,,N applied,N applied,,,,,,,,,
CS326,1987,far field,16/04/1987,,N applied,N applied,,,,,,,,,
CS326,1987,far field,17/04/1987,,"Isoproturon, clopyralid, bromoxynil and mecoprop applied","Isoproturon, clopyralid, bromoxynil and mecoprop applied",,,,,,,,,
CS326,1987,far field,05/06/1987,,propiconazole and Tridemorph applied,propiconazole and Tridemorph applied,,,,,,,,,
CS326,1987,far field,30/06/1987,,"propiconazole, carbendazim and maneb applied","propiconazole, carbendazim and maneb applied",,,,,,,,,
CS326,1987,far field,07/09/1987,,combine harvested,combine harvested,,,,,,,,,
CS326,1988,great knott,29/09/1987,,paraquat applied,paraquat applied,,,,,,,,,
CS326,1988,great knott,23/10/1987,,spring-tine cultivated,spring-tine cultivated,,,,,,,,,
CS326,1988,great knott,24/10/1987,,seed sown,seed sown,180,kg/ha,Mission,,,,,,
CS326,1988,great knott,24/10/1987,,harrowed,harrowed,,,,,,,,,
CS326,1988,great knott,08/12/1987,,Tri-allate applied,Tri-allate applied,,,,,,,,,
CS326,1988,great knott,24/02/1988,,N applied,N applied,,,,,,,,,
CS326,1988,great knott,22/04/1988,,N applied,N applied,,,,,,,,,
CS326,1988,great knott,17/03/1988,,Isoproturon applied,Isoproturon applied,,,,,,,,,
CS326,1988,great knott,06/05/1988,,"Fluroxypyr, prochloraz and carbendazim applied","Fluroxypyr, prochloraz and carbendazim applied",,,,,,,,,
CS326,1988,great knott,03/06/1988,,propiconazole and Tridemorph applied,propiconazole and Tridemorph applied,,,,,,,,,
CS326,1988,great knott,23/06/1988,,"propiconazole, carbendazim and maneb applied","propiconazole, carbendazim and maneb applied",,,,,,,,,
CS326,1988,great knott,25/08/1988,,combine harvested,combine harvested,,,,,,,,,
CS326,1988,far field,25/09/1987,,glyphosate applied,glyphosate applied,,,,,,,,,
CS326,1988,far field,03/10/1987,,Heavy spring- tine cultivated twice to 10 cm,Heavy spring- tine cultivated twice to 10 cm,,,,,,,,,
CS326,1988,far field,22/10/1987,,glyphosate applied,glyphosate applied,,,,,,,,,
CS326,1988,far field,29/10/1987,,power harrowed,power harrowed with crumbler attached,,,,,,,,,
,,,,,crumbler attached,,,,,,,,,,
CS326,1988,far field,07/12/1987,,spring-tine cultivated,spring-tine cultivated,,,,,,,,,
CS326,1988,far field,09/12/1987,,Spike harrowed,Spike harrowed with crumbler attached,,,,,,,,,
,,,,,crumbler attached,,,,,,,,,,
CS326,1988,far field,09/12/1987,,seed sown,seed sown,200,kg/ha,Mission,,,,,,
CS326,1988,far field,08/03/1988,,N applied,N applied,,,,,,,,,
CS326,1988,far field,03/05/1988,,N applied,N applied,,,,,,,,,
CS326,1988,far field,26/04/1988,,"Isoproturon, bromoxynil, ioxynil and mecoprop applied","Isoproturon, bromoxynil, ioxynil and mecoprop applied",,,,,,,,,
CS326,1988,far field,22/06/1988,,Fungicide applied,Fungicide applied,,,,,,,,,
CS326,1988,far field,16/08/1988,,glyphosate applied,glyphosate applied,,,,,,,,,
CS326,1988,far field,25/08/1988,,combine harvested,combine harvested,,,,,,,,,
CS326,1989,great knott,06/09/1988,,Magnesian limestone applied,Magnesian limestone applied,,,,,,,,,
CS326,1989,great knott,14/09/1988,,ploughed,ploughed,,,,,,,,,
CS326,1989,great knott,29/09/1988,,PK applied,PK applied,,,,,,,,,
CS326,1989,great knott,18/10/1988,,paraquat applied,paraquat applied,,,,,,,,,
CS326,1989,great knott,19/10/1988,,rotary harrowed,rotary harrowed,,,,,,,,,
CS326,1989,great knott,19/10/1988,,seed sown,seed sown,180,kg/ha,Rendezvous,,,,,,
CS326,1989,great knott,19/10/1988,,harrowed,harrowed,,,,,,,,,
CS326,1989,great knott,29/10/1988,,Isoproturon applied,Isoproturon applied,,,,,,,,,
CS326,1989,great knott,21/02/1989,,N applied,N applied,,,,,,,,,
CS326,1989,great knott,14/04/1989,,N applied,N applied,,,,,,,,,
CS326,1989,great knott,15/04/1989,,metsulfuron-methyl and fluroxypyr applied,metsulfuron-methyl and fluroxypyr applied,,,,,,,,,
CS326,1989,great knott,19/05/1989,,Chlorothalonil applied,Chlorothalonil applied,,,,,,,,,
CS326,1989,great knott,20/06/1989,,propiconazole and Tridemorph applied,propiconazole and Tridemorph applied,,,,,,,,,
CS326,1989,great knott,05/08/1989,,combine harvested,combine harvested,,,,,,,,,
CS326,1989,far field,16/09/1988,,PK applied,PK applied,,,,,,,,,
CS326,1989,far field,20/09/1988,,Subsoiled,"Subsoiled with tines 140 cm apart, 40 cm deep",,,,,,,,,
,,,,,"tines 140 cm apart, 40 cm deep",,,,,,,,,,
CS326,1989,far field,03/10/1988,,rolled,rolled,,,,,,,,,
CS326,1989,far field,19/10/1988,,paraquat applied,paraquat applied,,,,,,,,,
CS326,1989,far field,21/10/1988,,spring cultivated,spring cultivated with crumbler attached,,,,,,,,,
,,,,,crumbler attached,,,,,,,,,,
CS326,1989,far field,21/10/1988,,seed sown,seed sown,180,kg/ha,Rendezvous,,,,,,
CS326,1989,far field,21/10/1988,,harrowed,harrowed,,,,,,,,,
CS326,1989,far field,08/12/1988,,Isoproturon applied,Isoproturon applied,,,,,,,,,
CS326,1989,far field,08/03/1989,,N applied,N applied,,,,,,,,,
CS326,1989,far field,28/04/1989,,N applied,N applied,,,,,,,,,
CS326,1989,far field,23/05/1989,,Chlorothalonil applied,Chlorothalonil applied,,,,,,,,,
CS326,1989,far field,22/06/1989,,propiconazole and Tridemorph applied,propiconazole and Tridemorph applied,,,,,,,,,
CS326,1989,far field,04/08/1989,,combine harvested,combine harvested,,,,,,,,,
CS326,1990,great knott,22/08/1989,,ploughed,ploughed,,,,,,,,,
CS326,1990,great knott,02/10/1989,,paraquat and wetting agent applied,paraquat and wetting agent applied,,,,,,,,,
CS326,1990,great knott,04/10/1989,,rotary harrowed,rotary harrowed,,,,,,,,,
CS326,1990,great knott,05/10/1989,,seed sown,seed sown,180,kg/ha,Pastiche,,,,,,
CS326,1990,great knott,06/10/1989,,harrowed,harrowed,,,,,,,,,
CS326,1990,great knott,06/10/1989,,rolled,rolled,,,,,,,,,
CS326,1990,great knott,22/11/1989,,chlortoluron and cyanazine applied,chlortoluron and cyanazine applied,,,,,,,,,
CS326,1990,great knott,23/02/1990,,Isoproturon applied,Isoproturon applied,,,,,,,,,
CS326,1990,great knott,02/03/1990,,N applied,N applied,,,,,,,,,
CS326,1990,great knott,12/04/1990,,N applied,N applied,,,,,,,,,
CS326,1990,great knott,30/04/1990,,Fluroxypyr and fenoxaprop-ethyl applied,Fluroxypyr and fenoxaprop-ethyl applied,,,,,,,,,
CS326,1990,great knott,31/05/1990,,Fungicide applied,Fungicide applied,,,,,,,,,
CS326,1990,great knott,13/08/1990,,combine harvested,combine harvested,,,,,,,,,
CS326,1990,far field,30/08/1989,,Heavy-tine cultivated,Heavy-tine cultivated,,,,,,,,,
CS326,1990,far field,11/09/1989,,Heavy-tine cultivated,Heavy-tine cultivated,,,,,,,,,
CS326,1990,far field,21/09/1989,,rotary cultivated,rotary cultivated,,,,,,,,,
CS326,1990,far field,06/10/1989,,Subsoiled,Subsoiled with vibrating tines 50 cm apart and 40 cm deep,,,,,,,,,
