experiment,year,cropped section,new start date,new end date,operation,sections,method,operation type,flag,intensity,Amount,Units,water,water unit,variety,dressing,machine,orig_operation
Broadbalk,1933,cropped sections,10/10/1932,11/10/1932,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1933,cropped sections,29/03/1933,30/05/1933,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1933,cropped sections,22/05/1933,,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1935,cropped sections,27/03/1935,28/03/1935,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1935,cropped sections,18/10/1934,19/10/1934,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1935,cropped sections,03/05/1935,,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1936,cropped sections,07/10/1935,08/10/1935,dung applied,,,agronomic fertilization process,4,,,,,,,,,dung applied
Broadbalk,1936,cropped sections,28/10/1935,29/10/1935,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1936,cropped sections,06/11/1935,,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1936,cropped sections,15/04/1936,,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1936,cropped sections,06/05/1936,,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1937,cropped sections,23/09/1936,,dung applied,,,agronomic fertilization process,4,,,,,,,,,dung applied
Broadbalk,1937,cropped sections,06/10/1936,07/10/1936,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1937,cropped sections,01/05/1937,02/05/1937,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1937,cropped sections,10/05/1937,,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1937,fallow sections,10/05/1937,,Nitrate of soda, plot 16,,agronomic fertilization process,4,,,,,,,,,Nitrate of soda applied to plot 16
Broadbalk,1938,cropped sections,22/09/1937,,dung applied,,,agronomic fertilization process,4,,,,,,,,,dung applied
Broadbalk,1938,cropped sections,12/10/1937,14/10/1937,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1938,cropped sections,11/03/1938,,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1938,cropped sections,07/04/1938,,manures applied,,,agronomic fertilization process,4,,,,,,,,,manures applied
Broadbalk,1948,cropped sections,24/09/1947,,dung applied,,,agronomic fertilization process,4,,,,,,,,,dung applied
Broadbalk,1948,cropped sections,13/10/1947,15/10/1947,Artificials applied,,,agronomic fertilization process,4,,,,,,,,,Artificials applied
Broadbalk,1948,cropped sections,27/04/1948,28/04/1948,N applied,,,agronomic fertilization process,4,,,,,,,,,Nitrogenous fertilisers applied
Broadbalk,1948,cropped sections,07/05/1948,,Second dressing of nitrate of soda, plot 16,,agronomic fertilization process,4,,,,,,,,,Second dressing of nitrate of soda applied to plot 16
Broadbalk,1949,cropped sections,11/09/1948,12/09/1948,dung applied,,,agronomic fertilization process,4,,,,,,,,,dung applied
Broadbalk,1949,cropped sections,11/11/1948,15/11/1948,Artificials applied,,,agronomic fertilization process,4,,,,,,,,,Artificials applied
