experiment,year,cropped section,new start date,new end date,operation,sections,method,operation type,flag,intensity,Amount,Units,water,water unit,variety,dressing,machine,orig_operation
Broadbalk,1929,cropped plots,09/08/1929,,harvested,,,harvesting process,1,,,,,,,,,harvest
Broadbalk,1929,cropped plots,17/08/1929,,carted,,,residue removal process,1,,,,,,,,,carted
Broadbalk,1930,all plots,05/09/1929,06/09/1929,tractor cultivated across,,,tillage process,1,1,,,,,,,,tractor cultivated across
Broadbalk,1930,all plots,20/09/1929,,tractor cultivated across with thistle bar attached,,,tillage process,1,1,,,,,,,,tractor cultivated across with thistle bar attached
Broadbalk,1930,all plots,01/10/1929,08/10/1929,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1930,all plots,16/10/1929,,harrowed in seed,,,tillage process,1,1,,,,,,,,harrowed in seed
Broadbalk,1930,Sections I and II,21/02/1930,,chain harrowed,,,tillage process,1,1,,,,,,,,chain harrowed
Broadbalk,1930,Sections I and II,23/04/1930,,harrowed across,,,tillage process,1,1,,,,,,,,harrowed across
Broadbalk,1930,all plots,29/04/1930,,harrowed across,,,tillage process,1,1,,,,,,,,harrowed across
Broadbalk,1930,Sections I and II,02/05/1930,,chain harrowed across,,,tillage process,1,1,,,,,,,,chain harrowed across
Broadbalk,1930,"Sections III, IV, V",02/05/1930,,tooth harrowed lengthwise,,,tillage process,1,1,,,,,,,,tooth harrowed lengthwise
Broadbalk,1930,cropped plots,18/08/1930,,harvested,,,harvesting process,1,,,,,,,,,harvest
Broadbalk,1930,cropped plots,27/08/1930,30/08/1930,carted,,,residue removal process,1,,,,,,,,,carted
Broadbalk,1931,all plots,30/08/1930,01/09/1930,tractor cultivated,,,tillage process,1,1,,,,,,,,tractor cultivated
Broadbalk,1931,all plots,02/10/1930,07/10/1930,tractor ploughed,,,tillage process,1,1,,,,,,,,tractor ploughed
Broadbalk,1931,all plots,15/10/1930,,tractor disc harrowed followed by drag harrow,,,tillage process,1,1,,,,,,,,tractor disc harrowed followed by drag harrow
Broadbalk,1931,cropped sections,16/10/1930,,harrowed in seed,,,tillage process,1,1,,,,,,,,harrowed in seed
Broadbalk,1931,cropped sections,17/08/1931,18/08/1931,harvested,,,harvesting process,1,,,,,,,,,harvest
Broadbalk,1931,cropped sections,27/08/1931,29/08/1931,carted,,,residue removal process,1,,,,,,,,,carted
Broadbalk,1932,all plots,29/08/1931,15/09/1931,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1932,all plots,21/09/1931,26/09/1931,tractor cultivated with disc and tooth harrows,,,tillage process,1,1,,,,,,,,tractor cultivated with disc and tooth harrows
Broadbalk,1932,all plots,10/10/1931,12/10/1931,cultivated with thistle bar attached,,,tillage process,1,1,,,,,,,,cultivate with thistle bar attached
Broadbalk,1932,all plots,15/10/1931,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1932,all plots,25/02/1931,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1932,cropped sections,09/08/1932,10/08/1932,harvested,,,harvesting process,1,,,,,,,,,harvest
Broadbalk,1932,cropped sections,16/08/1932,18/08/1932,carted,,,residue removal process,1,,,,,,,,,carted
Broadbalk,1933,all plots,19/08/1932,05/09/1932,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1933,all plots,15/09/1932,16/09/1932,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1933,cropped sections,17/10/1932,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1933,cropped sections,08/05/1933,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1933,cropped sections,27/07/1933,28/07/1933,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1933,fallow sections,24/04/1933,25/04/1933,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1933,fallow sections,07/07/1933,10/07/1933,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1933,fallow sections,29/03/1933,12/04/1933,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1933,fallow sections,15/09/1932,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1933,fallow sections,15/06/1933,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1933,fallow sections,10/05/1933,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1933,fallow sections,02/06/1933,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1934,all plots,08/08/1933,12/08/1933,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1934,all plots,09/10/1933,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,cropped sections,12/10/1933,14/10/1933,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,cropped sections,05/04/1934,06/04/1934,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,cropped sections,09/10/1933,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,cropped sections,12/10/1933,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,cropped sections,03/04/1934,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,cropped sections,27/04/1934,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,cropped sections,01/08/1934,03/08/1934,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1934,fallow sections,10/05/1934,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1934,fallow sections,16/07/1934,17/07/1934,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1934,fallow sections,15/08/1934,21/08/1934,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1934,fallow sections,12/10/1933,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,fallow sections,24/02/1934,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,fallow sections,05/04/1934,06/04/1934,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,fallow sections,14/07/1934,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1934,fallow sections,20/04/1934,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1934,fallow sections,16/06/1934,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1934,fallow sections,18/06/1934,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1934,fallow sections,25/06/1934,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1934,fallow sections,22/06/1934,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1934,fallow sections,29/06/1934,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1935,fallow sections,15/08/1934,21/08/1934,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1935,all plots,20/09/1934,25/09/1934,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1935,all plots,15/08/1934,21/08/1934,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1935,cropped sections,20/10/1934,24/10/1934,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1935,cropped sections,06/08/1935,08/08/1935,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1935,fallow sections,22/07/1935,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1935,fallow sections,03/10/1935,14/10/1935,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1935,fallow sections,20/10/1934,23/10/1934,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1935,fallow sections,11/03/1935,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1935,fallow sections,23/04/1935,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1935,fallow sections,01/05/1935,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1935,fallow sections,29/05/1935,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1935,fallow sections,04/07/1935,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1936,all plots,19/08/1935,22/08/1935,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1936,all plots,02/10/1935,14/10/1935,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1936,all plots,26/09/1935,27/09/1935,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1936,all plots,31/10/1935,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1936,cropped sections,07/11/1935,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1936,cropped sections,27/11/1935,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1936,cropped sections,20/03/1936,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1936,cropped sections,06/04/1936,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1936,cropped sections,06/05/1936,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1936,all plots,26/10/1935,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1936,cropped sections,27/11/1935,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1936,cropped sections,30/10/1935,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1936,cropped sections,06/05/1936,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1936,cropped sections,21/08/1936,22/08/1936,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1936,fallow sections,15/04/1936,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1936,fallow sections,22/07/1936,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1936,fallow sections,10/08/1936,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1936,fallow sections,30/05/1936,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1936,fallow sections,29/06/1936,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1936,fallow sections,10/08/1936,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1937,all plots,15/09/1936,24/09/1936,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1937,all plots,08/10/1936,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1937,all plots,15/10/1936,,tractor springtine harrowed,,,tillage process,1,1,,,,,,,,tractor spring-tine harrowed
Broadbalk,1937,all plots,16/10/1936,,tractor disc harrowed,dung plots,,tillage process,1,1,,,,,,,,tractor disc harrowed dung plots
Broadbalk,1937,cropped sections,17/10/1936,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1937,cropped sections,20/10/1936,21/10/1936,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1937,cropped sections,09/08/1937,11/08/1937,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1937,fallow sections,17/10/1936,,tractor rolled and harrowed,,,tillage process,1,1,,,,,,,,tractor rolled and harrowed then spring-tine harrowed
Broadbalk,1937,fallow sections,17/10/1936,,springtine harrowed,,,tillage process,1,,,,,,,,,
Broadbalk,1937,fallow sections,02/04/1937,27/04/1937,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1937,fallow sections,10/05/1937,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1937,fallow sections,27/05/1937,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1937,fallow sections,06/08/1937,,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1938,all plots,06/09/1937,29/09/1937,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1938,cropped sections,14/10/1937,16/10/1937,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1938,cropped sections,04/11/1937,06/11/1937,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1938,cropped sections,15/03/1938,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1938,cropped sections,19/10/1937,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1938,all plots,19/10/1937,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1938,cropped sections,16/03/1938,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1938,cropped sections,05/08/1938,,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1938,fallow sections,07/06/1938,11/06/1938,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1938,fallow sections,14/10/1937,16/10/1937,cultivated,,,tillage process,1,1,,,,,,,,cultivated
Broadbalk,1938,fallow sections,19/10/1937,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1938,fallow sections,05/03/1938,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1938,fallow sections,02/04/1938,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1938,fallow sections,05/05/1938,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1938,fallow sections,15/08/1938,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1938,fallow sections,05/05/1938,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1948,cropped sections,22/09/1947,24/09/1947,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1948,cropped sections,22/10/1947,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1948,cropped sections,22/10/1947,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1948,cropped sections,23/10/1947,,tooth harrowed,,,tillage process,1,1,,,,,,,,Tooth harrowed
Broadbalk,1948,cropped sections,25/10/1947,,harrowed in seed,,,tillage process,1,1,,,,,,,,Harrowed in
Broadbalk,1948,cropped sections,12/04/1948,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1948,cropped sections,20/04/1948,,ring rolled,,,tillage process,1,1,,,,,,,,Ring rolled
Broadbalk,1948,cropped sections,15/06/1948,30/07/1948,Wild oats hand pulled various days,,,hand picking process,1,,,,,,,,,Wild oats hand pulled various days
Broadbalk,1948,cropped sections,19/08/1948,20/08/1948,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1948,fallow sections,22/09/1947,24/09/1947,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1948,fallow sections,22/10/1947,,rolled,,,tillage process,1,1,,,,,,,,Rolled and springtine harrowed
Broadbalk,1948,fallow sections,22/10/1947,,springtine harrowed,,,tillage process,1,1,,,,,,,,
Broadbalk,1948,fallow sections,23/10/1947,25/10/1947,tooth harrowed,,,tillage process,1,1,,,,,,,,Tooth harrowed
Broadbalk,1948,fallow sections,12/04/1948,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1948,fallow sections,20/04/1948,,Thistles cut,,,mechanical pest destruction process,1,,,,,,,,,Thistles cut
Broadbalk,1948,fallow sections,25/05/1948,27/05/1948,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1948,fallow sections,09/06/1948,,ring rolled,,,tillage process,1,1,,,,,,,,Ring rolled
Broadbalk,1948,fallow sections,01/07/1948,,Thistles cut,,,mechanical pest destruction process,1,,,,,,,,,Thistles cut
Broadbalk,1948,fallow sections,14/07/1948,15/07/1948,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1948,fallow sections,06/08/1948,,rolled,,,tillage process,1,1,,,,,,,,Rolled and springtine harrowed
Broadbalk,1948,fallow sections,06/08/1948,,springtine harrowed,,,tillage process,1,1,,,,,,,,
Broadbalk,1949,cropped sections,02/09/1948,16/09/1948,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1949,cropped sections,22/10/1948,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1949,cropped sections,11/11/1948,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1949,cropped sections,13/11/1948,15/11/1948,harrowed in seed,,,tillage process,1,1,,,,,,,,Harrowed in
Broadbalk,1949,cropped sections,14/04/1949,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1949,cropped sections,19/04/1949,,ring rolled,,,tillage process,1,1,,,,,,,,Ring rolled
Broadbalk,1949,cropped sections,17/05/1949,23/05/1949,Weeds hand pulled,,,hand picking process,1,,,,,,,,,Weeds hand pulled
Broadbalk,1949,cropped sections,27/06/1949,06/07/1949,Wild oats hand pulled various days,,,hand picking process,1,,,,,,,,,Wild oats hand pulled various days
Broadbalk,1949,cropped sections,25/07/1949,27/07/1949,Wild oats hand pulled various days,,,hand picking process,1,,,,,,,,,Wild oats hand pulled various days
Broadbalk,1949,cropped sections,05/08/1949,06/08/1949,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1949,fallow sections,02/09/1948,16/09/1948,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1949,fallow sections,22/10/1948,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1949,fallow sections,24/01/1949,31/01/1949,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1949,fallow sections,22/03/1949,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1949,fallow sections,14/04/1949,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1949,fallow sections,30/05/1949,,Thistles cut,,,mechanical pest destruction process,1,,,,,,,,,Thistles cut
Broadbalk,1949,fallow sections,27/06/1949,,Thistles cut,,,mechanical pest destruction process,1,,,,,,,,,Thistles cut
Broadbalk,1949,fallow sections,04/07/1949,05/07/1949,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1949,fallow sections,18/07/1949,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
