Operation Id,experiment,year,cropped section,new start date,new end date,operation,operation type,Amount,Units
RBK00001,Broadbalk,1948,cropped sections,22/09/1947,24/09/1947,Ploughed,,,
RBK00002,Broadbalk,1948,cropped sections,24/09/1947,,Dung applied,,,
RBK00003,Broadbalk,1948,cropped sections,13/10/1947,15/10/1947,Artificials applied,,,
RBK00004,Broadbalk,1948,cropped sections,22/10/1947,,Rolled and springtine harrowed,,,
RBK00005,Broadbalk,1948,cropped sections,23/10/1947,,Tooth harrowed,,,
RBK00006,Broadbalk,1948,cropped sections,24/10/1947,25/10/1947,Seed drilled,,,
RBK00007,Broadbalk,1948,cropped sections,25/10/1947,,Harrowed in,,,
RBK00008,Broadbalk,1948,cropped sections,12/04/1948,,Harrowed,,,
RBK00009,Broadbalk,1948,cropped sections,20/04/1948,,Ring rolled,,,
RBK00010,Broadbalk,1948,cropped sections,27/04/1948,28/04/1948,Nitrogenous fertilisers applied,,,
RBK00011,Broadbalk,1948,cropped sections,07/05/1948,,Second dressing of nitrate of soda applied to plot 16,,,
RBK00012,Broadbalk,1948,cropped sections,15/06/1948,30/07/1948,Wild oats hand pulled various days,,,
RBK00013,Broadbalk,1948,cropped sections,19/08/1948,20/08/1948,Harvested,,,
RBK00014,Broadbalk,1948,fallow sections,22/09/1947,24/09/1947,Ploughed,,,
RBK00015,Broadbalk,1948,fallow sections,22/10/1947,,Rolled and springtine harrowed,,,
RBK00016,Broadbalk,1948,fallow sections,23/10/1947,25/10/1947,Tooth harrowed,,,
RBK00017,Broadbalk,1948,fallow sections,12/04/1948,,Springtine harrowed,,,
RBK00018,Broadbalk,1948,fallow sections,20/04/1948,,Thistles cut,,,
RBK00019,Broadbalk,1948,fallow sections,25/05/1948,27/05/1948,Ploughed,,,
RBK00020,Broadbalk,1948,fallow sections,09/06/1948,,Ring rolled,,,
RBK00021,Broadbalk,1948,fallow sections,01/07/1948,,Thistles cut,,,
RBK00022,Broadbalk,1948,fallow sections,14/07/1948,15/07/1948,Ploughed,,,
RBK00023,Broadbalk,1948,fallow sections,06/08/1948,,Rolled and springtine harrowed,,,
RBK00024,Broadbalk,1949,cropped sections,02/09/1948,16/09/1948,Ploughed,,,
RBK00025,Broadbalk,1949,cropped sections,11/09/1948,12/09/1948,Dung applied,,,
RBK00026,Broadbalk,1949,cropped sections,22/10/1948,,Springtine harrowed,,,
RBK00027,Broadbalk,1949,cropped sections,11/11/1948,,Harrowed,,,
RBK00028,Broadbalk,1949,cropped sections,11/11/1948,13/11/1948,Seed drilled,,,
RBK00029,Broadbalk,1949,cropped sections,11/11/1948,15/11/1948,Artificials applied,,,
RBK00030,Broadbalk,1949,cropped sections,13/11/1948,15/11/1948,Harrowed in,,,
RBK00031,Broadbalk,1949,cropped sections,14/04/1949,,Harrowed,,,
RBK00032,Broadbalk,1949,cropped sections,19/04/1949,,Ring rolled,,,
RBK00033,Broadbalk,1949,cropped sections,27/04/1949,,Nitrogenous fertilisers applied,,,
RBK00034,Broadbalk,1949,cropped sections,17/05/1949,23/05/1949,Weeds hand pulled,,,
RBK00035,Broadbalk,1949,cropped sections,23/05/1949,,Second dressing of nitrate of soda applied to plot 16,,,
RBK00036,Broadbalk,1949,cropped sections,27/06/1949,06/07/1949,Wild oats hand pulled various days,,,
RBK00037,Broadbalk,1949,cropped sections,25/07/1949,27/07/1949,Wild oats hand pulled various days,,,
RBK00038,Broadbalk,1949,cropped sections,05/08/1949,06/08/1949,Harvested,,,
RBK00039,Broadbalk,1949,fallow sections,02/09/1948,16/09/1948,Ploughed,,,
RBK00040,Broadbalk,1949,fallow sections,22/10/1948,,Springtine harrowed,,,
