experiment,year,cropped section,start date,end date,operation,operation type
Broadbalk,1952,cropped sections,07-Sep-51,,"Dung applied, ploughed all plots",
Broadbalk,1952,cropped sections,22-Oct-51,,autumn fertilizers applied,
Broadbalk,1952,cropped sections,05-Nov-51,,seed drilled at 34 bushels per acre,
Broadbalk,1952,cropped sections,21-Apr-52,,spring fertilizers applied,
Broadbalk,1952,cropped sections,13-May-52,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1952,cropped sections,22-Aug-52,,Harvested,
Broadbalk,1952,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1952,fallow sections,06-Sep-51,,ploughed,
Broadbalk,1952,fallow sections,22-Apr-52,,ploughed,
Broadbalk,1952,fallow sections,26-Jun-52,,ploughed,
Broadbalk,1952,fallow sections,27-Aug-52,,ploughed,
Broadbalk,1953,cropped sections,03-Sep-52,,"Dung applied, ploughed all plots",
Broadbalk,1953,cropped sections,11-Nov-52,,autumn fertilizers applied,
Broadbalk,1953,cropped sections,12-Nov-52,,seed drilled at 3 bushels per acre,
Broadbalk,1953,cropped sections,25-Apr-53,,spring fertilizers applied,
Broadbalk,1953,cropped sections,13-May-53,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1953,cropped sections,25-Aug-53,,Harvested,
Broadbalk,1953,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1953,fallow sections,03-Sep-52,,ploughed,
Broadbalk,1953,fallow sections,10-Jun-53,,ifar 22,
Broadbalk,1953,fallow sections,10-Jun-53,,ifar 22,
Broadbalk,1954,cropped sections,16-Sep-53,,"Dung applied, ploughed all plots",
Broadbalk,1954,cropped sections,21-Oct-53,,autumn fertilizers applied,
Broadbalk,1954,cropped sections,23-Oct-53,,seed drilled at 3 bushels per acre,
Broadbalk,1954,cropped sections,22-Apr-54,,spring fertilizers applied,
Broadbalk,1954,cropped sections,11-May-54,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1954,cropped sections,30-Aug-54,,Harvested,
Broadbalk,1954,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1954,fallow sections,16-Sep-53,,ploughed,
Broadbalk,1954,fallow sections,11-Dec-53,,ploughed,
Broadbalk,1954,fallow sections,17-Jun-54,,ploughed,
Broadbalk,1954,fallow sections,17-Jun-54,,ploughed,
Broadbalk,1955,cropped sections,28-Sep-54,Oct-Sept-1954,Ground chalk applied to lower half of sections V;,
Broadbalk,1955,cropped sections,21-Oct-54,,"Dung applied, ploughed all plots",
Broadbalk,1955,cropped sections,20-Oct-54,,"Ground chalk applied to ammonia sulphate, castor meal plots",
Broadbalk,1955,cropped sections,05-Nov-54,,autumn fertilizers applied,
Broadbalk,1955,cropped sections,06-Dec-54,,seed drilled at 3 bushels per acre,
Broadbalk,1955,cropped sections,16-May-55,,spring fertilizers applied,
Broadbalk,1955,cropped sections,01-Jun-55,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1955,cropped sections,19-Aug-55,,Harvested,
Broadbalk,1955,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1955,fallow sections,01-Oct-54,,ploughed,
Broadbalk,1955,fallow sections,21-Apr-55,,ploughed,
Broadbalk,1955,fallow sections,25-Jul-55,,ploughed,
Broadbalk,1955,fallow sections,25-Jul-55,,ploughed,
