experiment,year,cropped section,new start date,new end date,operation,sections,method,operation type,flag,intensity,Amount,Units,water,water unit,variety,dressing,machine,orig_operation
Broadbalk,1955,cropped sections,28/09/1954,10/09t/1954,ground chalk applied,lower half of sections V;,,liming process,3,,,,,,,,,Ground chalk applied to lower half of sections V;
Broadbalk,1955,cropped sections,20/10/1954,,ground chalk applied,"to ammonia sulphate, castor meal plots",,liming process,3,,,,,,,,,"Ground chalk applied to ammonia sulphate, castor meal plots"
Broadbalk,1956,cropped sections,06/09/1955,,ground chalk applied,,,liming process,3,,,,,,,,,Ground chalk
Broadbalk,1957,cropped sections,29/09/1956,,ground chalk applied,,,liming process,3,,,,,,,,,Ground chalk applied
Broadbalk,1957,cropped sections,07/05/1957,,MCPA,sections 1A under continuous wheat,sprayed,chemical pest control process,3,,3,pints/acre,80,gallons/acre,,,,sections 1A under continuous wheat sprayed with MCPA at 3 pints in 80 gallons per acre
Broadbalk,1958,cropped sections,09/09/1957,16/09/1957,ground chalk applied,,,liming process,3,,,,,,,,,Ground chalk applied
Broadbalk,1958,cropped sections,30/04/1958,,CMPP,sections 44 under continuous wheat,sprayed,chemical pest control process,3,,6,pints/acre,40,gallons/acre,,,,sections 44 under continuous wheat sprayed with CMPP at 6 pints in 40 gallons per acre
Broadbalk,1959,cropped sections,22/09/1958,,ground chalk applied,,,liming process,3,,,,,,,,,Ground chalk applied
Broadbalk,1959,cropped sections,12/05/1959,,MCPA/TBA,sections IA under continuous wheat,sprayed,chemical pest control process,3,,4,pints/acre,40,gallons/acre,,,,sections IA under continuous wheat sprayed with MCPA/TBA at 4 pints in 40 gallons per acre
Broadbalk,1960,cropped sections,04/09/1959,,ground chalk applied,,,liming process,3,,,,,,,,,Ground chalk applied
Broadbalk,1960,cropped sections,08/09/1959,,2-4-D ester,sections IA,sprayed,chemical pest control process,3,,12,pints/acre,40,gallons/acre,,,,"sections IA sprayed with 2,4-D ester at 12 pints in 40 gallons per acre"
Broadbalk,1960,cropped sections,28/04/1960,,CMPP,sections IA,sprayed,chemical pest control process,3,,6,pints/acre,40,gallons/acre,,,,sections IA sprayed with CMPP at 6 pints in 40 gallons per acre
Broadbalk,1961,cropped sections,01/10/1960,,ground chalk applied,,,liming process,3,,,,,,,,,Ground chalk applied
Broadbalk,1961,cropped sections,05/05/1961,,MCPA/TBA,sections IA,sprayed,chemical pest control process,3,,4,pints/acre,40,gallons/acre,,,,sections IA sprayed with MCPA/TBA at 4 pints in 40 gallons per acre
