experiment,year,start date,end date,plot,operation,flag,intensity,operation_type,amount,unit,water,water_unit,crop,variety,dressing,machine
R/BEW/1,1995,26-Sep-1994,,,ploughed,1,,tillage process,,,,,,,,
R/BEW/1,1995,26-Sep-1994,,,furrow pressed,1,1,tillage process,,,,,,,,
R/BEW/1,1995,21-Oct-1994,,,springtine cultivated,1,1,tillage process,,,,,,,,
R/BEW/1,1995,21-Oct-1994,,,seed sown,1,,seeding process,25,seeds/m2,,,,Punch,recleaned,
R/BEW/1,1995,07-Feb-1995,,"PHRROMON P, PI1, PI2, PI3",Pheromone applied.,1,,chemical pest control process,0,,,,,,,
R/BEW/1,1995,04-Apr-1995,,,Bombardier,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/BEW/1,1995,06-Apr-1995,,"PHEROMON PIL, PI2, PI3",Decis,1,,chemical pest control process,300,ml/ha,200,l/ha,,,,
R/BEW/1,1995,19-Apr-1995,,"PHEROMON PI2, PI3",Decis,1,,chemical pest control process,300,ml/ha,200,l/ha,,,,
R/BEW/1,1995,05-May-1995,,PHEROMON PI3,Decis,1,,chemical pest control process,300,ml/ha,200,l/ha,,,,
R/BEW/1,1995,01-Aug-1995,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/BEW/1,1995,,,,"W. wheat 1993, s. wheat 1994.",1,,previous cropping,,,,,,,,
R/BEW/1,1995,,,,(1) Prom Apr pheromones were applied from dispensers placed at the plot centres.,1,,comment,,,,,,,,
R/BEW/1,1995,,,,(2) Assessments of adult feeding damage were made between February and May. 125,1,,comment,,,,,,,,
R/BEW/3,1994,29-Oct-1993,,,seed broadcast,1,,seeding process,25,seeds/m2,,,winter beans,Punch,,broadcast
R/BEW/3,1994,29-Oct-1993,,,ploughed,1,,tillage process,,,,,,,,
R/BEW/3,1994,29-Oct-1993,,,springtine cultivated,1,1,tillage process,,,,,,,,
R/BEW/3,1994,31-Jan-1994,,,Carbetamex,1,,chemical pest control process,3.0,kg/ha,200,l/ha,,,,
R/BEW/3,1994,21-Apr-1994,,"TREATMNT PI-2, PI-3",Decis,1,,chemical pest control process,7.5,kg/ha,200,l/ha,,,,
R/BEW/3,1994,06-May-1994,,,Bombardier,1,,chemical pest control process,1.5,l/ha,300,l/ha,,,,
R/BEW/3,1994,06-May-1994,,,Ronilan FL,1,,chemical pest control process,0.5,l/ha,300,l/ha,,,,
R/BEW/3,1994,19-May-1994,,"TREATMNT PI-1, PI-3",Decis,1,,chemical pest control process,7.5,kg/ha,200,l/ha,,,,
R/BEW/3,1994,18-Aug-1994,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/BEW/3,1994,,,,"W rape 1992, wheat 1993.",1,,previous cropping,,,,,,,,
R/BEW/3,1994,,,,"(1) From late February, pheromone was released from a pints source, which was hung BOV the crop at the plot centre.",1,,comment,,,,,,,,
R/BEW/3,1994,,,,(2) Assessments of damage to leaves by adult weevils were made dressing March and Apr. 135,1,,comment,,,,,,,,
R/BW/1,1992,14-Aug-1991,,,PK as (0:16:36),1,,agronomic fertilization process,1040,kg/ha,,,,,,
R/BW/1,1992,21-Aug-1991,,COMPCROP WCLOVER,rotary cultivated,1,1,tillage process,,,,,,,,Bomford Dynadrive
R/BW/1,1992,21-Aug-1991,,COMPCROP WCLOVER,seed broadcast,1,,seeding process,20,kg/ha,,,New Zealand winter clover,New Zealand,,broadcast
R/BW/1,1992,09-Sep-1991,,,ploughed,1,,tillage process,,,,,,,,
R/BW/1,1992,09-Sep-1991,,,furrow pressed,1,1,tillage process,,,,,,,,
R/BW/1,1992,12-Sep-1991,,,rolled,1,1,tillage process,,,,,,,,
R/BW/1,1992,18-Sep-1991,,,rotary harrowed,1,1,tillage process,,,,,,,,
R/BW/1,1992,18-Sep-1991,,COMPCROP WMUSTL,seed broadcast,1,,seeding process,1.5,kg/ha,,,white mustard,Tilney,,broadcast
R/BW/1,1992,18-Sep-1991,,COMPCROP WMUSTM,seed broadcast,1,,seeding process,3.0,kg/ha,,,white mustard,Tilney,,broadcast
R/BW/1,1992,18-Sep-1991,,COMPCROP OILRADSH,seed broadcast,1,,seeding process,1.5,kg/ha,,,oil radish,Trick,,broadcast
R/BW/1,1992,18-Sep-1991,,,rotary harrowed,1,1,tillage process,,,,,,,,
R/BW/1,1992,18-Sep-1991,,,seed sown,1,,seeding process,140,kg/ha,,,winter barley,Magie,,
R/BW/1,1992,18-Sep-1991,,,rolled,1,1,tillage process,,,,,,,,
R/BW/1,1992,06-Mar-1992,,,34.5% N,1,,agronomic fertilization process,120,kg/ha,,,,,,
R/BW/1,1992,02-Apr-1992,,,34.5% N,1,,agronomic fertilization process,340,kg/ha,,,,,,
R/BW/1,1992,19-Apr-1992,,,Duplosan New System CMPP,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/BW/1,1992,19-Apr-1992,,,Vindex,1,,chemical pest control process,1.4,l/ha,200,l/ha,,,,
R/BW/1,1992,03-May-1992,,,Calixin,1,,chemical pest control process,0.50,l/ha,260,l/ha,,,,
R/BW/1,1992,03-May-1992,,,Radar,1,,chemical pest control process,0.5,l/ha,260,l/ha,,,,
R/BW/1,1992,23-Jul-1992,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/BW/1,1992,,,,W. barley 1990 and 1991.,1,,previous cropping,,,,,,,,
R/BW/1,1992,,,,(1) Plant samples were taken in December for growth analysis.,1,,comment,,,,,,,,
R/BW/1,1992,,,,(2) Subsequently in December severe frosts killed all the companion crops. 112,1,,comment,,,,,,,,
R/BW/1,1993,29-Aug-1992,,,straw baled,1,,baling process,,,,,,,,
R/BW/1,1993,16-Sep-1992,,,Scythe,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/BW/1,1993,16-Sep-1992,,,Farmon Blue,1,,chemical pest control process,0.20,l/ha,200,l/ha,,,,
R/BW/1,1993,21-Sep-1992,,,ploughed,1,,tillage process,,,,,,,,
R/BW/1,1993,21-Sep-1992,,,furrow pressed,1,1,tillage process,,,,,,,,
R/BW/1,1993,28-Sep-1992,,,rotary harrowed,1,1,tillage process,,,,,,,,
R/BW/1,1993,01-Oct-1992,,,seed drilled,1,,seeding process,350,seeds/m2,,,,Puffin, Cerevax,drilled
R/BW/1,1993,01-Oct-1992,,COMPCROP MUST 1.5,seed broadcast,1,,seeding process,1.5,kg/ha,,,white mustard,Tilney,,broadcast
R/BW/1,1993,01-Oct-1992,,COMPCROP MUST 3.0,seed broadcast,1,,seeding process,3.0,kg/ha,,,white mustard,Tilney,,broadcast
R/BW/1,1993,01-Oct-1992,,COMPCROP MUST 6.0,seed broadcast,1,,seeding process,6.0,kg/ha,,,white mustard,Tilney,,broadcast
R/BW/1,1993,01-Oct-1992,,COMPCROP RADISH,seed broadcast,1,,seeding process,3.0,kg/ha,,,oil radish,Trick,,broadcast
R/BW/1,1993,08-Mar-1993,,,34.5% N,1,,agronomic fertilization process,120,kg/ha,,,,,,
R/BW/1,1993,15-Apr-1993,,,Tigress,1,,chemical pest control process,2.5,l/ha,200,l/ha,,,,
R/BW/1,1993,21-Apr-1993,,,Ally,1,,chemical pest control process,30,kg/ha,200,l/ha,,,,
R/BW/1,1993,21-Apr-1993,,,Starane 2,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/BW/1,1993,18-May-1993,,,Calirus,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/BW/1,1993,18-May-1993,,,Corbel,1,,chemical pest control process,0.50,l/ha,200,l/ha,,,,
R/BW/1,1993,02-Aug-1993,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/BW/1,1993,,,,"potatoes 1991, w. wheat 1992.",1,,previous cropping,,,,,,,,
R/BW/1,1993,,,,"Plant samples were taken in December and April for dry weight, plant population and nitrogen uptake measurements, and in July to measure ear numbers, dry weights, nitrogen uptake and thousand grain weights. 116",1,,comment,,,,,,,,
R/BW/1,1994,10-Aug-1993,,CROP MC,shallow cultivated,1,2,tillage process,,,,,,,,Bomford Dynadrive
R/BW/1,1994,10-Aug-1993,,CROP MC,seed broadcast,1,,seeding process,20,kg/ha,,,white mustard,Thorney,,broadcast by hand
R/BW/1,1994,09-Sep-1993,,,ploughed,1,,tillage process,,,,,,,,
R/BW/1,1994,22-Sep-1993,,,rotary harrowed,1,1,tillage process,,,,,,,,
R/BW/1,1994,22-Sep-1993,,,seed drilled,1,,seeding process,350,seeds/m2,,,,Puffin, Cerevax extra,drilled
R/BW/1,1994,22-Sep-1993,,CROP M1,seed broadcast,1,,seeding process,1.5,kg/ha,,,white mustard,Thorney,,broadcast
R/BW/1,1994,22-Sep-1993,,CROP M2,seed broadcast,1,,seeding process,3.0,kg/ha,,,white mustard,Thorney,,broadcast
R/BW/1,1994,22-Sep-1993,,CROP M3,seed broadcast,1,,seeding process,6.0,kg/ha,,,white mustard,Thorney,,broadcast
R/BW/1,1994,22-Sep-1993,,CROP R1,seed broadcast,1,,seeding process,3.0,kg/ha,,,oil radish,Trick,,broadcast
R/BW/1,1994,28-Oct-1993,,,Draza,1,,chemical pest control process,5.5,kg/ha,,,,,,
R/BW/1,1994,08-Mar-1994,,,34.5% N,1,,agronomic fertilization process,87,kg/ha,,,,,,
R/BW/1,1994,14-Apr-1994,,,34.5% N,1,,agronomic fertilization process,435,kg/ha,,,,,,
R/BW/1,1994,09-May-1994,,,Starane 2,1,,chemical pest control process,0.75,l/ha,200,l/ha,,,,
R/BW/1,1994,09-May-1994,,,Tigress,1,,chemical pest control process,2.5,l/ha,200,l/ha,,,,
R/BW/1,1994,31-May-1994,,,Mistral,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/BW/1,1994,31-May-1994,,,Radar,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/BW/1,1994,26-Jul-1994,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/BW/1,1994,,,,W. barley 1992 and 1993.,1,,previous cropping,,,,,,,,
R/BW/1,1994,,,,"(1) Previous w. barley was combine harvested on 3 August, 1993 and the straw was removed on § August.",1,,comment,,,,,,,,
R/BW/1,1994,,,,"(2) Plant Cultivations, dry weights and nutrient uptakes of both the w. barley and the cover crops were started in January and April.",1,,comment,,,,,,,,
R/CS/380,1992,15-Aug-1991,,,straw baled,1,,baling process,,,,,,,,
R/CS/380,1992,21-Aug-1991,,,Dolomite,1,,liming process,5,t/ha,,,,,,
R/CS/380,1992,21-Aug-1991,,"LAND TRT FO RA SB, RYE SB, TUMBDN SB",shallow cultivated,1,2,tillage process,,,,,,,,Bomford Dynadrive
R/CS/380,1992,21-Aug-1991,,LAND TRT FO RA SB,seed broadcast,1,,seeding process,30,kg/ha,,,,Giant,,broadcast
R/CS/380,1992,21-Aug-1991,,LAND TRT RYE SB,seed broadcast,1,,seeding process,180,kg/ha,,,,Halo,,broadcast
R/CS/380,1992,21-Aug-1991,,LAND TRT TUMBDN SB,seed broadcast,1,,seeding process,50,kg/ha,,,spring barley,Alexis,,broadcast
R/CS/380,1992,21-Aug-1991,,"LAND TRT FO RA SB, RYE SB, TUMBDN SB",harrowed,1,1,tillage process,,,,,,,,
R/CS/380,1992,21-Aug-1991,,"LAND TRT FO RA SB, RYE SB, TUMBDN SB",rolled,1,1,tillage process,,,,,,,,
R/CS/380,1992,12-Sep-1991,,LAND TRT FO RA SB,Fusilade 5,1,,chemical pest control process,1.0,l/ha,220,l/ha,,,,
R/CS/380,1992,12-Sep-1991,,LAND TRT FO RA SB,Vassgro Spreader,1,,chemical pest control process,0.22,l/ha,220,l/ha,,,,
R/CS/380,1992,13-Sep-1991,,EXTRA W BARLEY,ploughed,1,,tillage process,,,,,,,,
R/CS/380,1992,13-Sep-1991,,EXTRA W BARLEY,rotary harrowed,1,2,tillage process,,,,,,,,
R/CS/380,1992,13-Sep-1991,,EXTRA W BARLEY,rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/380,1992,13-Sep-1991,,EXTRA W BARLEY,seed sown,1,,seeding process,144,kg/ha,,,winter barley,Magie,,
R/CS/380,1992,13-Sep-1991,,EXTRA W BARLEY,rolled,1,1,tillage process,,,,,,,,
R/CS/380,1992,19-Sep-1991,,LAND TRT FALLOWSB,ploughed,1,,tillage process,,,,,,,,
R/CS/380,1992,19-Sep-1991,,LAND TRT FALLOWSB,heavy springtine cultivated,1,1,tillage process,,,,,,,,
R/CS/380,1992,25-Sep-1991,,LAND TRT FALLOWSB,rolled,1,1,tillage process,,,,,,,,
R/CS/380,1992,14-Nov-1991,,LAND TRT FO RA SB,Pilot,1,,chemical pest control process,0.075,l/ha,220,l/ha,,,,
R/CS/380,1992,14-Nov-1991,,LAND TRT FO RA SB,Actipron,1,,chemical pest control process,2.0,l/ha,220,l/ha,,,,
R/CS/380,1992,03-Dec-1991,,LAND TRT FALLOWSB,Gramoxone 100,1,,chemical pest control process,3.0,l/ha,220,l/ha,,,,
R/CS/380,1992,03-Dec-1991,,EXTRA W BARLEY,Stefes IPU,1,,chemical pest control process,2.5,l/ha,220,l/ha,,,,
R/CS/380,1992,03-Dec-1991,,EXTRA W BARLEY,Stomp 400,1,,chemical pest control process,3.3,l/ha,220,l/ha,,,,
R/CS/380,1992,03-Mar-1992,,"LAND TRT FO RA SB, RYE SB, TUMDN SB, FALLOWSB",ploughed,1,,tillage process,,,,,,,,
R/CS/380,1992,06-Mar-1992,,"LAND TRT FO RA SB, RYE SB, TUMDN SB, FALLOWSB",rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/380,1992,06-Mar-1992,,"LAND TRT FO RA SB, RYE SB, TUMDN SB, FALLOWSB",seed drilled,1,,seeding process,146,kg/ha,,,,Alexis, Baytan,drilled
R/CS/380,1992,09-Mar-1992,,,rolled,1,1,tillage process,,,,,,,,
R/CS/380,1992,24-Apr-1992,,N 75,27% N,1,,agronomic fertilization process,278,kg/ha,,,,,,
R/CS/380,1992,24-Apr-1992,,N EXTRA 150,27% N,1,,agronomic fertilization process,556,kg/ha,,,,,,
R/CS/380,1992,22-May-1992,,"LAND TRT FO RA SB, RYE SB, TUMDN SB, FALLOWSB",Duplosan New System CMPP,1,,chemical pest control process,2.0,l/ha,220,l/ha,,,,
R/CS/380,1992,22-May-1992,,"LAND TRT FO RA SB, RYE SB, TUMDN SB, FALLOWSB",Vindex,1,,chemical pest control process,1.0,l/ha,220,l/ha,,,,
R/CS/380,1992,22-May-1992,,"LAND TRT FO RA SB, RYE SB, TUMDN SB, FALLOWSB",Calixin,1,,chemical pest control process,0.70,l/ha,220,l/ha,,,,
R/CS/380,1992,30-Jul-1992,,,harvested,1,,harvesting process,,,,,,,,by hand
R/CS/380,1992,,,,"W. barley 1990, s. barley 1991.",1,,previous cropping,,,,,,,,
R/CS/380,1992,,,,"Main plots were labelled with 15N in autumn 1991. Recovery of 1SN by each level of LAND TRT, extra W barley and the subsequent s. barley was measured. 93",1,,comment,,,,,,,,
R/CS/380,1993,18-Aug-1992,,,straw baled,1,,baling process,,,,,,,,
R/CS/380,1993,16-Sep-1992,,,ploughed,1,,tillage process,,,,,,,,
R/CS/380,1993,16-Sep-1992,,,furrow pressed,1,1,tillage process,,,,,,,,
R/CS/380,1993,16-Sep-1992,,,Scythe,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/CS/380,1993,16-Sep-1992,,,Farmon Blue,1,,chemical pest control process,0.20,l/ha,200,l/ha,,,,
R/CS/380,1993,17-Sep-1992,,,rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/380,1993,17-Sep-1992,,,seed drilled,1,,seeding process,380,seeds/m2,,,,Puffin, Cerevax,drilled
R/CS/380,1993,15-Apr-1993,,,34.5% N,1,,agronomic fertilization process,370,kg/ha,,,,,,
R/CS/380,1993,10-May-1993,,,Ally,1,,chemical pest control process,30,kg/ha,200,l/ha,,,,
R/CS/380,1993,10-May-1993,,,Starane 2,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/CS/380,1993,20-Jul-1993,,,harvested,1,,harvesting process,,,,,,,,by hand
R/CS/380,1993,,,,"(1) Plots were labelled with 15N in autumn 1991. Samples of soil, soil Winter and w. barley were taken to measure residual 15N. ’",1,,comment,,,,,,,,
R/CS/380,1993,,,,(2) Yields were taken on N RES[92] (75) and M extra] (150) plots only.,1,,comment,,,,,,,,
R/CS/399,1993,20-Aug-1992,,"LAND TRT FO RA SB, RYE SB, TUMBDN SB",shallow cultivated,1,1,tillage process,,,,,,,,Bomford Dynadrive
R/CS/399,1993,21-Aug-1992,,LAND TRT FO RA SB,seed broadcast,1,,seeding process,30,kg/ha,,,forage rape,,,broadcast
R/CS/399,1993,21-Aug-1992,,LAND TRT RYE SB,seed broadcast,1,,seeding process,180,kg/ha,,,,Amando,,broadcast
R/CS/399,1993,21-Aug-1992,,LAND TRT TUMBDN SB,seed broadcast,1,,seeding process,50,kg/ha,,,spring barley,Alexis,,broadcast
R/CS/399,1993,21-Aug-1992,,"LAND TRT FO RA SB, RYE SB, TUMBDN SB",rolled,1,1,tillage process,,,,,,,,
R/CS/399,1993,10-Sep-1992,,LAND TRT FALLOWSB,ploughed,1,,tillage process,,,,,,,,
R/CS/399,1993,10-Sep-1992,,EXTRA W BARLEY,ploughed,1,,tillage process,,,,,,,,
R/CS/399,1993,11-Sep-1992,,EXTRA W BARLEY,disced,1,,tillage process,,,,,,,,
R/CS/399,1993,11-Sep-1992,,"LAND TRT FO RA SB, RYE SB, TUMDN SB, FALLOWSB",rotary harrowed,1,2,tillage process,,,,,,,,
R/CS/399,1993,11-Sep-1992,,"LAND TRT FO RA SB, RYE SB, TUMDN SB, FALLOWSB",seed drilled,1,,seeding process,380,seeds/m2,,,,Puffin, Cerevax,drilled
R/CS/399,1993,16-Sep-1992,,LAND TRT FALLOWSB,rolled,1,1,tillage process,,,,,,,,
R/CS/399,1993,16-Sep-1992,,EXTRA W BARLEY,rolled,1,1,tillage process,,,,,,,,
R/CS/399,1993,19-Oct-1992,,LAND TRT FO RA SB,Pilot,1,,chemical pest control process,75,ml/ha,200,l/ha,,,,
R/CS/399,1993,19-Oct-1992,,LAND TRT FO RA SB,Cropspray 11E,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/CS/399,1993,05-Mar-1993,,"LAND TRT FALLOWSB, FO RA SB, RYE SB, TUMBDN SB",ploughed,1,,tillage process,,,,,,,,
R/CS/399,1993,08-Mar-1993,,"LAND TRT FALLOWSB, FO RA SB, RYE SB, TUMBDN SB",rotary harrowed,1,2,tillage process,,,,,,,,
R/CS/399,1993,08-Mar-1993,,"LAND TRT FALLOWSB, FO RA SB, RYE SB, TUMBDN SB",seed drilled,1,,seeding process,350,seeds/m2,,,,Alexis, Cerevax extra,drilled
R/CS/399,1993,l4-Apr-1993,,N EXTRA 150,27% N,1,,agronomic fertilization process,556,kg/ha,,,,,,
R/CS/399,1993,06-May-1993,,N 75,27% N,1,,agronomic fertilization process,278,kg/ha,,,,,,
R/CS/399,1993,10-May-1993,,,Ally,1,,chemical pest control process,30,kg/ha,200,l/ha,,,,
R/CS/399,1993,10-May-1993,,,Starane 2,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/CS/399,1993,13-Aug-1993,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/399,1993,,,,S. barley 1991 and 1992.,1,,previous cropping,,,,,,,,
R/CS/399,1993,,,,"Plots were labelled with 15N in autumn. Crop, soil and soil Winter samples were taken for N analysis at various times dressing the season. 103",1,,comment,,,,,,,,
R/CS/399,1994,13-Sep-1993,,,ploughed,1,,tillage process,,,,,,,,
R/CS/399,1994,08-Oct-1993,,,rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/399,1994,08-Oct-1993,,,seed drilled,1,,seeding process,350,seeds/m2,,,,Puffin, Cerevax extra,drilled
R/CS/399,1994,12-Nov-1993,,,Optimol,1,,chemical pest control process,15,kg/ha,,,,,,
R/CS/399,1994,19-Apr-1994,,,34.5% N,1,,agronomic fertilization process,346,kg/ha,,,,,,
R/CS/399,1994,19-Apr-1994,,,Briotril Plus 19/19,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
