Experiment,year,section,start date,new start date,end date,new end date,operation,amount,unit
Exhaustion Land,1949,all plots,03/01/1949,03/01/1949,10/01/1949,10/01/1949,ploughed,,
Exhaustion Land,1949,all plots,22/03/1949,22/03/1949,,,Springtined,,
Exhaustion Land,1949,all plots,23/03/1949,23/03/1949,,,Drilled,,
Exhaustion Land,1949,all plots,24/03/1949,24/03/1949,,,"Sulphate of ammonia applied, harrowed in",,
Exhaustion Land,1949,all plots,01/04/1949,01/04/1949,,,Rolled,,
Exhaustion Land,1949,all plots,09/08/1949,09/08/1949,,,Harvested,,
Exhaustion Land,1949,Variety,,,,,Plumage Archer,,
Exhaustion Land,1950,all plots,30-Aug-1949,30/08/1949,1-Sep-1949,1/09/1949,ploughed,,
Exhaustion Land,1950,all plots,14-Oct-1949,14/10/1949,,,Springtined,,
Exhaustion Land,1950,all plots,16-Dec-1949,16/12/1949,,,ploughed,,
Exhaustion Land,1950,all plots,8-Mar-1950,08/03/1950,,,Springtined,,
Exhaustion Land,1950,all plots,11-Mar-1950,11/03/1950,,,Springtined,,
Exhaustion Land,1950,all plots,14-Mar-1950,14/03/1950,,,Harrowed,,
Exhaustion Land,1950,all plots,15-Mar-1950,15/03/1950,,,Sulphate of ammonia drilled,,
Exhaustion Land,1950,all plots,15-Mar-1950,15/03/1950,,,"seed drilled, harrowed in, rolled",,
Exhaustion Land,1950,all plots,30-May-1950,30/05/1950,,,Thistles cut,,
Exhaustion Land,1950,all plots,7-Aug-1950,07/08/1950,,,Harvested,,
Exhaustion Land,1950,all plots,None,,,,variety Plumage Archer,,
Exhaustion Land,1951,all plots,29-Aug-1950,29/08/1950,,,ploughed,,
Exhaustion Land,1951,all plots,27-Jan-1951,27/01/1951,,,ploughed,,
Exhaustion Land,1951,all plots,16/04/1951,16/04/1951,,,Seed drilled at 3 bushels per acre,,
Exhaustion Land,1951,all plots,16/04/1951,16/04/1951,,,Sulphate of ammonia drilled,,
Exhaustion Land,1951,all plots,03/09/1951,03/09/1951,,,Plumage Archer,,
Exhaustion Land,1952,all plots,14-Sept-1951,14/09/1951,,,ploughed,,
Exhaustion Land,1952,all plots,17/12/1951,17/12/1951,,,ploughed,,
Exhaustion Land,1952,all plots,28/02/1952,28/02/1952,,,Seed drilled at 3 bushels per acre,,
Exhaustion Land,1952,all plots,28/02/1952,28/02/1952,,,Sulphate of ammonia aplied,,
Exhaustion Land,1952,all plots,31-July-1952,31/07/1952,,,Harvested,,
Exhaustion Land,1952,all plots,None,,,,variety Plumage Archer,,
Exhaustion Land,1953,all plots,4-Sept-1952,04/09/1952,,,ploughed,,
Exhaustion Land,1953,all plots,26-Feb-1953,26/02/1953,,,24 cwt sulphate of ammonia per acre applied,,
