Experiment,year,section,new start date,new end date,operation,intensity,plots,flag,operation type,amount,unit,water,water unit,crop,variety,dressing,machine,method
Exhaustion Land,1949,all plots,24/03/1949,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,2.5,cwt/acre,,,,,top dressing
Exhaustion Land,1950,all plots,15/03/1950,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,2.5,cwt/acre,,,,,top dressing
Exhaustion Land,1951,all plots,16/04/1951,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,2.5,cwt/acre,,,,,top dressing
Exhaustion Land,1952,all plots,28/02/1952,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,2.5,cwt/acre,,,,,top dressing
Exhaustion Land,1953,all plots,26/02/1953,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,2.5,cwt/acre,,,,,
Exhaustion Land,1954,all plots,16/03/1954,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,,,,,,,
Exhaustion Land,1955,all plots,31/12/1954,,1st dressing of ground chalk applied to acid areas,,Plot 1 NW corner; Plot 2 central strip; plot 4 parts; plot 10,2,liming process,2,tons/acre,,,,,,,
Exhaustion Land,1955,all plots,31/12/1954,,1st dressing of ground chalk applied to acid areas,,Plot 4 parts; Plot 8 parts,2,liming process,3,tons/acre,,,,,,,
Exhaustion Land,1955,all plots,31/12/1954,,1st dressing of ground chalk applied to acid areas,,Plot 6 parts,2,liming process,4,tons/acre,,,,,,,
Exhaustion Land,1955,all plots,31/12/1954,,1st dressing of ground chalk applied to acid areas,,Plot 2 north side,2,liming process,5,tons/acre,,,,,,,
Exhaustion Land,1955,all plots,18/03/1955,,2nd dressing of ground chalk applied,,,2,liming process,3,tons/acre,,,,,,,
Exhaustion Land,1955,all plots,21/03/1955,,nitrochalk,,,2,agronomic fertilization process,0.5,cwtN/acre,3.25,cwt/acre,,,,,
Exhaustion Land,1956,all plots,26/03/1956,,nitrochalk,,,2,agronomic fertilization process,0.5,cwtN/acre,3.5,cwt/acre,,,,,
Exhaustion Land,1957,barley - eastern half,18/03/1957,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,,,,,,,
Exhaustion Land,1957,barley - eastern half,18/03/1957,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
