Experiment,year,new start date,new end date,operation,operation type,section,amount,unit,crop,variety,dressing,machine,method
Exhaustion Land,1949,23/03/1949,,seed drilled,seeding process,all plots,,,spring barley,Plumage Archer,,,
Exhaustion Land,1950,15/03/1950,,seed drilled,seeding process,all plots,,,spring barley,Plumage Archer,,,
Exhaustion Land,1951,16/04/1951,,seed drilled,seeding process,all plots,3,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1952,28/02/1952,,seed drilled,seeding process,all plots,3,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1953,27/02/1953,,seed drilled,seeding process,all plots,3,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1954,16/03/1954,,seed drilled,seeding process,all plots,3,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1955,22/03/1955,,seed drilled,seeding process,all plots,3,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1956,03/04/1956,,seed drilled,seeding process,all plots,3,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1957,21/03/1957,,seed drilled,seeding process,barley - eastern half,2.75,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1957,21/03/1957,,seed drilled,seeding process,cropped section,2.75,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1957,27/04/1957,,seed drilled,seeding process,kale - eastern half,6,lb/acre,kale,Thousand Head,,,
Exhaustion Land,1957,29/04/1957,,potatoes hand planted,seeding process,potatoes - eastern half,,,potatoes,Majestic,,,
Exhaustion Land,1957,21/03/1957,,seed drilled,seeding process,spring wheat - eastern half,3.5,bushels/acre,spring wheat,Koga II,,,
Exhaustion Land,1957,15/04/1957,,seed drilled,seeding process,sugar beet - eastern half,12,lb/acre,sugar beet,Klein E,,,
Exhaustion Land,1957,27/04/1957,,seed drilled,seeding process,swedes - eastern half,6,lb/acre,swedes,Wilhelmsburger,,,
Exhaustion Land,1958,12/04/1958,,seed drilled,seeding process,barley - eastern half,2.75,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1958,12/04/1958,,seed drilled,seeding process,barley - western half,2.75,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1958,15/04/1958,,seed drilled,seeding process,kale - eastern half,3,lb/acre,kale,Thousand Head,,,
Exhaustion Land,1958,25/04/1958,,potatoes hand planted,seeding process,potatoes - eastern half,,,potatoes,Majestic,,,
Exhaustion Land,1958,12/04/1958,,seed drilled,seeding process,spring wheat - eastern half,3.25,bushels/acre,spring wheat,Koga II,,,
Exhaustion Land,1958,14/04/1958,,seed drilled,seeding process,sugar beet - eastern half,19,lb/acre,sugar beet,Klein E,,,
Exhaustion Land,1958,15/05/1958,,seed drilled,seeding process,swedes - eastern half,5,lb/acre,swedes,Wilhelmsburger,,,
Exhaustion Land,1959,17/03/1959,,seed drilled,seeding process,all plots,2.75,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1960,17/03/1960,,seed drilled,seeding process,all plots,2.75,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1961,12/04/1961,,seed drilled,seeding process,all plots,2.75,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1962,28/03/1962,,seed drilled,seeding process,all plots,3,bushels/acre,spring barley,Plumage Archer,,,
Exhaustion Land,1963,08/04/1963,,seed combine drilled,seeding process,all plots,2,bushels/acre,spring barley,Proctor,,,
Exhaustion Land,1964,06/03/1964,,seed combine drilled,seeding process,all plots,2.75,bushels/acre,spring barley,Maris Badger,,,
Exhaustion Land,1965,15/03/1965,,seed combine drilled,seeding process,all plots,160,lb/acre,spring barley,Maris Badger,,,
Exhaustion Land,1966,11/03/1966,,seed combine drilled,seeding process,all plots,156,lb/acre,spring barley,Maris Badger,,,
Exhaustion Land,1968,28/02/1968,,seed combine drilled,seeding process,all plots,140,lb/acre,spring barley,Maris Badger,,,
Exhaustion Land,1969,10/03/1969,,seed combine drilled,seeding process,all plots,140,lb/acre,spring barley,Maris Badger,,,
Exhaustion Land,1970,20/03/1970,,seed combine drilled,seeding process,all plots,140,lb/acre,spring wheat,Julia,,,
Exhaustion Land,1971,25/02/1971,,seed combine drilled,seeding process,all plots,157,kg,spring wheat,Julia,,,
Exhaustion Land,1972,16/03/1972,,seed combine drilled,seeding process,all plots,160,kg/ha,spring wheat,Julia,ethirimol,,
Exhaustion Land,1973,09/03/1973,,seed combine drilled,seeding process,all plots,160,kg/ha,spring wheat,Julia,ethirimol,,
Exhaustion Land,1974,26/03/1974,,seed combine drilled,seeding process,all plots,160,kg/ha,spring wheat,Julia,ethirimol,,
Exhaustion Land,1976,03/03/1976,,seed sown,seeding process,all plots,160,kg/ha,spring wheat,Julia,ethirimol,,
Exhaustion Land,1977,09/03/1977,,seed sown,seeding process,all plots,160,kg/ha,spring wheat,Julia,,,
Exhaustion Land,1978,31/03/1978,,seed sown,seeding process,all plots,160,kg/ha,spring wheat,Julia,ethirimol,,
Exhaustion Land,1979,18/04/1979,,seed sown,seeding process,all plots,160,kg/ha,spring wheat,Julia,,,
Exhaustion Land,1980,09/04/1980,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Georgie,,,
Exhaustion Land,1981,18/02/1981,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Georgie,,,
Exhaustion Land,1982,30/03/1982,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Georgie,ethirimol,,
Exhaustion Land,1983,10/03/1983,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Georgie,ethirimol,,
Exhaustion Land,1984,10/03/1984,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1985,18/03/1985,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1986,02/05/1986,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1987,19/03/1987,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1988,07/03/1988,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1989,08/02/1989,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Triumph,"flutriafol, ethirimol and thiabendazole",,
Exhaustion Land,1990,09/03/1990,,seed sown,seeding process,all plots,160,kg/ha,spring barley,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1991,26/03/1991,,seed sown,seeding process,all plots,130,kg/ha,spring barley,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1992,23/09/1991,,seed drilled,seeding process,all plots,160,kg/ha,winter wheat,Mercia,,,
Exhaustion Land,1993,09/10/1992,,seed drilled,seeding process,all plots,380,seeds/m2,winter wheat,Mercia,Cerevax,,
Exhaustion Land,1994,22/10/1993,,seed drilled,seeding process,all plots,380,seeds/m2,winter wheat,Mercia,Cerevax,,
Exhaustion Land,1995,18/10/1994,,seed drilled,seeding process,all plots,380,seeds/m2,winter wheat,Mercia,Rappor,,
Exhaustion Land,1996,29/09/1995,,seed drilled,seeding process,all plots,380,seeds/m2,winter wheat,Hereward,Panoctine,,
Exhaustion Land,1997,08/10/1996,,seed drilled,seeding process,all plots,380,seeds/m2,winter wheat,Hereward,Beret Gold,,
Exhaustion Land,1998,24/10/1997,,seed drilled,seeding process,all plots,380,seeds/m2,winter wheat,Mercia,Sibutol,,
Exhaustion Land,1999,09/10/1998,,seed drilled,seeding process,all plots,380,seeds/m2,winter wheat,Hereward,Beret Gold,,
Exhaustion Land,2000,15/09/1999,,combination drilled,seeding process,all plots,300,seeds/m2,winter wheat,Hereward,Sibutol,Accord drill,
Exhaustion Land,2001,26/10/2000,,combination drilled,seeding process,all plots,450,seeds/m2,winter wheat,Hereward,Sibutol,Accord drill,
Exhaustion Land,2001,02/04/2001,,combination drilled,seeding process,all plots,350,seeds/m2,spring wheat,Axona,Sibutol,Accord drill,
Exhaustion Land,2002,13/10/2001,,combination drilled,seeding process,all plots,350,seeds/m2,winter wheat,Hereward,Sibutol,,
Exhaustion Land,2003,07/10/2002,,combination drilled,seeding process,all plots,400,seeds/m2,winter wheat,Hereward,Sibutol,,
Exhaustion Land,2004,10/10/2003,,combination drilled,seeding process,all plots,380,seeds/m2,winter wheat,Xi19,Sibutol Secur,,
Exhaustion Land,2005,05/10/2004,,combination drilled,seeding process,all plots,350,seeds/m2,winter wheat,Xi19,Sibutol Secur,,
Exhaustion Land,2006,07/10/2005,,combination drilled,seeding process,all plots,350,seeds/m2,winter wheat,Xi19,Redigo Twin,,
Exhaustion Land,2007,30/10/2006,,combination drilled,seeding process,all plots,350,seeds/m2,winter wheat,Xi19,Redigo Sib Secure,,
Exhaustion Land,2008,22/10/2007,,combination drilled,seeding process,all plots,350,seeds/m2,winter wheat,Xi19,Redigo Twin + Deter,,
Exhaustion Land,2009,16/10/2008,,combination drilled,seeding process,all plots,350,seeds/m2,winter wheat,Xi19,Redigo Deter,,
