Experiment,year,section,start date,new start date,end date,operation,amount,unit
Hoosfield,1948,all plots,18/09/1947,18/09/1947,20/09/1947,Shallow ploughed,,
Hoosfield,1948,all plots,22/11/1947,22/11/1947,28/11/1947,ploughed,,
Hoosfield,1948,all plots,24/11/1947,24/11/1947,,dung applied,,
Hoosfield,1948,all plots,01/03/1948,01/03/1948,05/03/1948,springtine harrowed,,
Hoosfield,1948,all plots,10/03/1948,10/03/1948,11/03/1948,Artificials applied,,
Hoosfield,1948,all plots,27/03/1948,27/03/1948,,thistles cleared,,
Hoosfield,1948,all plots,30/03/1948,30/03/1948,,Harrowed,,
Hoosfield,1948,all plots,31/03/1948,31/03/1948,,seed drilled,,
Hoosfield,1948,all plots,06/04/1948,06/04/1948,,Harrowed in,,
Hoosfield,1948,all plots,10/04/1948,10/04/1948,,rolled,,
Hoosfield,1948,all plots,05/07/1948,05/07/1948,14/07/1948,Wild oats hand pulled,,
Hoosfield,1948,all plots,30/07/1948,30/07/1948,10/08/1948,Wild oats hand pulled,,
Hoosfield,1948,all plots,09/08/1948,09/08/1948,,Wild oats scythed,,
Hoosfield,1948,all plots,30/08/1948,30/08/1948,,harvested,,
Hoosfield,1948,all plots,30/09/1047,30/09/1047,,springtine harrowed,,
Hoosfield,1948,Note,,,,"On plots 50, 5A and 5C, sections badly infected with wild oats were scythed out and discarded. On all other plots the full area was harvested",,
Hoosfield,1949,all plots,11/09/1948,11/09/1948,25/09/1948,ploughed,,
Hoosfield,1949,all plots,24/09/1948,24/09/1948,,dung applied,,
Hoosfield,1949,all plots,25/09/1948,25/09/1948,,ploughed in,,
Hoosfield,1949,all plots,20/12/1948,20/12/1948,30/12/1948,Reploughed,,
Hoosfield,1949,all plots,18/02/1949,18/02/1949,,springtine harrowed,,
Hoosfield,1949,all plots,23/03/1949,23/03/1949,,thistles cut,,
Hoosfield,1949,all plots,24/03/1949,24/03/1949,,seed drilled,,
Hoosfield,1949,all plots,24/03/1949,24/03/1949,,Harrowed in,,
Hoosfield,1949,all plots,31/03/1949,31/03/1949,,Ring rolled,,
Hoosfield,1949,all plots,13/05/1949,13/05/1949,,sprayed with Denocate to kill off weeds,,
Hoosfield,1949,all plots,18/07/1949,18/07/1949,28/07/1949,Wild oats hand pulled various days,,
Hoosfield,1949,all plots,11/08/1949,11/08/1949,,harvested,,
Hoosfield,1949,variety,,,,Plumage Archer,,
Hoosfield,1950,all plots,24/08/1949,24/08/1949,26/08/1949,ploughed,,
Hoosfield,1950,all plots,12/10/1949,12/10/1949,,springtined,,
Hoosfield,1950,all plots,05/11/1949,05/11/1949,,springtined,,
Hoosfield,1950,all plots,02/12/1949,02/12/1949,,dung applied,,
Hoosfield,1950,all plots,16/03/1950,16/03/1950,20/03/1950,applied all fertilizers except silicate of soda,,
Hoosfield,1950,all plots,21/03/1950,21/03/1950,,springtined,,
Hoosfield,1950,all plots,24/03/1950,24/03/1950,,springtined,,
Hoosfield,1950,all plots,24/03/1950,24/03/1950,,Harrowed,,
Hoosfield,1950,all plots,24/03/1950,24/03/1950,,seed drilled,,
Hoosfield,1950,all plots,25/03/1950,25/03/1950,,Harrowed in,,
Hoosfield,1950,all plots,27/03/1950,27/03/1950,,rolled,,
Hoosfield,1950,all plots,20/04/1950,20/04/1950,,Silicate of soda applied,,
