ID,Experiment,year,section,start date,end date,operation,flag,intensity,plots,amount,unit,operation type,water,water unit,tank mixture,method,variety,dressing,machine,original operation
17,Hoosfield,1931,all plots,07/03/1931,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
40,Hoosfield,1934,all plots,29/01/1934,,manures applied,4,,,,,agronomic fertilization process,,,,,,,,manures applied
41,Hoosfield,1934,all plots,26/03/1934,27/03/1934,manures applied,4,,,,,agronomic fertilization process,,,,,,,,manures applied
49,Hoosfield,1935,all plots,08/01/1935,22/01/1935,manures applied,4,,,,,agronomic fertilization process,,,,,,,,manures applied
50,Hoosfield,1935,all plots,04/03/1935,05/03/1935,manures applied,4,,,,,agronomic fertilization process,,,,,,,,manures applied
55,Hoosfield,1936,all plots,20/01/1936,24/01/1936,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied and ploughed in
59,Hoosfield,1936,all plots,10/03/1936,11/03/1936,manures applied,4,,,,,agronomic fertilization process,,,,,,,,manures applied
63,Hoosfield,1937,all plots,03/12/1936,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
72,Hoosfield,1937,all plots,25/03/1937,26/03/1937,manures applied,4,,,,,agronomic fertilization process,,,,,,,,manures applied
73,Hoosfield,1937,all plots,07/04/1937,,manures applied,4,,,,,agronomic fertilization process,,,,,,,,manures applied
78,Hoosfield,1938,all plots,04/01/1938,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
85,Hoosfield,1938,all plots,08/02/1938,09/02/1938,manures applied,4,,,,,agronomic fertilization process,,,,,,,,manures applied
110,Hoosfield,1948,all plots,24/11/1947,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
112,Hoosfield,1948,all plots,10/03/1948,11/03/1948,Artificials applied,4,,,,,agronomic fertilization process,,,,,,,,Artificials applied
125,Hoosfield,1949,all plots,24/09/1948,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
140,Hoosfield,1950,all plots,02/12/1949,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
141,Hoosfield,1950,all plots,16/03/1950,20/03/1950,applied all fertilizers except silicate of soda,4,,,,,agronomic fertilization process,,,,,,,,applied all fertilizers except silicate of soda
148,Hoosfield,1950,all plots,20/04/1950,,applied Si as sodium silicate,4,,,400,lb/acre,agronomic fertilization process,,,,,,,,Silicate of soda applied
154,Hoosfield,1951,all plots,01/02/1951,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
155,Hoosfield,1951,all plots,21/04/1951,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
161,HoosfieldBarley,1952,All plots,18/12/1951,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
163,HoosfieldBarley,1952,All plots,27/02/1952,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
171,HoosfieldBarley,1953,All plots,23/09/1952,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied and ploughed in
172,HoosfieldBarley,1953,All plots,03/03/1953,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
178,HoosfieldBarley,1954,All plots,24/11/1953,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
181,Hoosfield,1954,all plots,07/04/1954,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
191,HoosfieldBarley,1955,All plots,15/11/1954,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
194,HoosfieldBarley,1955,All plots,05/04/1955,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
201,HoosfieldBarley,1956,All plots,16/10/1955,19/10/1955,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"dung applied, all plots ploughed"
202,HoosfieldBarley,1956,All plots,24/03/1956,26/03/1956,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
207,HoosfieldBarley,1957,All plots,18/01/1957,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"dung applied, all plots ploughed"
208,HoosfieldBarley,1957,All plots,04/04/1957,05/04/1957,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
216,HoosfieldBarley,1958,All plots,25/11/1957,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
217,HoosfieldBarley,1958,All plots,17/04/1958,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
224,HoosfieldBarley,1959,All plots,05/12/1958,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
225,HoosfieldBarley,1959,All plots,30/03/1959,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
235,HoosfieldBarley,1960,All plots,20/11/1959,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
240,Hoosfield,1960,All plots,04/04/1960,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
247,HoosfieldBarley,1961,All plots,12/12/1960,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
249,HoosfieldBarley,1961,All plots,28/03/1961,,Minerals applied,4,,,,,agronomic fertilization process,,,,,,,,Minerals applied
250,HoosfieldBarley,1961,All plots,04/04/1961,,applied N,4,,,,,agronomic fertilization process,,,,,,,,Nitrogen fertilizers applied
262,HoosfieldBarley,1962,All plots,31/10/1961,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
263,HoosfieldBarley,1962,All plots,27/03/1962,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
269,HoosfieldBarley,1963,All plots,09/03/1963,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
272,Hoosfield,1963,all plots,24/04/1963,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
278,HoosfieldBarley,1964,All plots,02/11/1963,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,dung applied
280,HoosfieldBarley,1964,All plots,09/04/1964,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
286,HoosfieldBarley,1965,All plots,03/11/1964,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"dung applied, all plots ploughed"
287,HoosfieldBarley,1965,All plots,01/04/1965,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
290,HoosfieldBarley,1965,All plots,20/05/1965,,applied nitrate of soda,4,,plot 4AAS,,,agronomic fertilization process,,,,,,,,nitrate of soda applied to plot 4AAS
295,HoosfieldBarley,1966,All plots,01/11/1965,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"dung applied, all plots ploughed"
296,HoosfieldBarley,1966,All plots,17/03/1966,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
302,HoosfieldBarley,1967,All plots,19/10/1966,,dung applied,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"dung applied, all plots ploughed"
305,HoosfieldBarley,1967,All plots,09/06/1967,,applied castor meal,4,,,,,agronomic fertilization process,,,,,,,,Castor meal applied
309,Hoosfield,1968,all plots,05/10/1967,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K, Na, Mg applied"
309,Hoosfield,1968,all plots,05/10/1967,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
309,Hoosfield,1968,all plots,05/10/1967,,applied Na as sulphate of soda,4,,,14,lbNa/acre,agronomic fertilization process,,,,,,,,
309,Hoosfield,1968,all plots,05/10/1967,,applied Mg as sulphate of magnesia,4,,,10,lb/acre,agronomic fertilization process,,,,,,,,
