ID,Experiment,year,section,start date,end date,operation,flag,intensity,plots,amount,unit,operation type,water,water unit,tank mixture,method,variety,dressing,machine,original operation
133,Hoosfield,1949,all plots,13/05/1949,,Denocate to kill off weeds,3,,,,,chemical pest control process,,,,sprayed,,,,sprayed with Denocate to kill off weeds
150,Hoosfield,1950,all plots,30/05/1950,,D.N.O.C,3,,,,,chemical pest control process,,,,,,,,D.N.O.C applied
157,Hoosfield,1951,all plots,26/06/1951,,D.N.O.C,3,,,1,gallons/acre,chemical pest control process,,,,sprayed,,,,sprayed with D.N.O.C 1 gallon per acre
,Hoosfield,1944,all plots,,,D.N.O.C late May or early June,3,,,,,chemical pest control process,,,,,,,,
,Hoosfield,1945,all plots,,,D.N.O.C late May or early June,3,,,,,chemical pest control process,,,,,,,,
,Hoosfield,1946,all plots,,,D.N.O.C late May or early June,3,,,,,chemical pest control process,,,,,,,,
,Hoosfield,1947,all plots,,,D.N.O.C late May or early June,3,,,,,chemical pest control process,,,,,,,,
,Hoosfield,1948,all plots,,,D.N.O.C late May or early June,3,,,,,chemical pest control process,,,,,,,,
165,HoosfieldBarley,1952,All plots,09/05/1952,,D.N.O.C,3,,,1,gallons/acre,chemical pest control process,,,,sprayed,,,,sprayed with D.N.O.C 1 gallon per acre
174,HoosfieldBarley,1953,All plots,26/05/1953,,D.N.O.C,3,,,,,chemical pest control process,,,,sprayed,,,,sprayed with D.N.O.C
182,HoosfieldBarley,1954,All plots,03/06/1954,,D.N.O.C,3,,,,,chemical pest control process,,,,sprayed,,,,sprayed with D.N.O.C
190,HoosfieldBarley,1955,All plots,06/11/1954,18/11/1954,part of ground chalk applied,3,,"to strips 3, 4",5,tons/acre,liming process,,,,,,,,"part of ground chalk applied to strips 3, 4"
193,HoosfieldBarley,1955,All plots,17/03/1955,,Remainder of ground chalk applied,3,,"to strips 3, 4, compensating dressing applied to series A, C",,,liming process,,,,,,,,"Remainder of ground chalk applied to strips 3, 4, compensating dressing applied to series A, C"
196,HoosfieldBarley,1955,All plots,24/05/1955,,D.N.C. (active substance),3,,,8,lb/acre,chemical pest control process,80,gallons/acre,,sprayed,,,,sprayed with 8 lb D.N.C. (active substance) in 80 gallons per acre
204,HoosfieldBarley,1956,All plots,28/05/1956,,D.N.O.C,3,,,3,lb/acre,chemical pest control process,80,gallons/acre,,sprayed,,,,sprayed with 3 lb INOC in 80 gallons per acre
210,HoosfieldBarley,1957,All plots,29/05/1957,,MCPA,3,,,2,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with MCPA at 2 pints in 40 gallons per ecre
219,HoosfieldBarley,1958,All plots,28/05/1958,,CMPP,3,,,6,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with CMPP at 6 pints in 40 gallons per acre
222,HoosfieldBarley,1959,All plots,20/09/1958,,"2,4-D ester on stubble",3,,,1.75,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"sprayed with 2,4-D ester at 1.75 pints in 40 gallons per acre on stubble"
227,HoosfieldBarley,1959,All plots,26/05/1959,,MCPA,3,,,6.5,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with MCPA at 6.5 pints (30% potassium salt) in 40 gallons per acre
231,HoosfieldBarley,1960,All plots,26/08/1959,,dalapon,3,,"part of plots 5A, 4C, 5.0 ",8,lb/acre,chemical pest control process,20,gallons/acre,,sprayed,,,,"sprayed part of plots 5A, 4C, 5.0 with dalapon at 8 lb in 20 gallons per acre"
232,HoosfieldBarley,1960,All plots,27/08/1959,,"2,4-D ester",3,,,1.75,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"all plots sprayed with 2,4-D ester at 1.75 pints in 40 gallons per acre"
234,HoosfieldBarley,1960,All plots,07/09/1959,,Quinquenniel chalk supplement applied,3,,"to series A, C, plot 5A",,,liming process,,,,,,,,"Quinquenniel chalk supplement applied to series A, C, plot 5A"
237,HoosfieldBarley,1960,All plots,24/05/1960,,MCPA,3,,"Strips 1, 2, 3 ",6.5,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"Strips 1, 2, 3 sprayed with MCPA at 6.5 pints (30% potassium salt) in 40 gallons per acre"
243,Hoosfield,1960,selected plots,07/09/1959,,dalapon,3,,"part of plots 5A, 4C, 5.0",4,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"sprayed part of plots 5A, 4C, 5.0 with dalapon at 4 lb in 40 gallons per acre"
244,Hoosfield,1960,selected plots,24/05/1960,,CMPP,3,,"strips 4, 6, 7 ",6,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"strips 4, 6, 7 sprayed with CMPP at 6 pints in 40 gallons per acre"
245,HoosfieldBarley,1961,All plots,24/09/1960,,dalapon,3,,,10,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with dalapon at 10 lb in 40 gallons per acre
246,HoosfieldBarley,1961,All plots,11/10/1960,,dalapon,3,,,5,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with dalapon at 5 lb in 40 gallons per acre
252,HoosfieldBarley,1961,All plots,19/05/1961,,MCPA,3,,"Strips 1, 2, 3 ",6.5,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"Strips 1, 2, 3 sprayed with MCPA at 6.5 pints in 40 gallons per acre"
255,Hoosfield,1961,selected plots,19/05/1961,,CMPP,3,,"strips 4, 6, 7 ",6,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"strips 4, 6, 7 sprayed with CMPP at 6 pints in 40 gallons per acre"
256,HoosfieldBarley,1962,All plots,05/09/1961,,"2,4-D ester",3,,,1.75,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"all plots sprayed with 2,4-D ester at 1.75 pints in 40 gallons per acre"
257,HoosfieldBarley,1962,All plots,08/09/1961,,dalapon,3,,"Plot 1N, parts of plots 2C, 4C 5-0, 5A ",8,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"Plot 1N, parts of plots 2C, 4C 5-0, 5A sprayed with dalapon at 8 lb in 40 gallons per acre"
258,HoosfieldBarley,1962,All plots,08/09/1961,,dalapon. Areas sprayed on 08/09/1961 and 11/09/1961 resprayed.,3,,,4,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,Areas sprayed on 08/09/1961 and 11/09/1961 resprayed with dalapon at 4 lb in 40 gallons per acre
259,HoosfieldBarley,1962,All plots,11/09/1961,,"sprayed by hand, with dalapon",3,,"Patches on 2N, 2C, 3C, 4C ",8,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"Patches on 2N, 2C, 3C, 4C sprayed by hand, with dalapon at 8 lb in 40 gallons per acre"
265,HoosfieldBarley,1962,All plots,04/06/1962,,MCPA / MBA,3,,,4,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with MCPA / MBA at 4 pints in 40 gallons per acre
267,HoosfieldBarley,1963,All plots,27/09/1962,,dalapon,3,,,7.4,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with dalapon at 7.4 lb in 40 gallons per acre
268,HoosfieldBarley,1963,All plots,16/10/1962,,dalapon,3,,,3.7,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with dalapon at 3.7 lb in 40 gallons per acre
273,HoosfieldBarley,1963,All plots,11/06/1963,,"mecoprop / 2,4-D",3,,,6,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"sprayed with mecoprop / 2,4-D at 6 pints in 40 gallons per acre"
276,HoosfieldBarley,1964,All plots,07/10/1963,,dalapon (as Dowpon),3,,,8,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with dalapon (Dowpon at 8 lb in 40 gals)
277,HoosfieldBarley,1964,All plots,21/10/1963,,dalapon (as Dowpon),3,,,4,lb/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,sprayed with dalapon (Dowpon at 4 lb in 40 gals)
282,HoosfieldBarley,1964,All plots,28/05/1964,,"mecoprop / 2,4-D (as Methoxone extra)",3,,,6,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"sprayed with mecoprop / 2,4-D (Methoxone extra at 6 pints in 40 gals)"
285,HoosfieldBarley,1965,All plots,26/09/1964,,Quinquenniel chalk supplement applied,3,,"to series A, C, plot 5A",,,liming process,,,,,,,,"Quinquenniel chalk supplement applied to series A, C, plot 5A"
289,HoosfieldBarley,1965,All plots,14/05/1965,,"mecoprop / 2,4-D (as Methoxone extra)",3,,,6,pints/acre,chemical pest control process,34,gallons/acre,,sprayed,,,,"sprayed with mecoprop / 2,4-D (Methoxone extra at 6 pints in 34 gals)"
294,HoosfieldBarley,1966,All plots,04/10/1965,,aminotriazole,3,,,4,lb/acre,chemical pest control process,40,gallons/acre,1,sprayed,,,,sprayed with aminotriazole at 4 lb and ammonia thiocyanate at 3.7 lb in 40 gals
294,HoosfieldBarley,1966,All plots,04/10/1965,,ammonia thiocyanate,3,,,3.7,lb/acre,chemical pest control process,40,gallons/acre,1,sprayed,,,,
298,HoosfieldBarley,1966,All plots,27/05/1966,,"mecoprop / 2,4-D (as Methoxone extra)",3,,,6,pints/acre,chemical pest control process,40,gallons/acre,,sprayed,,,,"sprayed with mecoprop / 2,4-D (Methoxone extra at 6 pints in 40 gals)"
301,HoosfieldBarley,1967,All plots,16/09/1966,,aminotriazole,3,,,4,lb/acre,chemical pest control process,40,gallons/acre,1,sprayed,,,,sprayed with aminotriazole at 4 lb and ammonia thiocyanate at 3.7 lb in 40 gals
301,HoosfieldBarley,1967,All plots,16/09/1966,,ammonia thiocyanate,3,,,3.7,lb/acre,chemical pest control process,40,gallons/acre,1,sprayed,,,,
306,HoosfieldBarley,1967,All plots,23/06/1967,,ground chalk,3,,"1AX, 2AX, 3AX, 4AX, 5AX",651,lb/acre,liming process,,,,,,,,Ground chalk applied - see book for plot rates
306,HoosfieldBarley,1967,All plots,23/06/1967,,ground chalk,3,,"1AY, 2AY, 3AY, 4AY, 5AY",1952,lb/acre,liming process,,,,,,,,
306,HoosfieldBarley,1967,All plots,23/06/1967,,ground chalk,3,,"1C, 2C, 3C, 4C",813,lb/acre,liming process,,,,,,,,
306,HoosfieldBarley,1967,All plots,23/06/1967,,ground chalk as corrective liming,3,,"1N, 1C, 4C, 4A, 7-1",23,cwt/acre,liming process,,,,,,,,
306,HoosfieldBarley,1967,All plots,23/06/1967,,ground chalk as corrective liming,3,,"6-1, 6-2, 5A, 2C",46,cwt/acre,liming process,,,,,,,,
315,Hoosfield,1968,barley,14/05/1968,,"dicamba, mecoprop and MCPA as 'Banlene Plus'",3,,,4,pints/acre,chemical pest control process,33,gallons/acre,,,,,,weedkiller
318,Hoosfield,1968,beans,05/03/1968,,simazine,3,,,1,lb/acre,chemical pest control process,33,gallons/acre,,,,,,weedkiller
319,Hoosfield,1968,beans,21/06/1968,,phorate,3,,,1.04,lb/acre,chemical pest control process,,,,,,,,insecticide
325,Hoosfield,1968,potatoes,03/07/1968,,mancozeb,3,,,1.2,lb/acre,chemical pest control process,37,gallons/acre,,,,,,fungicide
326,Hoosfield,1968,potatoes,19/07/1968,,mancozeb,3,,,1.2,lb/acre,chemical pest control process,37,gallons/acre,,,,,,fungicide
327,Hoosfield,1968,potatoes,19/07/1968,,demeton-s-methyl,3,,,3.5,oz/acre,chemical pest control process,,,,,,,,insecticide
328,Hoosfield,1968,potatoes,05/08/1968,,mancozeb,3,,,1.2,lb/acre,chemical pest control process,37,gallons/acre,,,,,,fungicide
329,Hoosfield,1968,potatoes,30/08/1968,,BOV applied,3,,,,,chemical pest control process,,,,,,,,BOV applied
335,Hoosfield,1969,barley,05/09/1968,,paraquat,3,,,0.75,lb/acre,chemical pest control process,20,gallons/acre,,,,,,paraquat applied
338,Hoosfield,1969,barley,20/05/1969,,"dicamba, mecoprop and MCPA as 'Banlene Plus'",3,,,4,pints/acre,chemical pest control process,20,gallons/acre,,,,,,MCPA / mecoprop / dicamba applied
342,Hoosfield,1969,beans,19/05/1969,,demeton-s-methyl,3,,,3.5,oz/acre,chemical pest control process,37,gallons/acre,,,,,,insecticide
344,Hoosfield,1969,potatoes,05/09/1968,,paraquat,3,,,0.75,lb/acre,chemical pest control process,20,gallons/acre,,,,,,paraquat applied
347,Hoosfield,1969,potatoes,12/05/1969,,paraquat,3,,,0.375,lb/acre,chemical pest control process,37,gallons/acre,,,,,,"linuron, paraquat applied"
350,Hoosfield,1969,potatoes,15/07/1969,,mancozeb,3,,,1.2,lb/acre,chemical pest control process,37,gallons/acre,,,,,,Mancozeb applied
