ID,Experiment,year,section,start date,end date,operation,flag,intensity,plots,amount,unit,operation type,water,water unit,tank mixture,method,variety,dressing,machine,original operation
7,Hoosfield,1930,all plots,06/03/1930,,seed sown,2,,,,,seeding process,,,,,Spratt Archer,,,seed sown
8,Hoosfield,1930,all plots,06/03/1930,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
20,Hoosfield,1931,all plots,17/03/1931,,seed sown,2,,,,,seeding process,,,,,Spratt Archer,,,seed sown
21,Hoosfield,1931,all plots,17/03/1931,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
32,Hoosfield,1932,all plots,09/03/1932,10/03/1932,seed sown,2,,,,,seeding process,,,,,Spratt Archer,,,seed sown
33,Hoosfield,1932,all plots,09/03/1932,10/03/1932,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
42,Hoosfield,1934,all plots,27/03/1934,28/03/1934,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
51,Hoosfield,1935,all plots,08/03/1935,09/03/1935,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
60,Hoosfield,1936,all plots,17/03/1936,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
74,Hoosfield,1937,all plots,07/04/1937,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
75,Hoosfield,1937,all plots,12/04/1937,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
86,Hoosfield,1938,all plots,25/02/1938,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
88,Hoosfield,1939,all plots,10/03/1939,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
90,Hoosfield,1940,all plots,12/03/1940,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
92,Hoosfield,1941,all plots,17/03/1941,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
94,Hoosfield,1942,all plots,29/03/1942,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
97,Hoosfield,1944,all plots,29/03/1944,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
100,Hoosfield,1945,all plots,09/03/1945,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
103,Hoosfield,1946,all plots,25/03/1946,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
106,Hoosfield,1947,all plots,17/04/1947,,seed sown,2,,,,,seeding process,,,,,Plumage Archer,,,seed sown
115,Hoosfield,1948,all plots,31/03/1948,,seed drilled,2,,,,,seeding process,,,,,Plumage Archer,,,seed drilled
130,Hoosfield,1949,all plots,24/03/1949,,seed drilled,2,,,,,seeding process,,,,,Plumage Archer,,,seed drilled
145,Hoosfield,1950,all plots,24/03/1950,,seed drilled,2,,,,,seeding process,,,,,Plumage Archer,,,seed drilled 
156,Hoosfield,1951,all plots,25/04/1951,,seed drilled,2,,,3,bushels/acre,seeding process,,,,,Plumage Archer,,,seed drilled
164,HoosfieldBarley,1952,all plots,29/02/1952,,seed drilled,2,,,3,bushels/acre,seeding process,,,,,Plumage Archer,,,seed drilled
173,HoosfieldBarley,1953,all plots,09/04/1953,,seed drilled,2,,,3,bushels/acre,seeding process,,,,,Plumage Archer,,,seed drilled
180,HoosfieldBarley,1954,all plots,07/04/1954,,seed drilled,2,,,3,bushels/acre,seeding process,,,,,Plumage Archer,,,seed drilled
195,HoosfieldBarley,1955,all plots,07/04/1955,,seed drilled,2,,,3,bushels/acre,seeding process,,,,,Plumage Archer,,,seed drilled
203,HoosfieldBarley,1956,all plots,03/04/1956,,seed drilled,2,,,3,bushels/acre,seeding process,,,,,Plumage Archer,,,seed drilled
