Experiment,year,new_start_date,new_end_date,operation,operation_type,plot,amount,rate,formulation amount,formulation unit,method
R/CS/10,1962,15/03/1962,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
R/CS/10,1962,15/03/1962,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
W/CS/10,1962,15/03/1962,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
W/CS/10,1962,15/03/1962,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
R/CS/10,1963,03/04/1963,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
R/CS/10,1963,03/04/1963,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
W/CS/10,1963,13/03/1963,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
W/CS/10,1963,13/03/1963,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
R/CS/10,1964,15/02/1964,,nitrochalk,agronomic fertilization process,,0.25,cwt N/acre,,,broadcast
R/CS/10,1964,15/02/1964,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,broadcast
R/CS/10,1964,15/02/1964,,superphosphate as compound fertilizer (0:14:28),agronomic fertilization process,,0.51,cwtP2O5/acre,409,lb/acre,drilled
R/CS/10,1964,15/02/1964,,muriate of potash,agronomic fertilization process,,1.5,cwtK2O/acre,,,broadcast
R/CS/10,1964,15/02/1964,,muriate of potash as compound fertilizer (0:14:28),agronomic fertilization process,,1.02,cwtP2O5/acre,409,lb/acre,drilled
W/CS/10,1964,08/11/1963,,nitrochalk,agronomic fertilization process,,0.25,cwt N/acre,,,broadcast
W/CS/10,1964,08/11/1963,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,broadcast
W/CS/10,1964,08/11/1963,,superphosphate as compound fertilizer (0:14:28),agronomic fertilization process,,0.51,cwtP2O5/acre,409,lb/acre,drilled
W/CS/10,1964,08/11/1963,,muriate of potash,agronomic fertilization process,,1.5,cwtK2O/acre,,,broadcast
W/CS/10,1964,08/11/1963,,muriate of potash as compound fertilizer (0:14:28),agronomic fertilization process,,1.02,cwtP2O5/acre,409,lb/acre,drilled
R/CS/10,1965,01/03/1965,,nitrochalk,agronomic fertilization process,,0.5,cwt N/acre,,,combine drilled
R/CS/10,1965,01/03/1965,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
R/CS/10,1965,01/03/1965,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
W/CS/10,1965,29/03/1965,,nitrochalk,agronomic fertilization process,,0.5,cwt N/acre,,,combine drilled
W/CS/10,1965,29/03/1965,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
W/CS/10,1965,29/03/1965,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
R/CS/10,1966,10/03/1966,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
R/CS/10,1966,10/03/1966,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
R/CS/10,1966,10/03/1966,,nitrochalk,agronomic fertilization process,,0.5,cwt N/acre,,,combine drilled
W/CS/10,1966,10/03/1966,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
W/CS/10,1966,10/03/1966,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
W/CS/10,1966,11/03/1966,,sulphate of ammonia,agronomic fertilization process,,0.5,cwt N/acre,,,broadcast by machine
W/CS/10,1966,07/06/1966,,nitrochalk,agronomic fertilization process,,0.5,cwt N/acre,,,broadcast by machine
R/CS/10,1967,22/02/1967,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
R/CS/10,1967,22/02/1967,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
R/CS/10,1967,03/03/1967,,nitrochalk,agronomic fertilization process,,0.75,cwt N/acre,,,combine drilled
W/CS/10,1967,24/02/1967,,superphosphate,agronomic fertilization process,,0.5,cwtP2O5/acre,,,
W/CS/10,1967,24/02/1967,,muriate of potash,agronomic fertilization process,,1,cwtK2O/acre,,,
W/CS/10,1967,04/03/1967,,sulphate of ammonia,agronomic fertilization process,,0.62,cwt N/acre,,,broadcast in seed bed
W/CS/10,1967,21/03/1967,,sulphate of ammonia,agronomic fertilization process,,0.38,cwt N/acre,,,remainder applied by hand as top dressing
R/CS/10,1968,28/03/1968,,nitrochalk,agronomic fertilization process,,1.5,cwt N/acre,,,"broadcast before planting
"
R/CS/10,1968,04/04/1968,,superphosphate,agronomic fertilization process,,126,kgP/ha,,,
R/CS/10,1968,04/04/1968,,muriate of potash,agronomic fertilization process,,188,kgK2O/ha,,,
W/CS/10,1968,26/03/1968,,nitrochalk,agronomic fertilization process,,2,cwt N/acre,,,broadcast before planting
W/CS/10,1968,28/03/1968,,superphosphate,agronomic fertilization process,,126,kgP/ha,,,
W/CS/10,1968,28/03/1968,,muriate of potash,agronomic fertilization process,,188,kgK2O/ha,,,
R/CS/10,1970,26/03/1970,,nitrochalk,agronomic fertilization process,,95,kgN/ha,,,combine drilled
R/CS/10,1970,26/03/1970,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
R/CS/10,1970,26/03/1970,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
W/CS/10,1970,25/03/1970,,N applied,agronomic fertilization process,,126,kgN/ha,,,broadcast before planting
W/CS/10,1970,26/03/1970,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
W/CS/10,1970,26/03/1970,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
R/CS/10,1971,03/03/1971,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
R/CS/10,1971,03/03/1971,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
R/CS/10,1971,10/03/1971,,nitrochalk,agronomic fertilization process,,94,kgN/ha,,,combine drilled
W/CS/10,1971,04/03/1971,,nitrochalk,agronomic fertilization process,,126,kgN/ha,,,"broadcast before planting
"
W/CS/10,1971,04/03/1971,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
W/CS/10,1971,04/03/1971,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
R/CS/10,1972,20/03/1972,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
R/CS/10,1972,20/03/1972,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
R/CS/10,1972,20/03/1972,,nitrochalk,agronomic fertilization process,,90,kgN/ha,,,combine drilled
W/CS/10,1972,14/03/1972,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
W/CS/10,1972,14/03/1972,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
W/CS/10,1972,14/03/1972,,nitrochalk,agronomic fertilization process,,130,kgN/ha,,,broadcast before planting
R/CS/10,1973,26/02/1973,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
R/CS/10,1973,26/02/1973,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
R/CS/10,1973,12/03/1973,,nitrochalk,agronomic fertilization process,,90,kgN/ha,,,combine drilled
W/CS/10,1973,28/02/1973,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
W/CS/10,1973,28/02/1973,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
W/CS/10,1973,08/03/1973,,nitrochalk,agronomic fertilization process,,130,kgN/ha,,,broadcast before sowing
R/CS/10,1974,23/04/1974,,nitrochalk,agronomic fertilization process,,190,kgN/ha,,,
R/CS/10,1974,24/04/1974,,superphosphate,agronomic fertilization process,,125,kgP/ha,,,
R/CS/10,1974,24/04/1974,,muriate of potash,agronomic fertilization process,,188,kgK2O/ha,,,
R/CS/10,1974,24/04/1974,,Epsom salts,agronomic fertilization process,sub plots,112,kgMg/ha,,,
W/CS/10,1974,16/04/1974,,nitrochalk,agronomic fertilization process,,250,kgN/ha,,,
W/CS/10,1974,16/04/1974,,superphosphate,agronomic fertilization process,,125,kgP/ha,,,
W/CS/10,1974,16/04/1974,,muriate of potash,agronomic fertilization process,,188,kgK2O/ha,,,
W/CS/10,1974,16/04/1974,,Epsom salts,agronomic fertilization process,sub plots,112,kgMg/ha,,,
R/CS/10,1975,11/03/1975,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
R/CS/10,1975,11/03/1975,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
R/CS/10,1975,25/03/1975,,nitrochalk,agronomic fertilization process,,80,kgN/ha,,,combine drilled
W/CS/10,1975,17/03/1975,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
W/CS/10,1975,17/03/1975,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
W/CS/10,1975,20/03/1975,,nitrochalk,agronomic fertilization process,,80,kgN/ha,,,combine drilled
R/CS/10,1976,24/03/1976,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
R/CS/10,1976,24/03/1976,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
R/CS/10,1976,24/03/1976,,Epsom salts,agronomic fertilization process,sub plots,112,kgMg/ha,,,
R/CS/10,1976,24/03/1976,,nitrochalk,agronomic fertilization process,,170,kgN/ha,,,
W/CS/10,1976,26/03/1976,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
W/CS/10,1976,26/03/1976,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
W/CS/10,1976,26/03/1976,,Epsom salts,agronomic fertilization process,sub plots,112,kgMg/ha,,,
W/CS/10,1976,29/03/1976,,nitrochalk,agronomic fertilization process,,160,kgN/ha,,,
R/CS/10,1977,29/03/1977,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
R/CS/10,1977,29/03/1977,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
R/CS/10,1977,30/03/1977,,Epsom salts,agronomic fertilization process,sub plots,112,kgMg/ha,,,
R/CS/10,1977,04/04/1977,,nitrochalk,agronomic fertilization process,,80,kgN/ha,,,combine drilled
W/CS/10,1977,18/03/1977,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
W/CS/10,1977,18/03/1977,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
W/CS/10,1977,18/03/1977,,Epsom salts,agronomic fertilization process,sub plots,112,kgMg/ha,,,
W/CS/10,1977,31/03/1977,,nitrochalk,agronomic fertilization process,,95,kgN/ha,,,combine drilled
R/CS/10,1978,19/04/1978,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
R/CS/10,1978,19/04/1978,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
R/CS/10,1978,19/04/1978,,kieserite,agronomic fertilization process,,112,kgMg/ha,,,
R/CS/10,1978,19/04/1978,,nitrochalk,agronomic fertilization process,,80,kgN/ha,,,combine drilled
W/CS/10,1978,13/03/1978,,superphosphate,agronomic fertilization process,,63,kgP/ha,,,
W/CS/10,1978,13/03/1978,,muriate of potash,agronomic fertilization process,,126,kgK2O/ha,,,
W/CS/10,1978,13/03/1978,,kieserite,agronomic fertilization process,,112,kgMg/ha,,,
W/CS/10,1978,15/03/1978,,nitrochalk,agronomic fertilization process,,130,kgN/ha,,,combine drilled
R/CS/10,1981,01/12/1980,,muriate of potash,agronomic fertilization process,,120,kgK/ha,,,
R/CS/10,1981,01/12/1980,,kieserite,agronomic fertilization process,,100,kgMg/ha,,,
R/CS/10,1981,08/12/1980,,superphosphate,agronomic fertilization process,"plots (0K)P1, (P0)P1",25,kgP/ha,,,
W/CS/10,1981,,,superphosphate,agronomic fertilization process,"plots (0K)P1, (P0)P1",25,kgP/ha,,,
R/CS/10,1981,08/12/1980,,superphosphate,agronomic fertilization process,plots (PK)P3,75,kgP/ha,,,
W/CS/10,1981,,,superphosphate,agronomic fertilization process,plots (PK)P3,75,kgP/ha,,,
R/CS/10,1981,13/04/1981,,nitrochalk,agronomic fertilization process,,80,kgN/ha,,,combine drilled
W/CS/10,1981,08/12/1980,,muriate of potash,agronomic fertilization process,,120,kgK/ha,,,
W/CS/10,1981,08/12/1980,,kieserite,agronomic fertilization process,,100,kgMg/ha,,,
W/CS/10,1981,06/04/1981,,nitrochalk,agronomic fertilization process,,80,kgN/ha,,,
R/CS/10,1982,14/04/1982,,superphosphate,agronomic fertilization process,"plots P1, P3",50,kgP/ha,,,
R/CS/10,1982,14/04/1982,,muriate of potash,agronomic fertilization process,,120,kgK/ha,,,
R/CS/10,1982,14/04/1982,,kieserite,agronomic fertilization process,,40,kgMg/ha,,,
R/CS/10,1982,14/04/1982,,nitrochalk,agronomic fertilization process,,80,kgN/ha,,,combine drilled
W/CS/10,1982,24/03/1982,,superphosphate,agronomic fertilization process,"plots P1, P3",50,kgP/ha,,,
W/CS/10,1983,22/03/1983,,superphosphate,agronomic fertilization process,"plots P1, P2",50,kgP/ha,,,
W/CS/10,1983,22/03/1983,,superphosphate,agronomic fertilization process,plot P3,100,kgP/ha,,,
R/CS/10,1983,11/05/1983,,superphosphate,agronomic fertilization process,"plots P2, P3",50,kgP/ha,,,
W/CS/10,1982,24/03/1982,,muriate of potash,agronomic fertilization process,,120,kgK/ha,,,
W/CS/10,1982,25/03/1982,,kieserite,agronomic fertilization process,,40,kgMg/ha,,,
W/CS/10,1982,25/03/1982,,nitrochalk,agronomic fertilization process,,80,kgN/ha,,,
R/CS/10,1983,11/05/1983,,nitrochalk,agronomic fertilization process,,250,kgN/ha,,,
R/CS/10,1983,11/05/1983,,muriate of potash,agronomic fertilization process,,210,kgK/ha,,,
R/CS/10,1983,11/05/1983,,kieserite,agronomic fertilization process,,40,kgMg/ha,,,
W/CS/10,1983,22/03/1983,,nitrochalk,agronomic fertilization process,,260,kgN/ha,,,
W/CS/10,1983,22/03/1983,,muriate of potash,agronomic fertilization process,,210,kgK/ha,,,
W/CS/10,1983,22/03/1983,,kieserite,agronomic fertilization process,,40,kgMg/ha,,,
R/CS/10,1985,18/03/1985,,N applied (25:0:16),agronomic fertilization process,,25,% N,450,kg/ha,
R/CS/10,1985,18/03/1985,,K applied (25:0:16),agronomic fertilization process,,16,% K,450,kg/ha,
W/CS/10,1985,18/03/1985,,N applied (25:0:16),agronomic fertilization process,,25,% N,490,kg/ha,
W/CS/10,1985,18/03/1985,,K applied (25:0:16),agronomic fertilization process,,16,% K,490,kg/ha,
R/CS/10,1986,30/04/1986,,nitram,agronomic fertilization process,,170,kgN/ha,,,
W/CS/10,1986,30/04/1986,,nitram,agronomic fertilization process,,170,kgN/ha,,,
R/CS/10,1987,05/06/1987,,manganese lignin polycarboxylate as Stoller Manganese,agronomic fertilization process,Manganese spray sub plots,3,kgMn/ha,200,l/ha,
R/CS/10,1987,11/08/1987,,manganese lignin polycarboxylate as Stoller Manganese,agronomic fertilization process,Manganese spray sub plots,9,kgMn/ha,200,l/ha,
W/CS/10,1987,04/06/1987,,manganese,agronomic fertilization process,Manganese spray sub plots,0.19,kgMn/ha,200,l/ha,
W/CS/10,1987,04/08/1987,,manganese sulphate,agronomic fertilization process,Manganese spray sub plots,0.57,kgMn/ha,200,l/ha,
R/CS/10,1988,14/12/1987,,superphosphate,agronomic fertilization process,"P1, P2",25,kgP/ha,,,
R/CS/10,1988,14/12/1987,,superphosphate,agronomic fertilization process,P3,75,kgP/ha,,,
R/CS/10,1988,14/12/1987,,muriate of potash,agronomic fertilization process,,160,kgK/ha,,,
R/CS/10,1988,14/12/1987,,kieserite,agronomic fertilization process,,270,kgMg/ha,,,
R/CS/10,1988,20/06/1988,,Manganese chelate,agronomic fertilization process,Manganese spray sub plots,0.15,kgMn/ha,260,l/ha,
R/CS/10,1988,19/07/1988,,Manganese chelate,agronomic fertilization process,Manganese spray sub plots,0.15,kgMn/ha,200,l/ha,
R/CS/10,1988,07/04/1988,,nitram,agronomic fertilization process,,,,250,kg/ha,
W/CS/10,1988,10/02/1988,,superphosphate,agronomic fertilization process,"P1, P2",25,kgP/ha,,,
W/CS/10,1988,10/02/1988,,superphosphate,agronomic fertilization process,P3,75,kgP/ha,,,
W/CS/10,1988,10/02/1988,,muriate of potash,agronomic fertilization process,,160,kgK/ha,,,
W/CS/10,1988,10/02/1988,,kieserite,agronomic fertilization process,,110,kgMg/ha,,,
W/CS/10,1988,15/06/1988,,Manganese chelate,agronomic fertilization process,Manganese spray sub plots,0.15,kgMn/ha,220,l/ha,
W/CS/10,1988,15/07/1988,,Manganese chelate,agronomic fertilization process,Manganese spray sub plots,0.12,kgMn/ha,220,l/ha,
W/CS/10,1988,22/04/1988,,nitram,agronomic fertilization process,,,,250,kg/ha,
R/CS/10,1989,17/05/1989,,Manganese as Vytel,agronomic fertilization process,Manganese spray sub plots,0.19,kgMn/ha,200,l/ha,
R/CS/10,1989,13/06/1989,,Manganese as Vytel,agronomic fertilization process,Manganese spray sub plots,0.1,kgMn/ha,200,l/ha,
W/CS/10,1989,22/05/1989,,Manganese as Vytel,agronomic fertilization process,Manganese spray sub plots,0.19,kgMn/ha,220,l/ha,
W/CS/10,1989,15/06/1989,,Manganese as Vytel,agronomic fertilization process,Manganese spray sub plots,0.1,kgMn/ha,220,l/ha,
R/CS/10,1990,30/04/1990,,Manganese as Vytel,agronomic fertilization process,Manganese spray sub plots,0.19,kgMn/ha,200,l/ha,
R/CS/10,1990,05/06/1990,,Manganese as Vytel,agronomic fertilization process,Manganese spray sub plots,0.096,kgMn/ha,200,l/ha,
W/CS/10,1990,05/06/1990,,Manganese as Vytel,agronomic fertilization process,Manganese spray sub plots,0.096,kgMn/ha,220,l/ha,
R/CS/10,1991,23/08/1990,,N applied (25:0:16),agronomic fertilization process,,25,% N,200,kg/ha,
R/CS/10,1991,23/08/1990,,K applied (25:0:16),agronomic fertilization process,,16,% K,200,kg/ha,
R/CS/10,1991,13/03/1991,,calcium sulphate as gypsum,agronomic fertilization process,,30,kgS/ha,,,
R/CS/10,1991,03/12/1990,,Magnesium as 'Vytel Liquid Magnesium',agronomic fertilization process,,0.13,kgMg/ha,200,l/ha,
R/CS/10,1991,04/03/1991,,nitram,agronomic fertilization process,,34.5,% N,640,kg/ha,
