Experiment,year,new_start_date,new_end_date,operation,operation_type,plot
R/CS/10,1962,17/11/1961,,ploughed,tillage process,
R/CS/10,1962,14/03/1962,,rotary cultivated,tillage process,
R/CS/10,1962,20/09/1962,,combine harvested,harvesting process,
W/CS/10,1962,24/11/1961,,ploughed,tillage process,
W/CS/10,1962,20/09/1962,,combine harvested,harvesting process,
R/CS/10,1963,27/03/1963,,ploughed,tillage process,
R/CS/10,1963,18/10/1963,,combine harvested,harvesting process,
W/CS/10,1963,12/10/1962,,ploughed,tillage process,
W/CS/10,1963,21/09/1963,,combine harvested,harvesting process,
R/CS/10,1964,14/11/1963,,ploughed,tillage process,
R/CS/10,1964,25/08/1964,,combine harvested,harvesting process,
W/CS/10,1964,01/11/1963,,ploughed,tillage process,
W/CS/10,1964,25/08/1964,,combine harvested,harvesting process,
R/CS/10,1965,18/09/1964,,ploughed,tillage process,
R/CS/10,1965,05/09/1965,,combine harvested,harvesting process,
W/CS/10,1965,14/10/1964,,rotary cultivated,tillage process,
W/CS/10,1965,27/10/1964,,rotary cultivated,tillage process,
W/CS/10,1965,28/08/1965,,combine harvested,harvesting process,
R/CS/10,1966,10/01/1966,,ploughed,tillage process,
R/CS/10,1966,26/08/1966,,combine harvested,harvesting process,
W/CS/10,1966,16/09/1965,,ploughed,tillage process,
W/CS/10,1966,08/09/1966,,combine harvested,harvesting process,
R/CS/10,1967,16/09/1966,,ploughed,tillage process,
R/CS/10,1967,22/08/1967,,combine harvested,harvesting process,
W/CS/10,1967,28/10/1966,,ploughed,tillage process,
W/CS/10,1967,21/08/1967,,combine harvested,harvesting process,
R/CS/10,1968,25/09/1967,,ploughed,tillage process,
R/CS/10,1968,04/04/1968,,rotary cultivated,tillage process,
R/CS/10,1968,03/10/1968,,Lifted,harvesting process,
W/CS/10,1968,15/11/1967,,ploughed,tillage process,
W/CS/10,1968,28/03/1968,,rotary cultivated,tillage process,
W/CS/10,1968,13/06/1968,,rotary ridged,tillage process,
W/CS/10,1968,02/10/1968,,Lifted,harvesting process,
R/CS/10,1969,31/01/1969,,ploughed,tillage process,
R/CS/10,1969,16/04/1969,26/04/1969,rotary cultivated,tillage process,
R/CS/10,1969,23/05/1969,,rotary cultivated,tillage process,
R/CS/10,1969,03/07/1969,,rotary cultivated,tillage process,
R/CS/10,1969,05/08/1969,,Subsoiled 28 inches apart 20 inches deep,tillage process,
R/CS/10,1969,08/08/1969,,Deep-tine cultivated,tillage process,
W/CS/10,1969,18/10/1968,,Deep-tine cultivated,tillage process,
W/CS/10,1969,07/02/1969,,ploughed,tillage process,
W/CS/10,1969,08/03/1969,,ploughed,tillage process,
W/CS/10,1969,17/04/1969,,rotary cultivated,tillage process,
W/CS/10,1969,01/05/1969,,rotary cultivated,tillage process,
W/CS/10,1969,22/05/1969,,rotary cultivated,tillage process,
W/CS/10,1969,17/06/1969,,rotary cultivated,tillage process,
W/CS/10,1969,28/06/1969,,Deep-tine cultivated,tillage process,
W/CS/10,1969,01/07/1969,,Subsoiled 56 inches apart 20-22 inches deep,tillage process,
R/CS/10,1970,30/12/1969,,ploughed,tillage process,
R/CS/10,1970,15/08/1970,,combine harvested,harvesting process,
W/CS/10,1970,30/10/1969,08/11/1969,ploughed,tillage process,
W/CS/10,1970,19/08/1970,,combine harvested,harvesting process,
R/CS/10,1971,28/10/1970,,ploughed,tillage process,
