Experiment,year,new_start_date,new_end_date,operation,operation_type,plot,amount,rate,water amount,water unit,method
R/CS/10,1962,11/04/1962,,Simazine,chemical pest management process,,1,lb/acre,40,gallons/acre,sprayed
R/CS/10,1962,06/07/1962,,demeton-methyl,chemical pest management process,,6,fluid oz/acre,60,gallons/acre,sprayed
W/CS/10,1962,12/04/1962,,Simazine,chemical pest management process,,1,lb/acre,40,gallons/acre,sprayed
W/CS/10,1962,12/07/1962,,demeton-methyl,chemical pest management process,,6,fluid oz/acre,60,gallons/acre,sprayed
R/CS/10,1963,14/06/1963,,demeton-methyl,chemical pest management process,,6,fluid oz/acre,40,gallons/acre,sprayed
W/CS/10,1963,08/04/1963,,Simazine,chemical pest management process,,1,lb/acre,40,gallons/acre,sprayed
W/CS/10,1963,13/06/1963,,demeton-methyl,chemical pest management process,,6,fluid oz/acre,40,gallons/acre,sprayed
R/CS/10,1964,13/03/1964,,Simazine,chemical pest management process,,1,lb/acre,40,gallons/acre,sprayed
W/CS/10,1964,09/11/1963,,Simazine,chemical pest management process,,1,lb/acre,40,gallons/acre,sprayed
W/CS/10,1964,06/04/1964,,Simazine,chemical pest management process,,1,lb/acre,40,gallons/acre,sprayed
R/CS/10,1965,19/05/1965,,"Mecoprop, 2,4-D as Methoxone Extra",chemical pest management process,,6,pints/acre,34,gallons/acre,
W/CS/10,1965,11/05/1965,,"Mecoprop, 2,4-D as Methoxone Extra",chemical pest management process,,6,pints/acre,40,gallons/acre,
R/CS/10,1966,20/05/1966,,"Ioxynil, mecoprop as Actril C",chemical pest management process,,4,pints/acre,40,gallons/acre,
W/CS/10,1966,11/05/1966,,"Ioxynil, mecoprop as Actril C",chemical pest management process,,4,pints/acre,35,gallons/acre,
R/CS/10,1967,12/05/1967,,"Mecoprop, 2,4-D as Methoxone Extra",chemical pest management process,,6,pints/acre,30,gallons/acre,
W/CS/10,1967,27/09/1966,,Aminotriazole,chemical pest management process,,4,lb/acre,33,gallons/acre,
W/CS/10,1967,27/09/1966,,ammonium thiocyanate,chemical pest management process,,3.7,lb/acre,33,gallons/acre,
W/CS/10,1967,09/05/1967,,"Ioxynil, mecoprop as Actril C",chemical pest management process,,5,pints/acre,35,gallons/acre,
W/CS/10,1967,31/05/1967,,"Ioxynil, mecoprop as Actril C - applied because the first application had little effect",chemical pest management process,,5,pints/acre,35,gallons/acre,
R/CS/10,1968,03/05/1968,,paraquat,chemical pest management process,,0.38,lb/acre,36,gallons/acre,
