Experiment,year,new_start_date,new_end_date,operation,operation_type,plot,amount,rate,crop,variety,dressing,method
R/CS/10,1962,16/03/1962,,seed drilled,seeding process,,200,lb/acre,spring beans,Tick 30B,Innoculated with Rhizobium leguminosarum,
W/CS/10,1962,19/03/1962,,seed drilled,seeding process,,200,lb/acre,spring beans,Tick 30B,Innoculated with Rhizobium leguminosarum,
R/CS/10,1963,08/04/1963,,seed drilled,seeding process,,200,lb/acre,spring beans,Tick 30B,,
W/CS/10,1963,27/03/1963,,seed drilled,seeding process,,200,lb/acre,spring beans,Tick 30B,,
R/CS/10,1964,06/03/1964,,seed drilled,seeding process,,200,lb/acre,spring beans,Spring Tick,,
W/CS/10,1964,13/03/1964,,seed drilled,seeding process,,200,lb/acre,spring beans,Spring Tick,,
R/CS/10,1965,17/03/1965,,seed drilled,seeding process,,156,lb/acre,barley,Maris Badger,,
W/CS/10,1965,29/03/1965,,seed drilled,seeding process,,140,lb/acre,barley,Maris Badger,,
R/CS/10,1966,10/03/1966,,seed drilled,seeding process,,160,lb/acre,barley,Maris Badger,,
W/CS/10,1966,11/03/1966,,seed drilled,seeding process,,140,lb/acre,barley,Maris Badger,,
R/CS/10,1967,03/03/1967,,seed drilled,seeding process,,140,lb/acre,barley,Maris Badger,,
W/CS/10,1967,04/03/1967,,seed drilled,seeding process,,140,lb/acre,barley,Maris Badger,,
R/CS/10,1968,04/04/1968,,potatoes machine planted,seeding process,,,,potatoes,Majestic,,
W/CS/10,1968,29/03/1968,,potatoes machine planted,seeding process,,,,potatoes,Majestic,,
R/CS/10,1970,28/03/1970,,seed combine drilled,seeding process,,140,lb/acre,spring barley,Julia,,
W/CS/10,1970,26/03/1970,,seed drilled,seeding process,,135,lb/acre,spring barley,Julia,,
R/CS/10,1971,10/03/1971,,seed combine drilled,seeding process,,157,kg/ha,spring barley,Julia,,
W/CS/10,1971,17/03/1971,,seed drilled,seeding process,,157,kg/ha,spring barley,Julia,,
R/CS/10,1972,20/03/1972,,seed combine drilled,seeding process,,160,kg/ha,spring barley,Julia,ethirimol,
W/CS/10,1972,15/03/1972,,seed drilled,seeding process,,150,kg/ha,spring barley,Julia,ethirimol,
R/CS/10,1973,12/03/1973,,seed sown,seeding process,,160,kg/ha,spring barley,Julia,ethirimol,
W/CS/10,1973,12/03/1973,,seed sown,seeding process,,160,kg/ha,spring barley,Julia,ethirimol,
R/CS/10,1974,24/04/1974,,potatoes planted,seeding process,,,,potatoes,Pentland Crown,,
W/CS/10,1974,17/04/1974,,potatoes planted,seeding process,,,,potatoes,Pentland Crown,,
R/CS/10,1975,25/03/1975,,seed sown,seeding process,,200,kg/ha,oats,Manod,,
W/CS/10,1975,20/03/1975,,seed sown,seeding process,,200,kg/ha,oats,Manod,,
R/CS/10,1976,26/03/1976,,seed sown,seeding process,,5.6,kg/ha,spring oilseed rape,Maris Haplona,,
W/CS/10,1976,31/03/1976,,seed sown,seeding process,,6.2,kg/ha,spring oilseed rape,Maris Haplona,,
R/CS/10,1977,04/04/1977,,seed sown,seeding process,,200,kg/ha,oats,Manod,,
W/CS/10,1977,31/03/1977,,seed sown,seeding process,,200,kg/ha,oats,Manod,,
R/CS/10,1978,19/04/1978,,seed sown,seeding process,,160,kg/ha,spring barley,Porthos,ethirimol,
W/CS/10,1978,15/03/1978,,seed sown,seeding process,,160,kg/ha,spring barley,Porthos,ethirimol,
W/CS/10,1978,03/04/1978,,seed resown because of bird damage,seeding process,,,,,,,
R/CS/10,1981,13/04/1981,,seed sown,seeding process,,190,kg/ha,spring oats,Peniarth,,
W/CS/10,1981,09/04/1981,,seed sown,seeding process,,200,kg/ha,spring oats,Peniarth,,
R/CS/10,1982,14/04/1982,,seed sown,seeding process,,190,kg/ha,spring oats,Peniarth,,
W/CS/10,1982,29/03/1982,,seed sown,seeding process,,200,kg/ha,spring oats,Peniarth,,
R/CS/10,1983,23/05/1983,,potatoes planted,seeding process,,,,potatoes,Pentland Crown,,
W/CS/10,1983,11/05/1983,,potatoes planted,seeding process,,,,Potatoes,Pentland Crown,,
R/CS/10,1985,18/03/1985,,seed sown,seeding process,,160,kg/ha,spring barley,Klaxon,,
W/CS/10,1985,18/03/1985,,seed sown,seeding process,,150,kg/ha,spring barley,Klaxon,,
R/CS/10,1986,23/10/1985,,seed sown,seeding process,,190,kg/ha,winter triticale,Lasko,,
W/CS/10,1986,22/10/1985,,seed sown,seeding process,,160,kg/ha,winter triticale,Lasko,,
R/CS/10,1987,31/03/1987,,seed sown,seeding process,,260,kg/ha,Lupinus ablbus,Vladimir,,
W/CS/10,1987,06/04/1987,,seed sown,seeding process,,250,kg/ha,Lupinus ablbus,Vladimir,,
R/CS/10,1988,13/04/1988,,seed sown,seeding process,,87,kg/ha,linseed,Antares,iprodione and benomyl,
W/CS/10,1988,22/04/1988,,seed sown,seeding process,,80,kg/ha,linseed,Antares,benomyl,
R/CS/10,1989,30/03/1989,,seed sown,seeding process,,200,kg/ha,spring beans,Alfred,,
W/CS/10,1989,31/03/1989,,seed sown,seeding process,,200,kg/ha,spring beans,Alfred,,
R/CS/10,1990,06/03/1990,,seed sown,seeding process,,260,kg/ha,spring beans,Alfred,,
W/CS/10,1990,05/03/1990,,seed sown,seeding process,,250,kg/ha,spring beans,Alfred,,
R/CS/10,1991,31/08/1990,,seed sown,seeding process,,6,kg/ha,winter oilseed rape,Libravo,"fenpropimorph, gamma-HCH, thiram",
W/CS/10,1991,30/08/1990,,seed sown,seeding process,,6,kg/ha,winter oilseed rape,Libravo,,
R/CS/10,1992,05/09/1991,,seed drilled,seeding process,,6.1,kg/ha,winter oilseed rape,Libravo,Hydraguard and Rovral WP,
W/CS/10,1992,06/09/1991,,seed drilled,seeding process,,6,kg/ha,winter oilseed rape,Libravo,Hydraguard and Rovral WP,
R/CS/10,1993,07/10/1992,,seed sown,seeding process,,100,kg/ha,winter lupins,CH 304/70,cultivated with rhizobium,
W/CS/10,1993,02/10/1992,,seed sown,seeding process,,100,kg/ha,winter lupins,CH 304/70,cultivated with rhizobium,
R/CS/10,1994,20/10/1993,,seed drilled,seeding process,,40,seed/m2,winter lupins,CH 304/70,,
W/CS/10,1994,24/09/1993,,seed drilled,seeding process,,40,seed/m2,winter lupins,CH 304/70,,
R/CS/10,1995,30/09/1994,,seed drilled,seeding process,,380,seed/m2,winter wheat,Genesis,Rappor,
W/CS/10,1995,30/09/1994,,seed drilled,seeding process,,300,seed/m2,winter wheat,Genesis,Rappor,
R/CS/10,1996,28/09/1995,,seed drilled,seeding process,,380,seed/m2,winter wheat,Hereward,Panoctine,
W/CS/10,1996,03/10/1995,,seed drilled,seeding process,,375,seed/m2,winter wheat,Hereward,Sibutol,
W/CS/10,1964,08/11/1963,,seed drilled,seeding process,,200,lb/acre,spring beans,Spring Tick,,
