source_id	sequence	Experiment	harvest_year	plots	start_date_orig	start date	end_date_orig	end_date	type	flag	orig_record	record	rate	unit	water_volume	water_volume_unit
7378		RW/CS/10	1992	Sawyers I (R)-	25-Aug-91						"Deep-tine cultivated with vibrating tines 60 cm apart, 45 cm deep."	"Deep-tine cultivated with vibrating tines 60 cm apart, 45 cm deep."				
7379		RW/CS/10	1992	Sawyers I (R)-	26-Aug-91						"ploughed, rolled."	"ploughed, rolled."				
7380		RW/CS/10	1992	Sawyers I (R)-	04-Sep-91						rotary harrowed.	rotary harrowed.				
7381		RW/CS/10	1992	Sawyers I (R)-	05-Sep-91						"rotary harrowed, Libravo, dressed Hydraguard and Rovral WP, drilled at 6.1 kg, rolled."	"rotary harrowed, Libravo, dressed Hydraguard and Rovral WP, drilled at 6.1 kg, rolled."				
7382		RW/CS/10	1992	Sawyers I (R)-	06-Sep-91						Butisan S at 2.5 1 in 200 1.	Butisan S at 2.5 1 in 200 1.				
7383		RW/CS/10	1992	Sawyers I (R)-	24-Oct-91						NK as (25:0:16) at 200 kg.	NK as (25:0:16) at 200 kg.				
7384		RW/CS/10	1992	Sawyers I (R)-	02-Dec-91						Vytel Liquid chelated magnesium at 2.0 1 in 200 1.	Vytel Liquid chelated magnesium at 2.0 1 in 200 1.				
7385		RW/CS/10	1992	Sawyers I (R)-	05-Mar-92						sulphur 30: 30 kg S as gypsun.	sulphur 30: 30 kg S as gypsun.				
7386		RW/CS/10	1992	Sawyers I (R)-	05-Mar-92						34.5% N at 220 kg.	34.5% N at 220 kg.				
7387		RW/CS/10	1992	Sawyers I (R)-	13-Apr-92						ploughed (crop failed.	ploughed (crop failed.				
7388		RW/CS/10	1992	Stackyard C (W).	03-Sep-91						ploughed.	ploughed.				
7389		RW/CS/10	1992	Stackyard C (W).	06-Sep-91						"rotary cultivated, Libravo, dressed Hydraguard and Rovral wp, drilled at 6.0 kg, rolled. :"	"rotary cultivated, Libravo, dressed Hydraguard and Rovral wp, drilled at 6.0 kg, rolled. :"				
7390		RW/CS/10	1992	Stackyard C (W).	29-Oct-91						NK as (25:0:16) at 200 kg.	NK as (25:0:16) at 200 kg.				
7391		RW/CS/10	1992	Stackyard C (W).	15-Jan-92						Benazalox at 1.25 kg in 200 1.	Benazalox at 1.25 kg in 200 1.				
7392		RW/CS/10	1992	Stackyard C (W).	05-Mar-92						sulphur 30: 30 kg S as gypsum	sulphur 30: 30 kg S as gypsum				
7393		RW/CS/10	1992	Stackyard C (W).	06-Mar-92						34.5% N at 220 kg.	34.5% N at 220 kg.				
7394		RW/CS/10	1992	Stackyard C (W).	13-May-92						ploughed (crop failed.	ploughed (crop failed.				
7395		RW/CS/10	1993	Sawyers I (R):	29-Sep-92						ploughed.	ploughed.				
7396		RW/CS/10	1993	Sawyers I (R):	07-Oct-92						"rotary harrowed, CH 304/70, cultivated with rhizobium, drilled at 100 kg."	"rotary harrowed, CH 304/70, cultivated with rhizobium, drilled at 100 kg."				
7397		RW/CS/10	1993	Sawyers I (R):	13-Oct-92						Isogard 500 FW at LLC2-8 1 in 200 1.	Isogard 500 FW at LLC2-8 1 in 200 1.				
7398		RW/CS/10	1993	Sawyers I (R):	16-Apr-93						sulphur 30: 30 kg S ae gypsum.	sulphur 30: 30 kg S ae gypsum.				
7399		RW/CS/10	1993	Sawyers I (R):	22-Jun-93						power Dimathoate 40 at 1.7 1 in 200 1.	power Dimathoate 40 at 1.7 1 in 200 1.				
7400		RW/CS/10	1993	Sawyers I (R):	02-Jul-93						Mistral at 1.0 1 in 200 1.	Mistral at 1.0 1 in 200 1.				
7401		RW/CS/10	1993	Sawyers I (R):	02-Jul-93						Sportak 45 at 1.1 1 in 200 1.	Sportak 45 at 1.1 1 in 200 1.				
7402		RW/CS/10	1993	Sawyers I (R):	06-Sep-93						Stefes Diquat at 3.0 1 with Vassgro Spreader at 0.30 1 in 260 1.	Stefes Diquat at 3.0 1 with Vassgro Spreader at 0.30 1 in 260 1.				
7403		RW/CS/10	1993	Sawyers I (R):	10-Oct-93						combine harvested.	combine harvested.				
7404		RW/CS/10	1993	Stackyard C (W):	02-Oct-92						"rotary harrowed, CH 304/70, cultivated with rhizobium, drilled at 100 kg."	"rotary harrowed, CH 304/70, cultivated with rhizobium, drilled at 100 kg."				
7405		RW/CS/10	1993	Stackyard C (W):	12-Oct-92						Isogard 500 FW at 1.8 1 and Scythe at 3.0 1 in 200 1.	Isogard 500 FW at 1.8 1 and Scythe at 3.0 1 in 200 1.				
7406		RW/CS/10	1993	Stackyard C (W):	22-Mar-93						ploughed (crop failed.	ploughed (crop failed.				
7407		RW/CS/10	1993	Stackyard C (W):	08-Jul-93						rotary cultivated.	rotary cultivated.				
7408		RW/CS/10	1994	Sawyers I (R):	16-Oct-93						ploughed.	ploughed.				
7409		RW/CS/10	1994	Sawyers I (R):	19-Oct-93						disced.	disced.				
7410		RW/CS/10	1994	Sawyers I (R):	20-Oct-93						"spring-tine cultivated, CH304/70 drilled at 40 seed per m."	"spring-tine cultivated, CH304/70 drilled at 40 seed per m."				
7411		RW/CS/10	1994	Sawyers I (R):	26-Oct-93						Isogard 500 FW at LLC2-8 1 in 200 1.	Isogard 500 FW at LLC2-8 1 in 200 1.				
7412		RW/CS/10	1994	Sawyers I (R):	16-Feb-94						Atlantis Simazine at 1.0 1 in 200 1.	Atlantis Simazine at 1.0 1 in 200 1.				
7413		RW/CS/10	1994	Sawyers I (R):	13-Jun-94						sulphur 30: 30 kg S as gypsum.	sulphur 30: 30 kg S as gypsum.				
7414		RW/CS/10	1994	Sawyers I (R):	06-Sep-94						Barclay Gallup at 4.0 1 in 200 1.	Barclay Gallup at 4.0 1 in 200 1.				
7415		RW/CS/10	1994	Stackyard C (W):	16-Sep-93						ploughed.	ploughed.				
7416		RW/CS/10	1994	Stackyard C (W):	24-Sep-93						"rotary harrowed, CH304/70 drilled at 40 seed per m’."	"rotary harrowed, CH304/70 drilled at 40 seed per m’."				
7417		RW/CS/10	1994	Stackyard C (W):	18-Feb-94						Atlantis Simazine at 1.0 1 in 200 1.	Atlantis Simazine at 1.0 1 in 200 1.				
7418		RW/CS/10	1994	Stackyard C (W):	10-Mar-94						sulphur 30: 30 kg S as gypsum.	sulphur 30: 30 kg S as gypsum.				
7419		RW/CS/10	1994	Stackyard C (W):	09-May-94						Sportak 45 at 1.5 1 in 200 1.	Sportak 45 at 1.5 1 in 200 1.				
