Experiment,year,site,start_date,new_start_date,end_date,new_end_date,operation,Column
LongTermLiming,1962,sawyers,17-Nov-61,17/11/1961,,,ploughed,
LongTermLiming,1962,sawyers,05-Mar-62,05/03/1962,,,Ground chalk applied,
LongTermLiming,1962,sawyers,14-Mar-62,14/03/1962,,,rotary cultivated,
LongTermLiming,1962,sawyers,15-Mar-62,15/03/1962,,,"Superphosphate, muriate of potash applied",
LongTermLiming,1962,sawyers,16-Mar-62,16/03/1962,,,seed drilled at 200 lb per acre,
LongTermLiming,1962,sawyers,11-Apr-62,11/04/1962,,,sprayed with simazine at 1 lb in 40 gallons per acre,
LongTermLiming,1962,sawyers,06-Jul-62,06/07/1962,,,sprayed with demeton methyl at 6 fluid oz in 60 gallons per acre,
LongTermLiming,1962,sawyers,20-Sep-61,20/09/1962,,,combine harvested,
LongTermLiming,1962,sawyers,None,None,,,"variety: Tick 30B. Previous crops: potatoes, fallow 1960, potatoes, fallow 1961",
LongTermLiming,1962,stackyard,2L-Nov-1961,24/11/1961,,,ploughed,
LongTermLiming,1962,stackyard,09-Mar-62,09/03/1962,,,Ground chalk applied,
LongTermLiming,1962,stackyard,15-Mar-62,15/03/1962,,,"Superphosphate, muriate of potash applied",
LongTermLiming,1962,stackyard,19-Mar-62,19/03/1962,,,seed drilled at 200 lb per acre,
LongTermLiming,1962,stackyard,12-Apr-62,12/04/1962,,,sprayed with simazine at 1 lb in 40 gallons per acre,
LongTermLiming,1962,stackyard,12-Jul-62,12/07/1962,,,sprayed with demeton methyl at 6 fluid oz in 60 gallons per acre,
LongTermLiming,1962,stackyard,20-Sep-61,20/09/1962,,,combine harvested,
LongTermLiming,1962,stackyard,None,None,,,variety: Tick 30B.,
LongTermLiming,1962,stackyard,None,None,,,"Previous crops: barley 1960, sugar beet 1961,",
LongTermLiming,1962,all,None,None,,,Samples were taken for counts of pods and beans,
LongTermLiming,1963,sawyers,04-Dec-62,04/12/1962,,,Ground chalk applied at 1 ton per acre to 'C' plots,
LongTermLiming,1963,sawyers,27-Mar-63,27/03/1963,,,ploughed,
LongTermLiming,1963,sawyers,01-Apr-63,01/04/1963,,,Ground chalk applied at 1 ton per acre to 'C' plots,
LongTermLiming,1963,sawyers,03-Apr-63,03/04/1963,,,"Superphosphate, muriate of potash applied",
LongTermLiming,1963,sawyers,18-Apr-63,08/04/1963,,,seed drilled at 200 lb per acre,
LongTermLiming,1963,sawyers,14-Jun-63,14/06/1963,,,sprayed with demeton-methyl at 6 fluid oz in 40 gallons per acre,
LongTermLiming,1963,sawyers,18-Oct-62,18/10/1963,,,combine harvested,
LongTermLiming,1963,sawyers,None,None,,,"variety: Tick 30B. Previous crops: potatoes, fallow 1960, potatoes, fallow 1961",
LongTermLiming,1963,stackyard,19-Oct-62,12/10/1962,,,ploughed,
LongTermLiming,1963,stackyard,19-Oct-62,19/10/1962,,,Ground chalk applied at 0.75 tons per acre to 'B' plots,
LongTermLiming,1963,stackyard,13-Mar-63,13/03/1963,,,"Superphosphate, muriate of potash applied",
LongTermLiming,1963,stackyard,27-Mar-63,27/03/1963,,,seed drilled at 200 lb per acre,
LongTermLiming,1963,stackyard,08-Apr-63,08/04/1963,,,sprayed with simazine at 1 lb in 40 gallons per acre,
LongTermLiming,1963,stackyard,13-Jun-63,13/06/1963,,,sprayed with demeton-methyl at 6 fluid oz in 40 gallons per acre,
LongTermLiming,1963,stackyard,21-Sep-62,21/09/1963,,,combine harvested,
LongTermLiming,1963,stackyard,None,None,,,"variety: Tick 30B. Previous crops: barley 1960, sugar beet 1961",
LongTermLiming,1964,sawyers,14-Nov-63,14/11/1963,,,ploughed,
LongTermLiming,1964,sawyers,15-Feb-64,15/02/1964,,,fertilizers applied,
LongTermLiming,1964,sawyers,06-Mar-64,06/03/1964,,,seed drilled at 200 lb per acre,
LongTermLiming,1964,sawyers,13-Mar-64,13/03/1964,,,sprayed with simazine at 1 lb in 40 gallons per acre,
LongTermLiming,1964,sawyers,25-Aug-64,25/08/1964,,,combine harvested,
LongTermLiming,1964,sawyers,None,None,,,variety: spring Tick,
LongTermLiming,1964,stackyard,01-Nov-63,01/11/1963,,,ploughed,
LongTermLiming,1964,stackyard,08-Nov-63,08/11/1963,,,fertilizers applied,
LongTermLiming,1964,stackyard,09-Nov-63,09/11/1963,,,sprayed with simazine at 1 lb in 40 gallons per acre,
LongTermLiming,1964,stackyard,13-Mar-64,13/03/1964,,,seed drilled at 200 lb per acre,
LongTermLiming,1964,stackyard,06-Apr-64,06/04/1964,,,sprayed with simazine at 1 lb in 40 gallons per acre,
LongTermLiming,1964,stackyard,25-Aug-64,25/08/1964,,,combine harvested,
LongTermLiming,1964,stackyard,None,None,,,variety: spring Tick,
LongTermLiming,1964,stackyard,None,None,,,"The Winter beans failed through bird damage, the spring beans were sown without seedbed Cultivations.",
LongTermLiming,1964,stackyard,None,None,,,On Sawyers sampled were taken at harvest for pod and bean counts,
LongTermLiming,1965,sawyers,18-Sep-64,18/09/1964,,,ploughed,
LongTermLiming,1965,sawyers,01-Mar-65,01/03/1965,,,fertilizers applied,
LongTermLiming,1965,sawyers,17-Mar-65,17/03/1965,,,seed drilled at 156 lb per acre,
LongTermLiming,1965,sawyers,19-May-65,19/05/1965,,,sprayed,
LongTermLiming,1965,sawyers,05-Sep-64,05/09/1964,,,combine harvested,
LongTermLiming,1965,sawyers,None,None,,,variety: Maris Badger,
LongTermLiming,1965,stackyard,ll-Oct-1964,14/10/1964,,,rotary cultivated,
LongTermLiming,1965,stackyard,29-Mar-65,29/03/1965,,,"27, 1964. fertilizers applied, seed drilled at 140 lb",
LongTermLiming,1965,stackyard,ll-May-1965,19/05/1965,,,sprayed,
LongTermLiming,1965,stackyard,28-Aug-65,28/08/1965,,,combine harvested,
LongTermLiming,1965,stackyard,None,None,,,variety: Maris Badger,
LongTermLiming,1966,sawyers,10-Jan-66,10/01/1966,,,ploughed,
LongTermLiming,1966,sawyers,1b-Mar-1966,1b/03/1966,,,"P, K applied, seed drilled at 160 lo",
LongTermLiming,1966,sawyers,20-May-66,20/05/1966,,,sprayed,
LongTermLiming,1966,sawyers,26-Aug-66,26/08/1966,,,combine harvested,
LongTermLiming,1966,sawyers,None,None,,,variety: Maris Badger,
LongTermLiming,1966,stackyard,16-Sep-65,16/09/1965,,,ploughed,
LongTermLiming,1966,stackyard,10-Mar-66,10/03/1966,,,"P, K applied",
LongTermLiming,1966,stackyard,11-Mar-66,11/03/1966,,,"Sulphate of ammonia applied, seed drilled at 150 lb",
LongTermLiming,1966,stackyard,11-May-66,11/05/1966,,,sprayed,
LongTermLiming,1966,stackyard,07-Jun-66,07/06/1966,,,Nitro-chalk' applied by zachine,
LongTermLiming,1966,stackyard,08-Sep-65,08/09/1965,,,combine harvested,
LongTermLiming,1966,stackyard,None,None,,,variety: Maris Badger,
LongTermLiming,1967,sawyers,16-Sep-66,16/09/1966,,,ploughed,
LongTermLiming,1967,sawyers,22-Feb-67,22/02/1967,,,"P, K applied",
LongTermLiming,1967,sawyers,03-Mar-67,03/03/1967,,,seed drilled at 140 lb per acre,
LongTermLiming,1967,sawyers,12-May-67,12/05/1967,,,Weedkiller applied,
