Experiment	year	site	crop	variety	dressing	amount	rate
LongTermLiming	1973	sawyers	barley	Julia	ethirimol	160	kg/ha
LongTermLiming	1973	stackyard	barley	Julia	ethirimol	160	kg/ha
LongTermLiming	1974	sawyers	potatoes	Pentland Crown			
LongTermLiming	1974	stackyard	potatoes	Pentland Crown			
LongTermLiming	1975	sawyers	oats	Manod		200	kg/ha
LongTermLiming	1975	stackyard	oats	Manod		200	kg/ha
LongTermLiming	1976	sawyers	spring oilseed rape	Maris Haplona		5.6	kg/ha
LongTermLiming	1976	stackyard	spring oilseed rape	Maris Haplona		6.2	kg/ha
LongTermLiming	1977	sawyers	oats	Manod		200	kg/ha
LongTermLiming	1977	stackyard	oats	Manod		200	kg/ha
LongTermLiming	1978	sawyers	spring barley	Porthos	ethirimol	160	kg/ha
LongTermLiming	1978	stackyard	spring barley	Porthos	ethirimol	160	kg/ha
LongTermLiming	1979	sawyers	fallow				
LongTermLiming	1979	stackyard	fallow				
LongTermLiming	1980	sawyers	fallow				
LongTermLiming	1980	stackyard	fallow				
LongTermLiming	1981	sawyers	spring oats	Peniarth		190	kg/ha
LongTermLiming	1981	stackyard	spring oats	Peniarth		200	kg/ha
LongTermLiming	1982	sawyers	spring oats	Peniarth		190	kg/ha
LongTermLiming	1982	stackyard	spring oats	Peniarth		200	kg/ha
LongTermLiming	1983	sawyers	potatoes	Pentland Crown			
LongTermLiming	1983	stackyard	potatoes	Pentland Crown			
LongTermLiming	1984	sawyers	fallow				
LongTermLiming	1984	stackyard	fallow				
LongTermLiming	1985	sawyers	spring barley	Klaxon		160	kg/ha
LongTermLiming	1985	stackyard	spring barley	Klaxon		150	kg/ha
LongTermLiming	1986	sawyers	winter triticale	Lasko		190	kg/ha
LongTermLiming	1986	stackyard	winter triticale	Lasko		160	kg/ha
LongTermLiming	1987	sawyers	Lupinus albus	Vladimir		260	kg/ha
LongTermLiming	1987	stackyard	Lupinus albus	Vladimir		250	kg/ha
LongTermLiming	1988	sawyers	linseed	Antares	iprodione and benomyl	87	kg/ha
LongTermLiming	1988	stackyard	linseed	Antares	benomyl	80	kg/ha
LongTermLiming	1989	sawyers	spring beans	Alfred		200	kg/ha
LongTermLiming	1989	stackyard	spring beans	Alfred		200	kg/ha
LongTermLiming	1990	sawyers	spring beans	Alfred		260	kg/ha
LongTermLiming	1990	stackyard	spring beans	Alfred		250	kg/ha
LongTermLiming	1991	sawyers	winter oilseed rape	Libravo	"fenpropimorph, gamma-HCH, thiram"	6	kg/ha
LongTermLiming	1991	stackyard	winter oilseed rape	Libravo		6	kg/ha
