source_id,experiment,year,cropped section,new start date,new end date,operation,operation type,Amount,Units
1,Broadbalk,1929,cropped plots,09/10/1928,,seed sown,,,
2,Broadbalk,1929,cropped plots,09/08/1929,,harvest,,,
3,Broadbalk,1929,cropped plots,17/08/1929,,carted,,,
4,Broadbalk,1930,all plots,05/09/1929,06/09/1929,tractor cultivated across,,,
5,Broadbalk,1930,all plots,20/09/1929,,tractor cultivated across with thistle bar attached,,,
6,Broadbalk,1930,all plots,01/10/1929,08/10/1929,ploughed,,,
7,Broadbalk,1930,all plots,16/10/1929,,harrowed in seed,,,
8,Broadbalk,1930,Sections I and II,21/02/1930,,chain harrowed,,,
9,Broadbalk,1930,Sections I and II,23/04/1930,,harrowed across,,,
10,Broadbalk,1930,all plots,29/04/1930,,harrowed across,,,
11,Broadbalk,1930,Sections I and II,02/05/1930,,chain harrowed across,,,
12,Broadbalk,1930,"Sections III, IV, V",02/05/1930,,tooth harrowed lengthwise,,,
13,Broadbalk,1930,cropped plots,15/10/1929,,seed sown,,,
14,Broadbalk,1930,cropped plots,18/08/1930,,harvest,,,
15,Broadbalk,1930,cropped plots,27/08/1930,30/08/1930,carted,,,
16,Broadbalk,1931,all plots,30/08/1930,01/09/1930,tractor cultivated,,,
17,Broadbalk,1931,all plots,02/10/1930,07/10/1930,tractor ploughed,,,
18,Broadbalk,1931,all plots,15/10/1930,,tractor disc harrowed followed by drag harrow,,,
19,Broadbalk,1931,cropped sections,16/10/1930,,harrowed in seed,,,
20,Broadbalk,1931,cropped sections,16/10/1930,,seed sown,,,
21,Broadbalk,1931,cropped sections,17/08/1931,18/08/1931,harvest,,,
22,Broadbalk,1931,cropped sections,27/08/1931,29/08/1931,carted,,,
23,Broadbalk,1932,all plots,29/08/1931,15/09/1931,ploughed,,,
24,Broadbalk,1932,all plots,21/09/1931,26/09/1931,tractor cultivated with disc and tooth harrows,,,
25,Broadbalk,1932,all plots,10/10/1931,12/10/1931,cultivate with thistle bar attached,,,
26,Broadbalk,1932,all plots,15/10/1931,,harrowed,,,
27,Broadbalk,1932,all plots,25/02/1931,,harrowed,,,
28,Broadbalk,1932,cropped sections,13/10/1931,,seed sown,,,
29,Broadbalk,1932,cropped sections,09/08/1932,10/08/1932,harvest,,,
30,Broadbalk,1932,cropped sections,16/08/1932,18/08/1932,carted,,,
31,Broadbalk,1933,all plots,19/08/1932,05/09/1932,ploughed,,,
32,Broadbalk,1933,all plots,15/09/1932,16/09/1932,cultivated,,,
33,Broadbalk,1933,cropped sections,17/10/1932,,harrowed,,,
34,Broadbalk,1933,cropped sections,08/05/1933,,harrowed,,,
35,Broadbalk,1933,cropped sections,17/10/1932,,seed sown,,,
36,Broadbalk,1933,cropped sections,10/10/1932,11/10/1932,manures applied,,,
37,Broadbalk,1933,cropped sections,29/03/1933,30/05/1933,manures applied,,,
38,Broadbalk,1933,cropped sections,22/05/1933,,manures applied,,,
39,Broadbalk,1933,cropped sections,27/07/1933,28/07/1933,harvested,,,
40,Broadbalk,1933,fallow sections,24/04/1933,25/04/1933,ploughed,,,
41,Broadbalk,1933,fallow sections,07/07/1933,10/07/1933,ploughed,,,
42,Broadbalk,1933,fallow sections,29/03/1933,12/04/1933,cultivated,,,
43,Broadbalk,1933,fallow sections,15/09/1932,,harrowed,,,
44,Broadbalk,1933,fallow sections,15/06/1933,,harrowed,,,
45,Broadbalk,1933,fallow sections,10/05/1933,,rolled,,,
46,Broadbalk,1933,fallow sections,02/06/1933,,rolled,,,
47,Broadbalk,1934,all plots,08/08/1933,12/08/1933,ploughed,,,
48,Broadbalk,1934,all plots,09/10/1933,,harrowed,,,
49,Broadbalk,1934,cropped sections,12/10/1933,14/10/1933,harrowed,,,
50,Broadbalk,1934,cropped sections,05/04/1934,06/04/1934,harrowed,,,
51,Broadbalk,1934,cropped sections,12/10/1933,13/10/1934,seed sown,,,
52,Broadbalk,1934,cropped sections,09/10/1933,,harrowed,,,
53,Broadbalk,1934,cropped sections,12/10/1933,,harrowed,,,
54,Broadbalk,1934,cropped sections,03/04/1934,,harrowed,,,
55,Broadbalk,1934,cropped sections,27/04/1934,,harrowed,,,
56,Broadbalk,1934,cropped sections,01/08/1934,03/08/1934,harvested,,,
57,Broadbalk,1934,fallow sections,10/05/1934,,ploughed,,,
58,Broadbalk,1934,fallow sections,16/07/1934,17/07/1934,ploughed,,,
59,Broadbalk,1934,fallow sections,15/08/1934,21/08/1934,ploughed,,,
60,Broadbalk,1934,fallow sections,12/10/1933,,harrowed,,,
61,Broadbalk,1934,fallow sections,24/02/1934,,harrowed,,,
62,Broadbalk,1934,fallow sections,05/04/1934,06/04/1934,harrowed,,,
63,Broadbalk,1934,fallow sections,14/07/1934,,harrowed,,,
64,Broadbalk,1934,fallow sections,20/04/1934,,cultivated,,,
65,Broadbalk,1934,fallow sections,16/06/1934,,cultivated,,,
66,Broadbalk,1934,fallow sections,18/06/1934,,cultivated,,,
67,Broadbalk,1934,fallow sections,25/06/1934,,cultivated,,,
68,Broadbalk,1934,fallow sections,22/06/1934,,rolled,,,
69,Broadbalk,1934,fallow sections,29/06/1934,,rolled,,,
70,Broadbalk,1935,fallow sections,15/08/1934,21/08/1934,rolled,,,
