record_id,source_id,sequence,Experiment,harvest_year,plots,start_date_orig,start date,end_date_orig,end_date,type,flag,record,tidy_record,Column,rate,unit,water_volume,water_volume_unit
,1226,,R/CS/10,1962,sawyers i,17-Nov-61,17/11/1961,,,diary record,1,ploughed,Ploughed,,,,,
,1227,,R/CS/10,1962,sawyers i,05-Mar-62,05/03/1962,,,diary record,1,ground Chalk applied,Ground chalk applied,,,,,
,1228,,R/CS/10,1962,sawyers i,14-Mar-62,14/03/1962,,,diary record,1,rotary cultivated,rotary cultivated,,,,,
,1229,,R/CS/10,1962,sawyers i,15-Mar-62,15/03/1962,,,diary record,1,Superphosphate and muriate of potash applied,Superphosphate applied,,,,,
,1229,,R/CS/10,1962,sawyers i,15-Mar-62,15/03/1962,,,diary record,1,Superphosphate and muriate of potash applied,muriate of potash applied,,,,,
,1230,,R/CS/10,1962,sawyers i,16-Mar-62,16/03/1962,,,diary record,1,seed drilled at 200 lb per acre,Seed drilled,,200,lb per acre,,
,1231,,R/CS/10,1962,sawyers i,11-Apr-62,11/04/1962,,,diary record,1,sprayed with simazine at 1 1b in 40 gallons per acre,sprayed with simazine,,1,lb per acre,40,gallons per acre
,1232,,R/CS/10,1962,sawyers i,06-Jul-62,06/07/1962,,,diary record,1,sprayed with demeton methyl at 6 fluid oz in 60 gallons per acre,sprayed with demeton methyl,,6,fluid oz per acre,60,gallons per acre
,1233,,R/CS/10,1962,sawyers i,20-Sep-62,20/09/1962,,,diary record,1,combine harvested,combine harvested,,,,,
,1234,,R/CS/10,1962,sawyers i,,,,,variety,1,Tick 30B. ,Tick 30B.,,,,,
,1235,,R/CS/10,1962,sawyers i,,,,,note,1,Previous crop potatoes and fallow 1960 potatoes and fallow 1961,Previous crop potatoes and fallow 1960 potatoes and fallow 1961,,,,,
,1245,,R/CS/10,1963,sawyers i,04-Dec-62,04/12/1962,,,diary record,1,ground Chalk applied at 1 ton per acre to 'C' plots,Ground chalk applied to 'C' plots.,,1,ton per acre,,
,1246,,R/CS/10,1963,sawyers i,27-Mar-63,27/03/1963,,,diary record,1,ploughed,Ploughed,,,,,
,1247,,R/CS/10,1963,sawyers i,01-Apr-63,01/04/1963,,,diary record,1,ground Chalk applied at 1 ton per acre to 'C' plots. ,Ground chalk applied to 'C' plots.,,1,ton per acre,,
,1248,,R/CS/10,1963,sawyers i,03-Apr-63,03/04/1963,,,diary record,1,Superphosphate and muriate of potash applied,Superphosphate applied,,,,,
,1248,,R/CS/10,1963,sawyers i,03-Apr-63,03/04/1963,,,diary record,1,Superphosphate and muriate of potash applied,muriate of potash applied,,,,,
,1249,,R/CS/10,1963,sawyers i,08-Apr-63,08/04/1963,,,diary record,1,seed drilled at 200 lb per acre,Seed drilled,,200,lb per acre,,
