record_id,source_id,sequence,Experiment,harvest_year,plots,start_date_orig,start date,end_date_orig,end_date,type,flag,record,tidy_record,Column,rate,unit,water_volume,water_volume_unit
,1236,,W/CS/10,1962,stackyard series c,24-Nov-61,24/11/1961,,,diary record,1,ploughed,Ploughed,,,,,
,1237,,W/CS/10,1962,stackyard series c,09-Mar-62,09/03/1962,,,diary record,1,ground Chalk applied,Ground chalk applied,,,,,
,1238,,W/CS/10,1962,stackyard series c,15-Mar-62,15/03/1962,,,diary record,1,Superphosphate and muriate of potash applied,Superphosphate applied,,,,,
,1238,,W/CS/10,1962,stackyard series c,15-Mar-62,15/03/1962,,,diary record,1,Superphosphate and muriate of potash applied,muriate of potash applied,,,,,
,1239,,W/CS/10,1962,stackyard series c,19-Mar-62,19/03/1962,,,diary record,1,seed drilled at 200 1b per acre,Seed drilled,,200,lb per acre,,
,1240,,W/CS/10,1962,stackyard series c,12-Apr-62,12/04/1962,,,diary record,1,sprayed with simazine at 1 1b in 40 gallons per acre,sprayed with simazine,,1,lb per acre,40,gallons per acre
,1241,,W/CS/10,1962,stackyard series c,12-Jul-62,12/07/1962,,,diary record,1,sprayed with demeton methyl at 6 fluid oz in 60 gallons per acre,sprayed with demeton methyl,,6,fluid oz per acre,60,gallons per acre
,1242,,W/CS/10,1962,stackyard series c,20-Sep-62,20/09/1962,,,diary record,1,combine harvested,combine harvested,,,,,
,1243,,W/CS/10,1962,stackyard series c,,,,,variety,1,Tick 30B. ,Tick 30B.,,,,,
,1244,,W/CS/10,1962,stackyard series c,,,,,note,1,Previous crop barley 1960 sugar beet 1961,Previous crop barley 1960 sugar beet 1961,,,,,
,1254,,W/CS/10,1963,stackyard series c,12-Oct-62,12/10/1962,,,diary record,1,ploughed,Ploughed,,,,,
,1255,,W/CS/10,1963,stackyard series c,19-Oct-62,19/10/1962,,,diary record,1,ground Chalk applied at 0.75 ton per acre to 'B' plots and at 1.5 ton per acre to 'C' plots,ground Chalk applied 'B' plots,,0.75,ton per acre,,
,1255,,W/CS/10,1963,stackyard series c,19-Oct-62,19/10/1962,,,diary record,1,ground Chalk applied at 0.75 ton per acre to 'B' plots and at 1.5 ton per acre to 'C' plots,Ground chalk applied to 'C' plots.,,1.5,ton per acre,,
,1256,,W/CS/10,1963,stackyard series c,13-Mar-63,13/03/1963,,,diary record,1,Superphosphate and muriate of potash applied ,Superphosphate applied,,,,,
,1256,,W/CS/10,1963,stackyard series c,13-Mar-63,13/03/1963,,,diary record,1,Superphosphate and muriate of potash applied ,muriate of potash applied,,,,,
,1257,,W/CS/10,1963,stackyard series c,27-Mar-63,27/03/1963,,,diary record,1,seed drilled at 200 lb per acre,Seed drilled,,200,lb per acre,,
,1258,,W/CS/10,1963,stackyard series c,08-Apr-63,08/04/1963,,,diary record,1,sprayed with simzine at 1 1b in 40 gallons per acre,sprayed with simazine,,1,lb per acre,40,gallons per acre
,1259,,W/CS/10,1963,stackyard series c,13-Jun-63,13/06/1963,,,diary record,1,sprayed with demeton-s-methyl at 6 fluid oz in 40 gallons per acre,sprayed with demeton-s-methyl,,6,fluid oz per acre,40,gallons per acre
,1260,,W/CS/10,1963,stackyard series c,21-Sep-63,21/09/1963,,,diary record,1,combine harvested,combine harvested,,,,,
,1261,,W/CS/10,1963,stackyard series c,,,,,variety,1,Tick 30B.,Tick 30B.,,,,,
,1268,,W/CS/10,1964,stackyard series c,01-Nov-63,01/11/1963,,,diary record,1,ploughed,Ploughed,,,,,
,1269,,W/CS/10,1964,stackyard series c,08-Nov-63,08/11/1963,,,diary record,1,fertilizers applied and seed drilled at 200 lb,Fertilizers applied,,,,,
,1269,,W/CS/10,1964,stackyard series c,08-Nov-63,08/11/1963,,,diary record,1,fertilizers applied and seed drilled at 200 lb,Seed drilled,,200,lb per acre,,
,1270,,W/CS/10,1964,stackyard series c,09-Nov-63,09/11/1963,,,diary record,1,sprayed with simazine at 1 lb in 40 gals,sprayed with simazine,,1,lb per acre,40,gallons per acre
,1271,,W/CS/10,1964,stackyard series c,13-Mar-64,13/03/1964,,,diary record,1,seed drilled at 200 lb,Seed drilled,,200,lb per acre,,
,1272,,W/CS/10,1964,stackyard series c,06-Apr-64,06/04/1964,,,diary record,1,sprayed with simazine at 1 lb in 40 gals,sprayed with simazine,,1,lb per acre,40,gallons per acre
,1273,,W/CS/10,1964,stackyard series c,25-Aug-64,25/08/1964,,,diary record,1,combine harvested,combine harvested,,,,,
