record_id,source_id,sequence,Experiment,harvest_year,plots,start_date_orig,start date,end_date_orig,end_date,primary_activity,flag,record,crop,form,purpose,rate,unit,water_volume,water_volume_unit,method,orig_record
,1,,R/BK/1,1929,cropped plots,,09/10/1928,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,3,,R/BK/1,1929,cropped plots,,17/08/1929,,,crop residue removal process,2,Carted,,,,,,,,,carted
,5,,R/BK/1,1930,all plots,,20/09/1929,,,AGRO_00000002,2,Tractor cultivated across with thistle bar attached,,,thistle-bar,,,,,,tractor cultivated across with thistle bar attached
,6,,R/BK/1,1930,all plots,,01/10/1929,,08/10/1929,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,7,,R/BK/1,1930,all plots,,16/10/1929,,,AGRO_01000020,2,Harrowed in seed,,,c_3498,,,,,,harrowed in seed
,8,,R/BK/1,1930,Sections I and II,,21/02/1930,,,AGRO_00000002,2,Chain harrowed,,,AGRO_00000137,,,,,,chain harrowed
,9,,R/BK/1,1930,Sections I and II,,23/04/1930,,,AGRO_00000004,2,Harrowed across,,,c_3498,,,,,,harrowed across
,10,,R/BK/1,1930,all plots,,29/04/1930,,,AGRO_00000004,2,Harrowed across,,,c_3498,,,,,,harrowed across
,11,,R/BK/1,1930,Sections I and II,,02/05/1930,,,AGRO_00000002,2,Chain harrowed across,,,AGRO_00000137,,,,,,chain harrowed across
,12,,R/BK/1,1930,"Sections III, IV, V",,02/05/1930,,,AGRO_00000002,2,Tooth harrowed lengthwise,,,AGRO_00000138,,,,,,tooth harrowed lengthwise
,13,,R/BK/1,1930,cropped plots,,15/10/1929,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,15,,R/BK/1,1930,cropped plots,,27/08/1930,,30/08/1930,crop residue removal process,2,Carted,,,,,,,,,carted
,18,,R/BK/1,1931,all plots,,15/10/1930,,,AGRO_00000004,2,Tractor disc harrowed followed by drag harrow,,AGRO_00000128:AGRO_00000138,,,,,,,tractor disc harrowed followed by drag harrow
,19,,R/BK/1,1931,cropped sections,,16/10/1930,,,AGRO_01000020,2,Harrowed in seed,,,c_3498,,,,,,harrowed in seed
,20,,R/BK/1,1931,cropped sections,,16/10/1930,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,22,,R/BK/1,1931,cropped sections,,27/08/1931,,29/08/1931,crop residue removal process,2,Carted,,,,,,,,,carted
,23,,R/BK/1,1932,all plots,,29/08/1931,,15/09/1931,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,24,,R/BK/1,1932,all plots,,21/09/1931,,26/09/1931,AGRO_00000004,2,Tractor cultivated with disc and tooth harrows,,AGRO_00000128:AGRO_00000138,,,,,,,tractor cultivated with disc and tooth harrows
,25,,R/BK/1,1932,all plots,,10/10/1931,,12/10/1931,AGRO_00000002,2,Cultivate with thistle bar attached,,,thistle-bar,,,,,,cultivate with thistle bar attached
,26,,R/BK/1,1932,all plots,,15/10/1931,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,27,,R/BK/1,1932,all plots,,25/02/1931,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,28,,R/BK/1,1932,cropped sections,,13/10/1931,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,30,,R/BK/1,1932,cropped sections,,16/08/1932,,18/08/1932,crop residue removal process,2,Carted,,,,,,,,,carted
