record_id,source_id,sequence,Experiment,harvest_year,plots,start_date_orig,start date,end_date_orig,end_date,type,flag,orig_record,record,Column,rate,unit,water_volume,water_volume_unit
,1,,R/BK/1,1929,cropped plots,,09/10/1928,,,diary record,1,seed sown,Seed sown,,,,,
,2,,R/BK/1,1929,cropped plots,,09/08/1929,,,diary record,1,harvest,Harvest,,,,,
,3,,R/BK/1,1929,cropped plots,,17/08/1929,,,diary record,1,carted,Carted,,,,,
,4,,R/BK/1,1930,all plots,,05/09/1929,,06/09/1929,diary record,1,tractor cultivated across,Tractor cultivated across,,,,,
,5,,R/BK/1,1930,all plots,,20/09/1929,,,diary record,1,tractor cultivated across with thistle bar attached,Tractor cultivated across with thistle bar attached,,,,,
,6,,R/BK/1,1930,all plots,,01/10/1929,,08/10/1929,diary record,1,ploughed,Ploughed,,,,,
,7,,R/BK/1,1930,all plots,,16/10/1929,,,diary record,1,harrowed in seed,Harrowed in seed,,,,,
,8,,R/BK/1,1930,Sections I and II,,21/02/1930,,,diary record,1,chain harrowed,Chain harrowed,,,,,
,9,,R/BK/1,1930,Sections I and II,,23/04/1930,,,diary record,1,harrowed across,Harrowed across,,,,,
,10,,R/BK/1,1930,all plots,,29/04/1930,,,diary record,1,harrowed across,Harrowed across,,,,,
,11,,R/BK/1,1930,Sections I and II,,02/05/1930,,,diary record,1,chain harrowed across,Chain harrowed across,,,,,
,12,,R/BK/1,1930,"Sections III, IV, V",,02/05/1930,,,diary record,1,tooth harrowed lengthwise,Tooth harrowed lengthwise,,,,,
,13,,R/BK/1,1930,cropped plots,,15/10/1929,,,diary record,1,seed sown,Seed sown,,,,,
,14,,R/BK/1,1930,cropped plots,,18/08/1930,,,diary record,1,harvest,Harvest,,,,,
,15,,R/BK/1,1930,cropped plots,,27/08/1930,,30/08/1930,diary record,1,carted,Carted,,,,,
,16,,R/BK/1,1931,all plots,,30/08/1930,,01/09/1930,diary record,1,tractor cultivated,Tractor cultivated,,,,,
,17,,R/BK/1,1931,all plots,,02/10/1930,,07/10/1930,diary record,1,tractor ploughed,Tractor ploughed,,,,,
