ï»¿source_id,Code,year,Date,plot,orig_record,record,Rate,Unit,flag,water volume,water unit,type,comments,Season,Month / GS
10147,06/W/CS/439,2006,22/09/2005,,Azural,Azural,3.00,l/ha,2,200,l/ha,p,,,
10148,06/W/CS/439,2006,07/11/2005,,Chalk,Chalk - Plot 21,1.00,t/ha,2,,,ch,,,
10149,06/W/CS/439,2006,17/11/2005,,Hand dig,Hand dug,,,2,,,c,,,
10150,06/W/CS/439,2006,17/11/2005,,Hand raked,Hand raked,,,2,,,c,,,
10151,06/W/CS/439,2006,17/11/2005,,Hand sow,Hand sow,,,2,,,s,,,
10152,06/W/CS/439,2006,17/11/2005,,XI19 tr ???,Xi19 tr ???,,,2,600.00,seeds/m2,s,,,
10153,06/W/CS/439,2006,17/11/2005,,Hand raked,Hand raked,,,2,,,c,,,
10154,06/W/CS/439,2006,18/11/2005,,Dursban WG,Dursban WG,1.00,kg/ha,2,200,l/ha,p,,,
10155,06/W/CS/439,2006,08/12/2005,,Hand sow,Hand sow,,,2,,,s,,,
10156,06/W/CS/439,2006,08/12/2005,,XI19 tr ???,Xi19 tr ??? 15 cm spacing,,,2,500.00,seeds/m2,s,,,
10157,06/W/CS/439,2006,09/12/2005,,Erect bird net,Erect bird net,,,2,,,pc,,,
10158,06/W/CS/439,2006,02/02/2006,,Hand sow,Hand sow,,,2,,,s,,,
10159,06/W/CS/439,2006,02/02/2006,,XI19 tr ???,Xi19 tr ??? Re-sowing,,,2,600.00,seeds/m2,s,,,
10160,06/W/CS/439,2006,02/02/2006,,PDQ,PDQ,4.00,l/ha,2,200,l/ha,p,,,
10161,06/W/CS/439,2006,02/02/2006,,Decoy Wetex,Decoy Wetex,5.00,kg/ha,2,,,p,,,
10162,06/W/CS/439,2006,02/02/2006,,Erect bird net,Erect bird net,,,2,,,pc,,,
10163,06/W/CS/439,2006,24/02/2006,,Draza,Draza,5.00,kg/ha,2,,,p,,,
10164,06/W/CS/439,2006,07/04/2006,,Pacifica,Pacifica,0.40,kg/ha,2,200,l/ha,p, ,,
10165,06/W/CS/439,2006,07/04/2006,,Biopower,"Biopower also 318, 334 (does this mean these experiments?)",1.00,l/ha,2,200,l/ha,p,,,
10166,06/W/CS/439,2006,07/04/2006,,Duplosan KV,Duplosan KV,2.00,l/ha,2,200,l/ha,p, ,,
10167,06/W/CS/439,2006,25/04/2006,,Double Top,Double Top,,,2,481.00,kg/ha,,,,
10168,06/W/CS/439,2006,26/04/2006,,Muriate of Potash,Muriate of Potash,,,2,83.33,kg/ha,f,,,
10169,06/W/CS/439,2006,11/05/2006,,Double Top,Double Top,,,2,204.00,kg/ha,,,,
10170,06/W/CS/439,2006,12/05/2006,,Epic,Tm) Epic,0.75,l/ha,2,200,l/ha,p,,,
10171,06/W/CS/439,2006,12/05/2006,,Bravo 500,tm) Bravo 500,1.00,l/ha,2,200,l/ha,p,,,
10172,06/W/CS/439,2006,12/05/2006,,Mantrac 500,Tm) Mantrac 500,1.00,l/ha,2,200,l/ha,p,,,
10173,06/W/CS/439,2006,07/06/2006,,Opus,tm) Opus,0.75,l/ha,2,200,l/ha,p,,,
10174,06/W/CS/439,2006,07/06/2006,,Bravo 500,tm) Bravo 500,1.00,l/ha,2,200,l/ha,p,,,
10175,06/W/CS/439,2006,07/06/2006,,Vivid,tm) Vivid,0.40,l/ha,2,200,l/ha,p,,,
10176,06/W/CS/439,2006,11/08/2006,,"Other operation, see note",Hand harvested by sponsor,,,2,,,h,,,
10177,07/W/CS/439,2007,26/09/2006,,Azural,Azural,4.00,l/ha,2,200,l/ha,p,,,
10178,07/W/CS/439,2007,08/11/2006,,Hand dig,Hand dug,,,2,,,c,,,
10179,07/W/CS/439,2007,08/11/2006,,Hand raked,Hand raked,,,2,,,c,,,
10180,07/W/CS/439,2007,08/11/2006,,Hand plant,Hand planted,,,2,,,s,,,
10181,07/W/CS/439,2007,08/11/2006,,Xi19 tr Redigo Twin,Xi19 tr Redigo Twin,,,2,400.00,seeds/m2,s,,,
10182,07/W/CS/439,2007,08/11/2006,,Rolled,Rolled,,,2,,,c,,,
10183,07/W/CS/439,2007,20/11/2006,,Decoy Wetex,Decoy Wetex,7.00,kg/ha,2,,,p,,,
10184,07/W/CS/439,2007,19/12/2006,,Hallmark with Zeon Technology,Hallmark with Zeon Technology,50.00,ml/ha,2,200,l/ha,p,,,
10185,07/W/CS/439,2007,16/03/2007,,Muriate of Potash,Muriate of Potash,,,2,83.00,kg/ha,f,,,
10186,07/W/CS/439,2007,20/03/2007,,Double Top,Double Top,,,2,100.00,kg/ha,,,,
10187,07/W/CS/439,2007,27/03/2007,,Pacifica,Pacifica,0.50,kg/ha,2,200,l/ha,p,,,
10188,07/W/CS/439,2007,27/03/2007,,Biopower,Biopower,1.00,l/ha,2,200,l/ha,p,,,
