new_source_id,source_id,Experiment,harvest_year,plots,start_date_orig,start date,end_date_orig,end_date,type,flag,record,tidy_record,Column,rate,unit,water_volume,water_volume_unit
688,1,R/BK/1,1952,crop sections,07-Sep-51,07/09/1951,,,diary record,1,"dung applied, ploughed all plots",Dung applied,,,,,
688,1,R/BK/1,1952,crop sections,07-Sep-51,07/09/1951,,,diary record,1,"dung applied, ploughed all plots",all plots ploughed,,,,,
689,2,R/BK/1,1952,crop sections,22-Oct-51,22/10/1951,,,diary record,1,autumn fertilizers applied,autumn fertilizers applied,,,,,
690,3,R/BK/1,1952,crop sections,05-Nov-51,05/11/1951,,,diary record,1,seed drilled at 3.25 bushels per acre,Seed drilled,,3.25,bushels per acre,,
691,4,R/BK/1,1952,crop sections,21-Apr-52,21/04/1952,,,diary record,1,spring fertilizers applied,spring fertilizers applied,,,,,
692,5,R/BK/1,1952,crop sections,13-May-52,13/05/1952,,,diary record,1,second dressing of nitrate of soda applied to plot 16,second dressing of nitrate of soda applied to plot 16,,,,,
693,6,R/BK/1,1952,crop sections,22-Aug-52,22/08/1952,,,diary record,1,Harvested,Harvested,,,,,
694,7,R/BK/1,1952,crop sections,,,,,variety,1,Squareheads Master 13/4,Squareheads Master 13/4,,,,,
695,8,R/BK/1,1952,fallow section,06-Sep-51,06/09/1951,,,diary record,1,ploughed,Ploughed,,,,,
696,9,R/BK/1,1952,fallow section,22-Apr-52,22/04/1952,,,diary record,1,ploughed,Ploughed,,,,,
697,10,R/BK/1,1952,fallow section,26-Jun-52,26/06/1952,,,diary record,1,ploughed,Ploughed,,,,,
698,11,R/BK/1,1952,fallow section,27-Aug-52,27/08/1952,,,diary record,1,ploughed,Ploughed,,,,,
699,12,R/BK/1,1953,cropped sections,03-Sep-52,03/09/1952,,,diary record,1,dung applied and all plots ploughed,Dung applied,,,,,
699,12,R/BK/1,1953,cropped sections,03-Sep-52,03/09/1952,,,diary record,1,dung applied and all plots ploughed,all plots ploughed,,,,,
700,13,R/BK/1,1953,cropped sections,11-Nov-52,11/11/1952,,,diary record,1,autumn fertilizers applied,autumn fertilizers applied,,,,,
701,14,R/BK/1,1953,cropped sections,12-Nov-52,12/11/1952,,,diary record,1,seed drilled at 3 bushels per acre,Seed drilled,,3,bushels per acre,,
702,15,R/BK/1,1953,cropped sections,23-Apr-53,23/04/1953,,,diary record,1,spring fertilizers applied,spring fertilizers applied,,,,,
703,16,R/BK/1,1953,cropped sections,13-May-53,13/05/1953,,,diary record,1,second dressing of nitrate of soda applied to plot 16,second dressing of nitrate of soda applied to plot 16,,,,,
704,17,R/BK/1,1953,cropped sections,25-Aug-53,25/08/1953,,,diary record,1,Harvested,Harvested,,,,,
705,18,R/BK/1,1953,cropped sections,,,,,variety,1,Squareheads Master 13/4,Squareheads Master 13/4,,,,,
706,19,R/BK/1,1953,fallow section,03-Sep-52,03/09/1952,,,diary record,1,ploughed,Ploughed,,,,,
707,20,R/BK/1,1953,fallow section,22-Mar-53,22/03/1953,,,diary record,1,ploughed,Ploughed,,,,,
708,21,R/BK/1,1953,fallow section,10-Jun-53,10/06/1953,,,diary record,1,ploughed,Ploughed,,,,,
709,22,R/BK/1,1954,cropped sections,16-Sep-53,16/09/1953,,,diary record,1,"dung applied, ploughed all plots",Dung applied,,,,,
709,22,R/BK/1,1954,cropped sections,16-Sep-53,16/09/1953,,,diary record,1,"dung applied, ploughed all plots",all plots ploughed,,,,,
710,23,R/BK/1,1954,cropped sections,21-Oct-53,21/10/1953,,,diary record,1,autumn fertilizers applied,autumn fertilizers applied,,,,,
711,24,R/BK/1,1954,cropped sections,23-Oct-53,23/10/1953,,,diary record,1,seed drilled at 3 bushels per acre,Seed drilled,,3,bushels per acre,,
712,25,R/BK/1,1954,cropped sections,22-Apr-54,22/04/1954,,,diary record,1,spring fertilizers applied,spring fertilizers applied,,,,,
713,26,R/BK/1,1954,cropped sections,11-May-54,11/05/1954,,,diary record,1,second dressing of nitrate of soda applied to plot 16,second dressing of nitrate of soda applied to plot 16,,,,,
714,27,R/BK/1,1954,cropped sections,30-Aug-54,30/08/1954,,,diary record,1,Harvested,Harvested,,,,,
715,28,R/BK/1,1954,cropped sections,,,,,variety,1,Squareheads Master 13/4,Squareheads Master 13/4,,,,,
716,29,R/BK/1,1954,fallow section,16-Sep-53,16/09/1953,,,diary record,1,ploughed,Ploughed,,,,,
717,30,R/BK/1,1954,fallow section,11-Dec-53,11/12/1953,,,diary record,1,ploughed,Ploughed,,,,,
718,31,R/BK/1,1954,fallow section,17-Jun-54,17/06/1954,,,diary record,1,ploughed,Ploughed,,,,,
