source_id,Experiment,harvest_year,plots,start_date,end_date,type,record,
1,R/BK/1,1952,crop sections,07-Sep-51,,diary record,"dung applied, ploughed all plots",
2,R/BK/1,1952,crop sections,22-Oct-51,,diary record,autumn fertilizers applied,
3,R/BK/1,1952,crop sections,05-Nov-51,,diary record,seed drilled at 3.25 bushels per acre,
4,R/BK/1,1952,crop sections,21-Apr-52,,diary record,spring fertilizers applied,
5,R/BK/1,1952,crop sections,13-May-52,,diary record,second dressing of nitrate of soda applied to plot 16,
6,R/BK/1,1952,crop sections,22-Aug-52,,diary record,Harvested,
7,R/BK/1,1952,crop sections,,,variety,Squareheads Master 13/4,
8,R/BK/1,1952,fallow section,06-Sep-51,,diary record,ploughed,
9,R/BK/1,1952,fallow section,22-Apr-52,,diary record,ploughed,
10,R/BK/1,1952,fallow section,26-Jun-52,,diary record,ploughed,
11,R/BK/1,1952,fallow section,27-Aug-52,,diary record,ploughed,
12,R/BK/1,1953,cropped sections,03-Sep-52,,diary record,dung applied and all plots ploughed,
13,R/BK/1,1953,cropped sections,11-Nov-52,,diary record,autumn fertilizers applied,
14,R/BK/1,1953,cropped sections,12-Nov-52,,diary record,seed drilled at 3 bushels per acre,
15,R/BK/1,1953,cropped sections,23-Apr-53,,diary record,spring fertilizers applied,
16,R/BK/1,1953,cropped sections,13-May-53,,diary record,second dressing of nitrate of soda applied to plot 16,
17,R/BK/1,1953,cropped sections,25-Aug-53,,diary record,Harvested,
18,R/BK/1,1953,cropped sections,,,variety,Squareheads Master 13/4,
19,R/BK/1,1953,fallow section,03-Sep-52,,diary record,ploughed,
20,R/BK/1,1953,fallow section,22-Mar-53,,diary record,ploughed,
21,R/BK/1,1953,fallow section,10-Jun-53,,diary record,ploughed,
22,R/BK/1,1954,cropped sections,16-Sep-53,,diary record,"dung applied, ploughed all plots",
23,R/BK/1,1954,cropped sections,21-Oct-53,,diary record,autumn fertilizers applied,
24,R/BK/1,1954,cropped sections,23-Oct-53,,diary record,seed drilled at 3 bushels per acre,
25,R/BK/1,1954,cropped sections,22-Apr-54,,diary record,spring fertilizers applied,
26,R/BK/1,1954,cropped sections,11-May-54,,diary record,second dressing of nitrate of soda applied to plot 16,
27,R/BK/1,1954,cropped sections,30-Aug-54,,diary record,Harvested,
28,R/BK/1,1954,cropped sections,,,variety,Squareheads Master 13/4,
