source_id,experiment,harvest_year,plots,start_date,end_date,record_type,record_orig,flag,record,rate,unit,water_volume,water_volume_unit,prefix
1,R/CS/326,1987,great knott iii,27-Sep-86,,diary record,"paraquat applied, paraquat at 0.60 kg ion in 200 1",1,Paraquat,0.60,kg ion/ha,220,l/ha,
2,R/CS/326,1987,great knott iii,29-Sep-86,,diary record,rolled,1,Rolled,,,,,
3,R/CS/326,1987,great knott iii,01-Oct-86,,diary record,disced,1,Disced,,,,,
4,R/CS/326,1987,great knott iii,06-Oct-86,,diary record,rotary harrowed seed sown and harrowed,1,Rotary harrowed,,,,,
4,R/CS/326,1987,great knott iii,06-Oct-86,,diary record,rotary harrowed seed sown and harrowed,1,Seed sown,,,,,
4,R/CS/326,1987,great knott iii,06-Oct-86,,diary record,rotary harrowed seed sown and harrowed,1,Harrowed,,,,,
5,R/CS/326,1987,great knott iii,19-Mar-87,,diary record,"N applied, 'Nitram' at 130 kg",1,Nitram,130,kgN/ha,,,
6,R/CS/326,1987,great knott iii,18-Apr-87,,diary record,"N applied, 'Nitram' at 590 kg",1,Nitram,590,kgN/ha,,,
7,R/CS/326,1987,great knott iii,31-Mar-87,,diary record,"Isoproturon applied, Isoproturon at 2.5 kg in 200 1",1,Isoproturon,2.5,kg/ha,200,l/ha,
8,R/CS/326,1987,great knott iii,18-Apr-87,,diary record,"Clopyralid, bromoxynil and mecoprop applied, Clopyratid at 0.05 kg, bromoxynil at 0.24 kg with mecoprop at 1.8 kg in 200 l",1,Clopyralid,0.05,kg/ha,200,l/ha,
8,R/CS/326,1987,great knott iii,18-Apr-87,,diary record,"Clopyralid, bromoxynil and mecoprop applied, Clopyratid at 0.05 kg, bromoxynil at 0.24 kg with mecoprop at 1.8 kg in 200 l",1,Bromoxynil,0.24,kg/ha,200,l/ha,
8,R/CS/326,1987,great knott iii,18-Apr-87,,diary record,"Clopyralid, bromoxynil and mecoprop applied, Clopyratid at 0.05 kg, bromoxynil at 0.24 kg with mecoprop at 1.8 kg in 200 l",1,Mecoprop,1.8,kg/ha,200,l/ha,
9,R/CS/326,1987,great knott iii,28-May-87,,diary record,"propiconazole applied, propiconazole at 0.12 kg in 200 1",1,Propiconazole,0.12,kg/ha,200,l/ha,
10,R/CS/326,1987,great knott iii,30-Jun-87,,diary record,"propiconazole, carbendazim and maneb applied, propiconazole at 0.12 kg with carbendazim at 0.25 kg and maneb at 1.6 kg in 200 1",1,Propiconazole,0.12,kg/ha,200,l/ha,
10,R/CS/326,1987,great knott iii,30-Jun-87,,diary record,"propiconazole, carbendazim and maneb applied, propiconazole at 0.12 kg with carbendazim at 0.25 kg and maneb at 1.6 kg in 200 1",1,Carbendazim,0.25,kg/ha,200,l/ha,
10,R/CS/326,1987,great knott iii,30-Jun-87,,diary record,"propiconazole, carbendazim and maneb applied, propiconazole at 0.12 kg with carbendazim at 0.25 kg and maneb at 1.6 kg in 200 1",1,Maneb,1.6,kg/ha,200,l/ha,
11,R/CS/326,1987,great knott iii,19-Aug-87,,diary record,combine harvested,1,Combine harvested,,,,,
12,W/CS/326,1987,far field i,08-Oct-86,,diary record,rotary cultivated with crumbler attached seed sown,1,Rotary cultivated with crumbler attached,,,,,
12,W/CS/326,1987,far field i,08-Oct-86,,diary record,rotary cultivated with crumbler attached seed sown,1,Seed sown,,,,,
13,W/CS/326,1987,far field i,09-Oct-86,,diary record,rolled,1,Rolled,,,,,
14,W/CS/326,1987,far field i,10-Oct-86,,diary record,Tri-allate (as 'Avadex BW' at 4.2 1) in 250 1 applied; harrowed,1,Tri-allate (as 'Avadex BW'),4.2,l/ha,250,l/ha,
14,W/CS/326,1987,far field i,10-Oct-86,,diary record,Tri-allate (as 'Avadex BW' at 4.2 1) in 250 1 applied; harrowed,1,Harrowed,,,,,
15,W/CS/326,1987,far field i,31-Mar-87,,diary record,"N applied, 'Nitram' at 120 kg",1,Nitram,120,kgN/ha,,,
16,W/CS/326,1987,far field i,16-Apr-87,,diary record,"N applied, 'Nitram' at 600 kg",1,Nitram,600,kgN/ha,,,
17,W/CS/326,1987,far field i,17-Apr-87,,diary record,"Isoproturon at 2.0 kg with clopyralid at 0.07 kg, bromoxynil at 0.34 kg and mecoprop at 2.5 kg in 240 l applied",1,Isoproturon,2.0,kg/ha,240,l/ha,
17,W/CS/326,1987,far field i,17-Apr-87,,diary record,"Isoproturon at 2.0 kg with clopyralid at 0.07 kg, bromoxynil at 0.34 kg and mecoprop at 2.5 kg in 240 l applied",1,Clopyralid,0.07,kg/ha,240,l/ha,
17,W/CS/326,1987,far field i,17-Apr-87,,diary record,"Isoproturon at 2.0 kg with clopyralid at 0.07 kg, bromoxynil at 0.34 kg and mecoprop at 2.5 kg in 240 l applied",1,Bromoxynil,0.34,kg/ha,240,l/ha,
17,W/CS/326,1987,far field i,17-Apr-87,,diary record,"Isoproturon at 2.0 kg with clopyralid at 0.07 kg, bromoxynil at 0.34 kg and mecoprop at 2.5 kg in 240 l applied",1,Mecoprop,2.5,kg/ha,240,l/ha,
