ï»¿source_id,experiment,harvest_year,plot,start year,orig_record,record,flag,amount,unit,water_volume,water_unit,suffix
7462,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,02-Sep-91,Barclay Gallup at 4.0 1 in 200 1 in error.,Barclay Gallup,1,4.0,l/ha,200,l/ha,in error
7463,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,25-Sep-91,Direct drilled Climax timothy at 15 kg and meadow fescue 15 kg.,Direct drilled Climax timothy at 15-kg and meadow fescue 15-kg,1,,-,,,
7464,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,06-Mar-92,PK as (0:16:36) at 470 kg,PK as (0:16:36),1,,,470,kg/ha,
7465,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,06-Mar-92,LLN4 only: NK as (25:0:16) at 300 kg.,LLN4 only: NK as (25:0:16),1,,,300,kg/ha,
7466,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,06-Mar-92,LLC4 only: muriate of potash at 90 kg.,LLC4 only: muriate of potash,1,,,90,kg/ha,
7467,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,12-Jun-92,LLC4 only: topped.,LLC4 only: topped,1,,,,,
7468,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,18-Jun-92,LLN4 only: first cut.,LLN4 only: first cut,1,,,,,
7469,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,22-Jun-92,LLN4 only: Produce removed.,LLN4 only: Produce removed,1,,,,,
7470,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,23-Jun-92,LLN4 only: NK as (25:0:16) at 300 kg.,LLN4 only: NK as (25:0:16),1,,,300,kg/ha,
7471,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,29-Jun-92,"LLC4 only: Direct drilled Beret timothy at 13.2 kg, meadow fescue at 13.2 kg and Huia white clover at 3.6 kg.","LLC4 only: Direct drilled Beret timothy at-13.2 kg, meadow fescue at-13.2 kg and Huia white clover at-3.6 kg",1,,,,,
7472,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,15-Sep-92,LLN4 only: second cut. LLC4 only: first cut.,LLN4 only: second cut. LLC4 only: first cut,1,,,,,
7473,W/RN/3,1992,grass ley and clover grass ley four year rotation LLN4 and LLC4:,16-Sep-92,Produce removed.,Produce removed,1,,,,,
7474,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,04-Sep-91,"ploughed, rolled.",Ploughed,1,,,,,
7474,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,04-Sep-91,"ploughed, rolled.",Rolled,1,,,,,
7475,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Sep-91,LN1 only: 34.5% N at 220 kg.,LN1 only: 34.5% N,1,,,220,kg/ha,
7476,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Sep-91,LN1 only: rotary harrowed,LN1 only: rotary harrowed,1,,,,,
7477,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Sep-91,LN1 only: drilled Climax timothy at 15 kg and meadow fescue at 15 kg.,LN1 only: drilled Climax timothy at 15-kg and meadow fescue at 15-kg,1,,-,,,
7478,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Sep-91,LN1 only: rolled.,LN1 only: rolled,1,,,,,
7479,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Sep-91,LC1 only: 34.5% N at 145 kg.,LC1 only: 34.5% N,1,,,145,kg/ha,
7480,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Sep-91,LC1 only: rotary harrowed,LC1 only: rotary harrowed,1,,,,,
7481,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Sep-91,"LC1 only: drilled Climax timothy at 14.4 kg, meadow fescue at 12.0 kg and Huia white clover at 3.6 kg.","LC1 only: drilled Climax timothy at-14.4 kg, meadow fescue at-12.0 kg and Huia white clover at-3.6 kg",1,,,,,
7482,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Sep-91,LC1 only: rolled.,LC1 only: rolled,1,,,,,
7483,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Mar-92,PK as (0:16:36) at 470 kg.,PK as (0:16:36),1,,,470,kg/ha,
7484,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Mar-92,LN1 and LLN1 only: NK as (25:0:16) at 300 kg.,LN1 and LLN1 only: NK as (25:0:16),1,,,300,kg/ha,
7485,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,06-Mar-92,LC1 and LLC1 only: muriate of potash at 90 kg.,LC1 and LLC1 only: muriate of potash,1,,,90,kg/ha,
7486,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,18-Jun-92,first cut.,First cut,1,,,,,
7487,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,22-Jun-92,Produce removed.,Produce removed,1,,,,,
