source_id	experiment	harvest_year	plot	start year	orig_record	record	flag	amount	unit	water_volume	water_unit
7462	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	02-Sep-91	Barclay Gallup at 4.0 1 in 200 1 in error.	Barclay Gallup at 4.0 1 in 200 1 in error.					
7463	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	25-Sep-91	Direct drilled Climax timothy at 15 kg and meadow fescue 15 kg.	Direct drilled Climax timothy at 15 kg and meadow fescue 15 kg.					
7464	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	06-Mar-92	PK as (0:16:36) at 470 kg	PK as (0:16:36) at 470 kg					
7465	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	06-Mar-92	LLN4 only: NK as (25:0:16) at 300 kg.	LLN4 only: NK as (25:0:16) at 300 kg.					
7466	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	06-Mar-92	LLC4 only: muriate of potash at 90 kg.	LLC4 only: muriate of potash at 90 kg.					
7467	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	12-Jun-92	LLC4 only: topped.	LLC4 only: topped.					
7468	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	18-Jun-92	LLN4 only: first cut.	LLN4 only: first cut.					
7469	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	22-Jun-92	LLN4 only: Produce removed.	LLN4 only: Produce removed.					
7470	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	23-Jun-92	LLN4 only: NK as (25:0:16) at 300 kg.	LLN4 only: NK as (25:0:16) at 300 kg.					
7471	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	29-Jun-92	"LLC4 only: Direct drilled Beret timothy at 13.2 kg, meadow fescue at 13.2 kg and Huia white clover at 3.6 kg."	"LLC4 only: Direct drilled Beret timothy at 13.2 kg, meadow fescue at 13.2 kg and Huia white clover at 3.6 kg."					
7472	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	15-Sep-92	LLN4 only: second cut. LLC4 only: first cut.	LLN4 only: second cut. LLC4 only: first cut.					
7473	W/RN/3	1992	grass ley and clover grass ley four year rotation LLN4 and LLC4:	16-Sep-92	Produce removed.	Produce removed.					
7474	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	04-Sep-91	"ploughed, rolled."	"ploughed, rolled."					
7475	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Sep-91	LN1 only: 34.5% N at 220 kg.	LN1 only: 34.5% N at 220 kg.					
7476	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Sep-91	LN1 only: rotary harrowed	LN1 only: rotary harrowed					
7477	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Sep-91	LN1 only: drilled Climax timothy at 15 kg and meadow fescue at 15 kg.	LN1 only: drilled Climax timothy at 15 kg and meadow fescue at 15 kg.					
7478	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Sep-91	LN1 only: rolled.	LN1 only: rolled.					
7479	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Sep-91	LC1 only: 34.5% N at 145 kg.	LC1 only: 34.5% N at 145 kg.					
7480	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Sep-91	LC1 only: rotary harrowed	LC1 only: rotary harrowed					
7481	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Sep-91	"LC1 only: drilled Climax timothy at 14.4 kg, meadow fescue at 12.0 kg and Huia white clover at 3.6 kg."	"LC1 only: drilled Climax timothy at 14.4 kg, meadow fescue at 12.0 kg and Huia white clover at 3.6 kg."					
7482	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Sep-91	LC1 only: rolled.	LC1 only: rolled.					
7483	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Mar-92	PK as (0:16:36) at 470 kg.	PK as (0:16:36) at 470 kg.					
7484	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Mar-92	LN1 and LLN1 only: NK as (25:0:16) at 300 kg.	LN1 and LLN1 only: NK as (25:0:16) at 300 kg.					
7485	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	06-Mar-92	LC1 and LLC1 only: muriate of potash at 90 kg.	LC1 and LLC1 only: muriate of potash at 90 kg.					
7486	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	18-Jun-92	first cut.	first cut.					
7487	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	22-Jun-92	Produce removed.	Produce removed.					
7488	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	23-Jun-92	LN1 and LLN1 only: NK as (25:0:16) at 300 kg. LC1 and LLC1 only: muriate of potash at 90 kg.	LN1 and LLN1 only: NK as (25:0:16) at 300 kg. LC1 and LLC1 only: muriate of potash at 90 kg.					
7489	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	15-Sep-92	second cut.	second cut.					
7490	W/RN/3	1992	grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:	16-Sep-92	Produce removed.	Produce removed.					
7491	W/RN/3	1992	grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:	11-Oct-92	LLN5 only: Dolomite at 5.0 t.	LLN5 only: Dolomite at 5.0 t.					
7492	W/RN/3	1992	grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:	06-Mar-92	PK as (0:16:36) at 470 kg. NK ao (25:0:16) at 300 kg.	PK as (0:16:36) at 470 kg. NK ao (25:0:16) at 300 kg.					
7493	W/RN/3	1992	grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:	18-Jun-92	first cut.	first cut.					
7494	W/RN/3	1992	grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:	22-Jun-92	Produce removed.	Produce removed.					
7495	W/RN/3	1992	grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:	23-Jun-92	NK as (25:0:16) at 300 kg.	NK as (25:0:16) at 300 kg.					
7496	W/RN/3	1992	grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:	15-Sep-92	second cut.	second cut.					
7497	W/RN/3	1992	grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:	17-Sep-92	Produce removed.	Produce removed.					
7498	W/RN/3	1992	clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:	11-Oct-91	LLC5 only: Dolomite at 5.0 t.	LLC5 only: Dolomite at 5.0 t.					
7499	W/RN/3	1992	clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:	06-Mar-92	PK as (0:16:36) at 470 kg. muriate of potash at 90 kg.	PK as (0:16:36) at 470 kg. muriate of potash at 90 kg.					
7500	W/RN/3	1992	clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:	18-Jun-92	first cut.	first cut.					
7501	W/RN/3	1992	clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:	22-Jun-92	Produce removed.	Produce removed.					
7502	W/RN/3	1992	clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:	23-Jun-92	muriate of potash at 90 kg.	muriate of potash at 90 kg.					
7503	W/RN/3	1992	clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:	15-Sep-92	second cut.	second cut.					
7504	W/RN/3	1992	clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:	16-Sep-92	Produce removed.	Produce removed.					
7505	W/RN/3	1992	spring barley first and second treatment crop rotation AB.	08-Oct-91	ploughed.	ploughed.					
7506	W/RN/3	1992	spring barley first and second treatment crop rotation AB.	06-Mar-92	NPK as (20:10:10) at 400 kg.	NPK as (20:10:10) at 400 kg.					
7507	W/RN/3	1992	spring barley first and second treatment crop rotation AB.	13-Mar-92	"rotary cultivated with crumbler attached. Alexis, dressed Baytan, drilled at 157 kg."	"rotary cultivated with crumbler attached. Alexis, dressed Baytan, drilled at 157 kg."					
7508	W/RN/3	1992	spring barley first and second treatment crop rotation AB.	20-May-92	Deloxil at l.0 l. Duplosan new System CMPP at 2.0 1 and Calixin at 0.50 1 in 200 l.	Deloxil at l.0 l. Duplosan new System CMPP at 2.0 1 and Calixin at 0.50 1 in 200 l.					
7509	W/RN/3	1992	spring barley first and second treatment crop rotation AB.	06-Aug-92	combine harvested.	combine harvested.					
7510	W/RN/3	1992	w beans third treatment crop rotation AF and AB:	30-Oct-91	"Punch broadcast at 163 kg, ploughed."	"Punch broadcast at 163 kg, ploughed."					
7511	W/RN/3	1992	w beans third treatment crop rotation AF and AB:	19-Peb-92	Carbatamex at 3.0 kg in 200 l.	Carbatamex at 3.0 kg in 200 l.					
7512	W/RN/3	1992	w beans third treatment crop rotation AF and AB:	14-May-92	Chiltern ley at 2.0 1 and late at l.0.kg with Vassgro Spreader at 0.03 1 in 200 l.	Chiltern ley at 2.0 1 and late at l.0.kg with Vassgro Spreader at 0.03 1 in 200 l.					
7513	W/RN/3	1992	w beans third treatment crop rotation AF and AB:	15-May-92	Decis at 0.30 1 in 200 l.	Decis at 0.30 1 in 200 l.					
7514	W/RN/3	1992	w beans third treatment crop rotation AF and AB:	04-Sep-92	combine harvested.	combine harvested.					
7515	W/RN/3	1992	fallow first and second treatment year rotation AF:	08-Oct-92	ploughed.	ploughed.					
7516	W/RN/3	1992	fallow first and second treatment year rotation AF:	05-May-92	rotary cultivated.	rotary cultivated.					
7517	W/RN/3	1992	Winter wheat first test crop W:	02-Oct-91	ploughed and rolled.	ploughed and rolled.					
7518	W/RN/3	1992	Winter wheat first test crop W:	03-Oct-91	PK as (0:24:24) at 260 kg.	PK as (0:24:24) at 260 kg.					
7519	W/RN/3	1992	Winter wheat first test crop W:	03-Oct-91	Yaltox at 150 kg.	Yaltox at 150 kg.					
7520	W/RN/3	1992	Winter wheat first test crop W:	03-Oct-91	rotary cultivated	rotary cultivated					
7521	W/RN/3	1992	Winter wheat first test crop W:	03-Oct-91	drilled Mercia at 140 kg.	drilled Mercia at 140 kg.					
7522	W/RN/3	1992	Winter wheat first test crop W:	30-Oct-91	Stomp 400 at 2.5 l. Arelon WDG at 0.50 kg and Decis at 0.20 1 in 200 l.	Stomp 400 at 2.5 l. Arelon WDG at 0.50 kg and Decis at 0.20 1 in 200 l.					
7523	W/RN/3	1992	Winter wheat first test crop W:	13-Apr-92	LN7. 140 and 210: applied as 27% N.	LN7. 140 and 210: applied as 27% N.					
7524	W/RN/3	1992	Winter wheat first test crop W:	03-May-92	during at l.0 1 in 300 l.	during at l.0 1 in 300 l.					
7525	W/RN/3	1992	Winter wheat first test crop W:	15-May-92	during at l.0 1 and ally at 0.03 kg in 300 l.	during at l.0 1 and ally at 0.03 kg in 300 l.					
7526	W/RN/3	1992	Winter wheat first test crop W:	09-Jun-92	Impact Excel at 2.0 1 in 200 l.	Impact Excel at 2.0 1 in 200 l.					
7527	W/RN/3	1992	Winter wheat first test crop W:	29-Jul-92	Barclay Gallup at 2.0 1 and Team at 0.30 1 in 300 l.	Barclay Gallup at 2.0 1 and Team at 0.30 1 in 300 l.					
7528	W/RN/3	1992	Winter wheat first test crop W:	29-Aug-92	combine harvested.	combine harvested.					
7529	W/RN/3	1992	"Winter rye, second test crop R:"	08-Oct-91	ploughed.	ploughed.					
7530	W/RN/3	1992	"Winter rye, second test crop R:"	11-Oct-91	Dolomite at 5.0 t.	Dolomite at 5.0 t.					
7531	W/RN/3	1992	"Winter rye, second test crop R:"	11-Oct-91	PK as (0:24:24) at 260 kg.	PK as (0:24:24) at 260 kg.					
7532	W/RN/3	1992	"Winter rye, second test crop R:"	11-Oct-91	Yaltox at 150 kg.	Yaltox at 150 kg.					
7533	W/RN/3	1992	"Winter rye, second test crop R:"	11-Oct-91	rotary cultivated	rotary cultivated					
7534	W/RN/3	1992	"Winter rye, second test crop R:"	11-Oct-91	Manod drilled at 110 kg.	Manod drilled at 110 kg.					
7535	W/RN/3	1992	"Winter rye, second test crop R:"	16-Jan-92	Stomp 400 at 3.3 1 in 200 l.	Stomp 400 at 3.3 1 in 200 l.					
7536	W/RN/3	1992	"Winter rye, second test crop R:"	16-Apr-92	B30. 60 and 90: applied as 27% N.	B30. 60 and 90: applied as 27% N.					
7537	W/RN/3	1992	"Winter rye, second test crop R:"	31-Jul-92	combine harvested.	combine harvested.					
7538	W/RN/3	1993	"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:"	14-Sep-92	ploughed.	ploughed.					
7539	W/RN/3	1993	"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:"	16-Sep-92	"LN1 and LLN1 only: 34.5% N at 220 kg. rotary harrowed with crumbler attached, drilled Rossa meadow fescue at 15 kg and Beret RVP timothy at 15 kg."	"LN1 and LLN1 only: 34.5% N at 220 kg. rotary harrowed with crumbler attached, drilled Rossa meadow fescue at 15 kg and Beret RVP timothy at 15 kg."					
