Experiment,Year,Treatment,start date,end date,operation,,,,
R/CS/311,1985,STRAW BURNT,21-Aug-1984,,Burnt,,,,
R/CS/311,1985,STRAW BURNT,22-Aug-1984,,Ash disced in,,,,
R/CS/311,1985,STRAW BALED,15-Aug-1984,,Baled and removed,,,,
R/CS/311,1985,STRAW CHOPPED,17-Aug-1984,,Chopped,,,,
R/CS/311,1985,CULTTINE EARLY,24-Aug-1984,,heavy springtine cultivated twice ,,,,
R/CS/311,1985,CULTTINE EARLY,27-Aug-1984,,disced twice,,,,
R/CS/311,1985,CULTTINE LATER,2-Oct-1984,,heavy springtine cultivated twice,,,,
R/CS/311,1985,CULTTINE LATER,2-Oct-1984,,disced twice,,,,
R/CS/311,1985,CULTTINE EARLY AUT N,24-Aug-1984,,26% N as 50 kg N ,,,,
R/CS/311,1985,CULTTINE LATER AUT N,01-Oct-1984,,26% N as 50 kg N,,,,
R/CS/311,1985,FUNGCIDE FULL,17-Apr-1985,,Prochloraz at 0.40 kg and Carbendazim at 0.15 kg in 500 l,,,,
R/CS/311,1985,FUNGCIDE FULL,04-Jun-1985,,Propiconazole at 0.25 kg in 500 l,,,,
R/CS/311,1985,FUNGCIDE FULL,02-Jul-1985,,Propiconazole at 0.12 kg with Carbendazim and maneb (as Septal at 2.5 kg) in 200 l,,,,
R/CS/311,1985,INSECTCDE PIRIMICA,08-Jul-1985,,Pirimicarb at 0.14 kg in 500 l,,,,
R/CS/311,1985,All plots,28-Aug-1984,,Paraquat applied,,,,
R/CS/311,1985,All plots,11-Oct-1984,,rotary harrowed,,,,
R/CS/311,1985,All plots,12-Oct-1984,,seed sown,,,,
R/CS/311,1985,All plots,13-Oct-1984,,springtine cultivated,,,,
R/CS/311,1985,All plots,28-Feb-1985,,First N applied,,,,
R/CS/311,1985,All plots,10-Apr-1985,,Remaining weedkillers applied,,,,
R/CS/311,1985,All plots,12-Apr-1985,,second N applied,,,,
R/CS/311,1985,All plots,30-Aug-1985,,combine harvested,,,,
R/CS/311,1985,Previous crop,,,"Potaoes 1983, Winter wheat 1984",,,,
R/CS/311,1985,Note,,,Growth was measured and incidence of pests and diseases assessed at intervals during the season. Components of yield were measured.,,,,
R/CS/311,1986,STRAW BURNT,10-Sep-1985,,Burnt,,,,
R/CS/311,1986,STRAW BALED,02-Sep-1985,,Baled and removed,,,,
R/CS/311,1986,STRAW CHOPPED,06-Sep-1985,,chopped,,,,
R/CS/311,1986,CULTTIME EARLY,17-Sep-1985,,cultivated by rotary grubber,,,,
R/CS/311,1986,CULTTIME LATER,09-Oct-1985,,cultivated by rotary grubber,,,,
R/CS/311,1986,CULTTIME EARLY AUT N,16-Sep-1985,,50 kg N as Nitro-chalk,,,,
R/CS/311,1986,CULTTIME LATER AUT N,09-Oct-1985,,50 kg N as Nitro-chalk,,,,
R/CS/311,1986,FUNGCIDE FULL,17-Dec-1985,,"Triadimefon at 0.125 kg, carbendazim at 0.25 kg in 500 l",,,,
R/CS/311,1986,FUNGCIDE FULL,01-May-1986,,"Prochloraz at 0.40 kg, carbendazim at 0.15 kg in 200 l",,,,
R/CS/311,1986,FUNGCIDE FULL,13-Jun-1986,,Propiconazole at 0.12 kg in 500 l,,,,
