year,experiment,start date,end date,operation,plot,type,amount,rate,water,water rate
1978,R/CS/216,17/05/1978,,"Dicamba, mecoprop, MCPA as Banlene Plus",,chemical pest control process,4.9,l/ha,220,l/ha
1978,R/CS/216,17/05/1978,,Tridemorph,,chemical pest control process,0.53,kg/ha,220,l/ha
1978,W/CS/216,12/05/1978,,"mecoprop, bromoxynil, ioxynil as Brittox",,chemical pest control process,2.5,kg/ha,380,l/ha
1978,W/CS/216,12/05/1978,,Tridemorph,,chemical pest control process,0.53,kg/ha,280,l/ha
1979,R/CS/216,2l/10/1978,,glyphosate,,chemical pest control process,1.5,kg/ha,220,l/ha
1979,R/CS/216,13/05/1979,,"Trietazine, simazine as Remtal SC",,chemical pest control process,2.8,kg/ha,220,l/ha
1979,R/CS/216,22/06/1979,,primicarb,,chemical pest control process,0.14,kg/ha,220,l/ha
1979,W/CS/216,08/09/1978,,Diquat,,chemical pest control process,0.79,kg/ha,280,l/ha
1979,W/CS/216,01/05/1979,,"Trietazine, simazine as Remtal SC",,chemical pest control process,2.4,kg/ha,280,l/ha
1979,W/CS/216,22/06/1979,,primicarb,,chemical pest control process,0.14,kg/ha,250,l/ha
1980,R/CS/216,07/05/1980,,"mecoprop, bromoxynil, ioxynil as Brittox",,chemical pest control process,3.5,l/ha,250,l/ha
1980,R/CS/216,07/05/1980,,Tridemorph,,chemical pest control process,0.53,kg/ha,250,l/ha
1980,R/CS/216,03/06/1980,,triadimefon,,chemical pest control process,0.12,kg/ha,250,l/ha
1980,W/CS/216,28/09/1979,,glyphosate,,chemical pest control process,1.7,kg/ha,250,l/ha
1980,W/CS/216,07/05/1980,,"Dicamba, mecoprop, MCPA as Banlene Plus",,chemical pest control process,4.9,l/ha,280,l/ha
1980,W/CS/216,13/05/1980,,Tridemorph,,chemical pest control process,0.53,kg/ha,280,l/ha
1980,W/CS/216,05/06/1980,,Ethirimol as Milgo E,,chemical pest control process,1.3,l/ha,280,l/ha
1981,R/CS/216,25/09/1980,,glyphosate,,chemical pest control process,1.5,l/ha,,
1981,R/CS/216,29/05/1981,,"Dicamba, mecoprop, MCPA as Banlene Plus",,chemical pest control process,5,l/ha,250,l/ha
1981,R/CS/216,29/05/1981,,Tridemorph,,chemical pest control process,0.53,kg/ha,250,l/ha
1981,W/CS/216,26/09/1980,,glyphosate,,chemical pest control process,1,l/ha,280,l/ha
1981,W/CS/216,01/05/1981,,"mecoprop, bromoxynil, ioxynil as Brittox",,chemical pest control process,3.5,l/ha,280,l/ha
1981,W/CS/216,01/05/1981,,Ethirimol as Milgo E,,chemical pest control process,0.7,l/ha,280,l/ha
1982,R/CS/216,03/11/1981,,glyphosate,,chemical pest control process,1.4,kg/ha,250,l/ha
1982,R/CS/216,18/05/1982,,"Dicamba, mecoprop, MCPA as Poly-Farmon",,chemical pest control process,5,l/ha,250,l/ha
1982,R/CS/216,18/05/1982,,Tridemorph,,chemical pest control process,0.53,kg/ha,,
1982,W/CS/216,11/05/1982,,"Dicamba, mecoprop, MCPA as Poly-Farmon",,chemical pest control process,4.9,l/ha,280,l/ha
1983,R/CS/216,25/05/1983,,"Dicamba, mecoprop, MCPA as Herrisol",,chemical pest control process,5,l/ha,250,l/ha
1983,W/CS/216,26/05/1983,,"Dicamba, mecoprop, MCPA as Herrisol",,chemical pest control process,5,l/ha,250,l/ha
1984,R/CS/216,26/08/1983,,paraquat,,chemical pest control process,0.5,kg/ha,250,l/ha
1984,R/CS/216,23/05/1984,,"3,6-dichloropicolinic acid",,chemical pest control process,0.07,kg/ha,250,l/ha
1984,R/CS/216,23/05/1984,,bromoxynil octanoate,,chemical pest control process,0.34,kg/ha,250,l/ha
1984,R/CS/216,23/05/1984,,mecoprop,,chemical pest control process,2.5,kg/ha,250,l/ha
1984,R/CS/216,23/05/1984,,Tridemorph,,chemical pest control process,0.52,kg/ha,,
1984,W/CS/216,29/09/1983,,glyphosate,,chemical pest control process,1.4,kg/ha,250,l/ha
1984,W/CS/216,15/05/1984,,"mecoprop, bromoxynil, ioxynil as Brittox",,chemical pest control process,3.5,l/ha,250,l/ha
1984,W/CS/216,15/05/1984,,Ethirimol,,chemical pest control process,0.35,kg/ha,250,l/ha
1985,R/CS/216,10/05/1985,,Clopyralid,,chemical pest control process,0.05,kg/ha,200,l/ha
1985,R/CS/216,10/05/1985,,bromoxynil octanoate,,chemical pest control process,0.24,kg/ha,200,l/ha
1985,R/CS/216,10/05/1985,,mecoprop,,chemical pest control process,1.8,kg/ha,200,l/ha
1985,R/CS/216,10/05/1985,,Tridemorph,,chemical pest control process,0.52,kg/ha,200,l/ha
1985,W/CS/216,17/05/1985,,Clopyralid,,chemical pest control process,0.07,kg/ha,250,l/ha
1985,W/CS/216,17/05/1985,,bromoxynil octanoate,,chemical pest control process,0.34,kg/ha,250,l/ha
1985,W/CS/216,17/05/1985,,mecoprop,,chemical pest control process,2.1,kg/ha,250,l/ha
1985,W/CS/216,17/05/1985,,Tridemorph,,chemical pest control process,0.52,kg/ha,250,l/ha
