experiment	harvest_year	treatment	start_date	end_date	type	operations
W/RN/3	1968	ley first year	18-Sep-67		diary record	ploughed
W/RN/3	1968	ley first year	29-Mar-68		diary record	NPK applied
W/RN/3	1968	ley first year	03-Apr-68		diary record	Mg applied
W/RN/3	1968	ley first year	11-Apr-68		diary record	seed sown at 40 1b;
W/RN/3	1968	ley first year	09-Jul-68		diary record	NK applied
W/RN/3	1968	ley first year	17-Jun-68	15-Oct-68	diary record	grazed 7 circuits
W/RN/3	1968	ley second year	26-Mar-68		diary record	NK applied
W/RN/3	1968	ley second year	26-Jun-68		diary record	NK applied
W/RN/3	1968	ley second year	28-Apr-68	15-Oct-68	diary record	grazed 9 circuits
W/RN/3	1968	ley third year	26-Mar-68		diary record	NK applied
W/RN/3	1968	ley third year	17-Jun-68		diary record	NK applied
W/RN/3	1968	ley third year	19-Apr-68	23-Oct-68	diary record	grazed 10 circuits
W/RN/3	1968	sainfoin first year	18-Sep-67		diary record	ploughed
W/RN/3	1968	sainfoin first year	28-Mar-68		diary record	N and K applied
W/RN/3	1968	sainfoin first year	29-Mar-68		diary record	P applied
W/RN/3	1968	sainfoin first year	03-Apr-68		diary record	Mg applied
W/RN/3	1968	sainfoin first year	11-Apr-68		diary record	seed drilled at 70 lb
W/RN/3	1968	sainfoin first year	06-Aug-68		diary record	cut one
W/RN/3	1968	sainfoin second year	26-Mar-68		diary record	N and K applied
W/RN/3	1968	sainfoin second year	06-Jun-68		diary record	first cut
W/RN/3	1968	sainfoin second year	10-Jun-68		diary record	sprayed with paraquat at 0.38 1b ion in 30 gals
W/RN/3	1968	sainfoin second year	12-Aug-68		diary record	second cut
W/RN/3	1968	sainfoin second year	14-Aug-68		diary record	sprayed with paraquat at 0.38 lb ion in 30 gals
W/RN/3	1968	sainfoin third year	26-Mar-68		diary record	N and K applied
W/RN/3	1968	sainfoin third year	06-Jun-68		diary record	first cut
W/RN/3	1968	sainfoin third year	10-Jun-68		diary record	sprayed with paraquat at 0.38 lb ion in 30 gals
W/RN/3	1968	sainfoin third year	19-Jul-68		diary record	rotary cultivated to kill having failed after first cut
W/RN/3	1968	potatoes arable rotation	18-Sep-67		diary record	ploughed
W/RN/3	1968	potatoes arable rotation	10-Nov-67		diary record	Fumigant applied
W/RN/3	1968	potatoes arable rotation	03-Apr-68		diary record	Mg applied
W/RN/3	1968	potatoes arable rotation	04-Apr-68		diary record	PK applied
W/RN/3	1968	potatoes arable rotation	08-Apr-68		diary record	test nitrogen applied
W/RN/3	1968	potatoes arable rotation	10-Apr-68		diary record	"rotary cultivated, potatoes planted"
W/RN/3	1968	potatoes arable rotation	03-May-68		diary record	sprayed with linuron at 0.5 1b plus paraquat at 0.36 lb in 50 gals
W/RN/3	1968	potatoes arable rotation	01-Jun-68		diary record	grubbed
W/RN/3	1968	potatoes arable rotation	14-Jun-68		diary record	ridged
W/RN/3	1968	potatoes arable rotation	12-Jul-68		diary record	sprayed with mancozeb at l.2 1b plus demeton-s-methyl at 3.5 oz in 38 gals
