Experiment,Year,section,start date,end date,operation,operation_type,flag,intensity,application_method,orig_operation,amount,amount unit,water,water unit,tank mix,plot,crop,variety,dressing,machine
R/WF/3,1966,wheat,16/05/1966,,Winter wheat ioxynil/mecoprop Actril C,chemical pest control process,4,,sprayed,Winter wheat sprayed with ioxynil/mecoprop Actril C at 6 pints in 40 gals,6,pints/acre,40,gallons/acre,,A1,,,,
R/WF/3,1966,wheat,16/06/1966,,spring wheat MCPA,chemical pest control process,4,,sprayed,"spring wheat sprayed with MCPA at 1.5 lb a.e, in 40 gals",1.5,lb/are,40,gallons/acre,,"A3, A4",,,,
R/WF/3,1967,wheat,09/05/1967,,"Ioxynil, Mecoprop as Actril C",chemical pest control process,4,,sprayed,sprayed with ioxynil/mecoprop Actril C at 6 pints in 20 gals,6,pints/acre,20,gallons/acre,,,,,,
R/WF/3,1968,wheat,14/05/1968,,ioxynil,chemical pest control process,4,,sprayed,"sprayed with ioxynil at 9 oz, mecoprop at 27 oz in 20 gals",9,oz/acre,20,gallons/acre,,,,,,
R/WF/3,1968,wheat,14/05/1968,,Mecoprop,chemical pest control process,4,,sprayed,"sprayed with ioxynil at 9 oz, mecoprop at 27 oz in 20 gals",27,oz/acre,20,gallons/acre,,,,,,
R/WF/3,1969,wheat,13/05/1969,,ioxynil,chemical pest control process,4,,sprayed,"sprayed with ioxynil at 9 oz, mecoprop at 27 oz in 20 gals",9,oz/acre,20,gallons/acre,,,,,,
R/WF/3,1969,wheat,13/05/1969,,Mecoprop,chemical pest control process,4,,sprayed,"sprayed with ioxynil at 9 oz, mecoprop at 27 oz in 20 gals",27,oz/acre,20,gallons/acre,,,,,,
R/WF/3,1970,wheat,14/05/1970,,ioxynil,chemical pest control process,4,,sprayed,"sprayed with ioxynil at 7.5 oz, mecoprop at 22.5 oz in 20 gals",7.5,oz/acre,20,gallons/acre,,,,,,
R/WF/3,1970,wheat,14/05/1970,,Mecoprop,chemical pest control process,4,,sprayed,"sprayed with ioxynil at 7.5 oz, mecoprop at 22.5 oz in 20 gals",22.5,oz/acre,20,gallons/acre,,,,,,
R/WF/3,1971,wheat,15/04/1971,,ioxynil,chemical pest control process,4,,sprayed,"sprayed with ioxynil at 0.63 kg, mecoprop at 1.9 kg in 225 1",0.63,kg/ha,225,l/ha,,,,,,
R/WF/3,1971,wheat,15/04/1971,,Mecoprop,chemical pest control process,4,,sprayed,"sprayed with ioxynil at 0.63 kg, mecoprop at 1.9 kg in 225 1",1.9,kg/ha,225,l/ha,,,,,,
R/WF/3,1972,wheat,27/04/1972,,"MCPA, mecoprop and dicamba as Banlene Plus",chemical pest control process,4,,sprayed,"sprayed with MCPA, mecoprop and dicamba as Banlene Plus at 5.6 l in 200 l",5.6,l/ha,200,l/ha,,,,,,
R/WF/3,1973,wheat,26/04/1973,,"Dicamba, Mecoprop, MCPA as Tetralex Plus",chemical pest control process,4,,,"Dicamba, Mecoprop and MCPA as Tetralex Plus at 7.0 l in 220 l",7,l/ha,220,l/ha,,,,,,
R/WF/3,1974,wheat,18/04/1974,,"MCPA, mecoprop and dicamba as Banlene Plus",chemical pest control process,4,,,"MCPA, mecoprop and dicamba as Banlene Plus at 5.6 l in 220 l",5.6,l/ha,220,l/ha,,,,,,
R/WF/3,1975,wheat,12/05/1975, ,"Ioxynil, Mecoprop as Actril C",chemical pest control process,4,,,Ioxynil with Mecoprop as Actril C at 7.0 l in 220 l,7,l/ha,220,l/ha,,,,,,
R/WF/3,1976,wheat,29/04/1976,,"MCPA, mecoprop and dicamba as Banlene Plus",chemical pest control process,4,,,"MCPA, mecoprop and dicamba as Banlene Plus at 5.6 l in 220 l",5.6,l/ha,220,l/ha,,,,,,
R/WF/3,1977,wheat,15/07/1977,,"MCPA, mecoprop and dicamba as Banlene Plus",chemical pest control process,4,,,"MCPA, mecoprop and dicamba as Banlene Plus at 4.9 l in 220 l",4.9,l/ha,220,l/ha,,,,,,
