Experiment,Year,start date,end date,operation,operation_type,section,amount,amount unit,crop,variety,dressing,machine,orig_operation
R/WF/3,1874,30/10/1873,,seed sown,seeding process,wheat,,,winter wheat,Red Rostock,,,seed sown
R/WF/3,1880,29/10/1879,,seed sown,seeding process,wheat,,,winter wheat,Red Rostock,,,seed sown
R/WF/3,1881,26/10/1880,,seed sown,seeding process,wheat,,,winter wheat,Red Rostock,,,seed sown
R/WF/3,1883,07/11/1882,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1884,23/10/1883,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1885,25/10/1884,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1886,25/10/1885,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1887,26/10/1886,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1889,01/11/1888,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1890,05/11/1889,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1891,25/10/1890,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1894,25/10/1893,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1895,22/10/1894,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1896,23/10/1895,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1898,20/10/1897,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1899,31/10/1898,,seed sown,seeding process,wheat,,,winter wheat,Red Club,,,seed sown
R/WF/3,1900,23/10/1899,,seed sown,seeding process,wheat,,,winter wheat,Squareheads Master,,,seed sown
R/WF/3,1901,23/10/1900,,seed sown,seeding process,wheat,,,winter wheat,Squareheads Master,,,seed sown
R/WF/3,1902,23/10/1901,,seed sown,seeding process,wheat,,,winter wheat,Squareheads Master,,,seed sown
