Experiment,Year,section,start date,end date,operation,operation_type,application_method,orig_operation,amount,amount unit,water,water unit,tank mix,plot,variety,dressing,machine
RFW3,1856,wheat,01/09/1856,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1857,wheat,18/08/1857,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1858,wheat,12/08/1858,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1859,wheat,11/08/1859,12/08/1859,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1860,wheat,01/10/1860,02/10/1860,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1861,wheat,24/08/1861,26/08/1861,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1862,wheat,05/09/1862,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1863,wheat,19/08/1863,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,2009,wheat,15/08/2009,,"sampled, baled and weighed straw",baling process,,,,,,,,,,,
RFW3,2012,all plots,04/10/2012,,ploughed,tillage process,,,,,,,,,,,
RFW3,2013,wheat,31/08/2013,,harvested O+Es,harvesting process,,,,,,,,,,,Claas
RFW3,1867,wheat,31/08/1867,02/09/1867,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1868,wheat,25/07/1868,28/07/1868,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1869,wheat,30/08/1869,01/09/1869,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1870,wheat,09/08/1870,10/08/1870,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1871,wheat,26/08/1871,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1872,wheat,23/08/1872,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1873,wheat,12/09/1873,16/09/1873,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1874,wheat,12/08/1874,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1875,wheat,23-08-1875,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1876,wheat,21-08-1876,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1877,wheat,23-08-1877,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1878,wheat,13-08-1878,,harvested,harvesting process,,harvested,,,,,,,,,
